Num_Acc;place;catu;grav;sexe;trajet;secu;locp;actp;etatp;an_nais;num_veh;age
201800000004;1.0;1;3;1;5.0;2.0;0.0;0.0;0.0;2013.0;B01;9.0
201800000004;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1982.0;A01;40.0
201800000020;1.0;1;1;1;4.0;3.0;0.0;0.0;0.0;1988.0;A01;34.0
201800000020;1.0;1;3;1;9.0;21.0;0.0;0.0;0.0;1997.0;B01;25.0
201800000044;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;2000.0;B01;22.0
201800000044;1.0;1;3;1;5.0;2.0;0.0;0.0;0.0;1947.0;A01;75.0
201800000051;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1987.0;A01;35.0
201800000051;1.0;1;2;1;5.0;2.0;0.0;0.0;0.0;1940.0;B01;82.0
201800000056;1.0;1;1;2;3.0;11.0;0.0;0.0;0.0;1934.0;A01;88.0
201800000056;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1944.0;B01;78.0
201800000080;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1940.0;A01;82.0
201800000080;1.0;1;3;1;5.0;2.0;0.0;0.0;0.0;1957.0;B01;65.0
201800000094;1.0;1;1;1;5.0;3.0;0.0;0.0;0.0;1989.0;A01;33.0
201800000094;1.0;1;2;1;3.0;2.0;0.0;0.0;0.0;1950.0;B01;72.0
201800000107;1.0;1;1;2;4.0;11.0;0.0;0.0;0.0;1986.0;A01;36.0
201800000107;1.0;1;4;2;3.0;2.0;0.0;0.0;0.0;1994.0;B01;28.0
201800000150;1.0;1;1;1;5.0;21.0;0.0;0.0;0.0;1965.0;A01;57.0
201800000150;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1937.0;B01;85.0
201800000166;1.0;1;1;1;9.0;2.0;0.0;0.0;0.0;1946.0;A01;76.0
201800000166;1.0;1;3;1;5.0;2.0;0.0;0.0;0.0;2001.0;B01;21.0
201800000187;1.0;1;1;1;1.0;11.0;0.0;0.0;0.0;1974.0;A01;48.0
201800000187;1.0;1;2;1;3.0;22.0;0.0;0.0;0.0;1960.0;B01;62.0
201800000209;1.0;1;1;2;5.0;13.0;0.0;0.0;0.0;1995.0;A01;27.0
201800000209;1.0;1;3;1;5.0;23.0;0.0;0.0;0.0;2006.0;B01;16.0
201800000213;1.0;1;1;1;3.0;11.0;0.0;0.0;0.0;1947.0;A01;75.0
