Accident_Id;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202200010039;14;10;2022;17:00;1;92;92051;2;1;2;6;VILLIERS (RUE DE, N° 59 BIS A 91);48.8924417764;2.2772893309
202200010053;15;10;2022;11:30;1;81;81240;1;1;1;7;D53;43.9250537171;2.4718278223
202200010057;14;10;2022;20:00;3;23;23001;1;1;2;1;RD 942 PK 18+600;46.088167;2.02334
202200010083;9;2;2022;16:30;2;43;43162;1;1;1;1;Route de Craponne;45.211868;4.028284
202200010084;9;2;2022;16:50;1;40;40282;1;6;1;3;D933s;43.747343;-0.561923
202200010100;9;2;2022;21:00;3;13;13027;1;4;1;1;RD571 route d'Avignon;43.89555;4.818996
202200010154;29;6;2022;19:20;5;988;98818;2;9;1;3;ROND POINT IEKAWE;-22.23116;166.48131
202200010162;8;2;2022;17:45;1;69;69383;2;1;1;6;Avenue Rockefeller;45.7406309783;4.8875199258
202200010164;8;2;2022;16:30;1;69;69388;2;1;1;7;Rue Henri Barbusse;45.7307533883;4.8579551263
202200010170;30;6;2022;08:50;1;69;69387;2;3;1;3;Boulevard Yves Farge;45.74333;4.83424
202200010201;15;10;2022;14:28;1;84;84092;2;3;7;1;Chemin du Canal Crillon;43.958905;4.883316
202200010211;15;10;2022;12:00;1;01;01249;2;2;1;3;Montée Neuve;45.827082;4.95263
202200010219;12;10;2022;15:30;1;79;79049;2;6;1;3;68 Rue de Chachon;46.835007;-0.481473
202200010226;7;2;2022;09:55;1;59;59569;2;3;7;1;VERDUN (RUE DE);50.36308;3.11437
202200010227;29;6;2022;22:05;5;67;67218;2;3;1;3;LYON (RTE DE);48.5252;7.70848
202200010236;29;6;2022;09:20;1;62;62193;2;6;1;3;NORVEGE (PLACE DE);50.956854;1.857412
202200010241;8;2;2022;07:50;2;49;49007;2;1;1;3;GARDOT;47.46787;-0.53678
202200010242;29;6;2022;18:30;1;61;61006;2;7;2;6;CHAMPAGNE (RUE DE);48.75049;-0.02793
202200010276;8;2;2022;15:45;1;29;29019;2;1;1;2;Avenue de la Libération;48.396346;-4.515963
202200010278;29;6;2022;13:15;1;42;42218;2;6;1;3;Boulevard Georges Pompidou;45.4589403795;4.4080978632
202200010286;7;2;2022;15:35;1;19;19031;2;1;1;6;TILLEULS (PROMENADE DES);45.16319;1.53313
202200010288;29;4;2022;13:55;1;35;35241;2;3;1;2;VILLES BILLY (ZONE ARTISANALE);48.6064731881;-2.0532009602
202200010289;8;2;2022;09:10;1;18;18033;2;2;7;3;Rue des Frères Michelin;47.11062;2.41449
202200010292;9;10;2022;12:30;1;974;97411;2;9;1;5;RAMBAUD (LEOPOLD);-20.8854;55.47353
202200010293;30;6;2022;09:15;1;34;34003;2;1;1;3;Boulevard des Lucioles;43.30077;3.46834
202200010299;30;6;2022;12:40;1;33;33281;2;3;2;3;Cours d'Ornano;44.83345;-0.61724
202200010306;28;6;2022;14:00;1;29;29019;2;3;1;3;avenue de Tarente;48.403189;-4.506398
202200010310;13;10;2022;09:55;1;69;69381;2;2;1;5;Quai André Lassagne;45.7727;4.83846
202200010344;30;6;2022;20:45;1;04;04070;2;3;1;3;Ch des Alpilles / impasse;44.08313;6.20586
202200010347;8;2;2022;10:20;1;94;94017;2;3;8;3;Place Lénine / Rue Albert Thomas;48.81195;2.51074
202200010349;8;2;2022;09:30;1;94;94004;2;1;1;6;18 Rue de Sucy;48.7523681779;2.5203022956
202200010362;13;10;2022;07:10;5;71;71306;2;6;5;3;LUCY (RUE DE);46.66328;4.34095
202200010365;7;2;2022;17:50;1;93;93053;2;3;1;3;Rue de Brément;48.886846809;2.4704217911
202200010366;13;10;2022;07:25;2;71;71306;2;2;5;3;MACON (RUE DE);46.67376;4.37398
202200010369;12;10;2022;19:40;2;71;71153;2;2;1;3;MOUILLELONGUE (RUE DE LA);46.7916;4.42953
202200010372;30;6;2022;15:20;1;75;75116;2;1;8;6;AVENUE DE NEW YORK;48.862157;2.293502
202200010377;13;10;2022;11:15;1;69;69266;2;3;1;3;Boulevard du 11 Novembre 1918;45.77942;4.86052
202200010380;13;10;2022;11:20;1;69;69264;2;3;1;3;Rue de Thizy;45.99006;4.7071
202200010387;13;10;2022;08:30;1;67;67482;2;3;1;6;FAUBOURG DE PIERRE (RUE DU);48.58702;7.7465
202200010402;30;6;2022;08:00;1;75;75101;2;3;2;7;BOULEVARD DE SEBASTOPOL;48.862469;2.35044
202200010437;8;2;2022;15:17;1;21;21247;1;1;1;3;Rue du Bedeau;47.517661;4.169381
202200010438;30;6;2022;17:24;1;92;92049;2;1;1;7;JAURES AV. JEAN N°1 A 51 ET 2 A 50;48.8170316465;2.3143488765
202200010466;12;1;2022;15:30;1;51;51464;1;1;1;6;Voie communale 14;49.337987;3.760242
202200010479;30;6;2022;12:42;1;69;69063;2;6;1;3;Quai de la Jonchère;45.814904;4.846419
202200010494;1;7;2022;10:25;1;42;42254;1;4;1;1;Route de Néronde;45.863977;4.194138
202200010518;1;7;2022;13:50;1;85;85172;1;4;1;1;23 Chemin des cabanes;46.807476;-2.016333
202200010536;11;6;2022;10:30;1;13;13074;1;1;1;2;D561;43.6456193534;5.5943584442
