Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp;age
202200000016;1 099 662;813 926;A01;1;1;1;2;1960.0;4;8;0;-1;0;0;-1;62.0
202200000016;1 099 663;813 927;B01;1;1;4;1;1982.0;9;8;0;-1;0;0;-1;40.0
202200000017;1 099 660;813 924;A01;1;1;1;1;2002.0;4;1;0;-1;0;0;-1;20.0
202200000017;1 099 661;813 925;B01;1;1;4;1;2003.0;5;8;0;-1;0;0;-1;19.0
202200000025;1 099 647;813 913;A01;1;1;3;1;1961.0;9;8;0;-1;-1; -1;-1;61.0
202200000027;1 099 642;813 910;Z01;10;3;4;2;1990.0;5;0;-1;-1;4;3;1;32.0
202200000027;1 099 643;813 910;Z01;1;1;1;-1;;-1;-1;-1;-1;-1; -1;-1;
202200000046;1 099 598;813 883;B01;1;1;4;1;1988.0;1;0;0;-1;0;0;-1;34.0
202200000046;1 099 599;813 884;A01;1;1;1;2;1974.0;5;1;0;-1;0;0;-1;48.0
202200000058;1 099 576;813 865;A01;1;1;4;2;1990.0;1;8;0;-1;0;0;-1;32.0
202200000058;1 099 577;813 866;B01;1;1;1;1;1960.0;1;1;5;-1;-1; -1;-1;62.0
202200000060;1 099 572;813 861;A01;1;1;1;2;1967.0;0;8;0;-1;-1; -1;-1;55.0
202200000060;1 099 573;813 862;B01;1;1;4;1;1976.0;0;2;0;-1;-1; -1;-1;46.0
202200000062;1 099 568;813 858;A01;1;1;1;1;2000.0;0;1;0;-1;-1; -1;-1;22.0
202200000062;1 099 569;813 859;B01;1;1;4;1;1991.0;5;8;0;-1;-1; -1;-1;31.0
202200000087;1 099 508;813 820;B01;1;1;1;1;1975.0;1;1;-1;-1;0;0;-1;47.0
202200000087;1 099 509;813 821;A01;1;1;3;1;1968.0;1;2;-1;-1;0;0;-1;54.0
202200000092;1 099 495;813 811;A01;1;1;1;1;1993.0;4;1;-1;-1;0;0;-1;29.0
202200000092;1 099 496;813 812;B01;1;1;3;1;1958.0;5;2;6;-1;0;0;-1;64.0
202200000120;1 099 428;813 765;A01;1;1;1;1;1926.0;5;1;-1;-1;0;0;-1;96.0
202200000120;1 099 429;813 766;B01;1;1;3;1;1965.0;5;2;-1;-1;0;0;-1;57.0
202200000147;1 099 350;813 698;A01;1;1;4;1;1979.0;1;8;0;-1;0;0;-1;43.0
202200000147;1 099 351;813 699;Z01;1;1;1;-1;;-1;-1;-1;-1;-1; -1;-1;
202200000152;1 099 340;813 690;A01;1;1;4;2;1993.0;1;8;0;-1;0;0;-1;29.0
202200000157;1 099 330;813 684;A01;1;1;1;1;1995.0;1;2;0;-1;0;0;-1;27.0
202200000157;1 099 331;813 684;A01;10;3;4;2;1978.0;9;0;-1;-1;1;3;1;44.0
202200000164;1 099 310;813 669;A01;1;1;4;2;1992.0;0;8;0;-1;0;0;-1;30.0
202200000165;1 099 308;813 667;B01;1;1;4;2;1990.0;1;8;0;-1;-1; -1;-1;32.0
202200000165;1 099 309;813 668;A01;1;1;1;1;2000.0;0;8;0;-1;-1; -1;-1;22.0
202200000166;1 099 306;813 665;A01;1;1;1;1;1971.0;1;1;0;-1;-1; -1;-1;51.0
202200000166;1 099 307;813 666;B01;1;1;4;2;1971.0;1;8;0;-1;-1; -1;-1;51.0
202200000176;1 099 282;813 649;A01;2;2;1;2;2001.0;0;1;0;-1;-1; -1;-1;21.0
202200000176;1 099 283;813 649;A01;1;1;1;2;2002.0;-1;1;-1;-1;-1; -1;-1;20.0
202200000176;1 099 284;813 650;B01;1;1;4;1;1985.0;0;8;0;-1;-1; -1;-1;37.0
202200000184;1 099 267;813 634;B01;1;1;1;1;1993.0;4;1;8;-1;0;0;-1;29.0
202200000184;1 099 268;813 635;A01;1;1;4;1;1994.0;5;8;0;-1;0;0;-1;28.0
