Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202200000016;4;RUE DE VAUGIRARD;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202200000017;4;BOULEVARD SAINT GERMAIN;0;;1;3;1;1;(1);(1);1;; -1;1;0;5;30
202200000025;4;BOULEVARD KELLERMANN;0;;2;6;1;2;(1);(1);2;; -1;2;0;5;50
202200000027;4;RUE DE TURENNE;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202200000046;4;JEAN JAURES (AVENUE);0;;1;2;0;1;0;0;1;; -1;1;0;1;30
202200000058;4;;0;;2;2;0;4;0;0;1;; -1;1;0;1;50
202200000060;4;;0;;1;1;0;1;0;0;1;; -1;2;0;4;30
202200000062;4;;0;;2;1;0;1;0;0;1;; -1;1;0;1;50
202200000087;3;67;0;D;1;1;0;1;6;247;2;; -1;1;5;1;-1
202200000092;3;919;0;;2;2;0;2;37;500;1;; -1;1;0;1;80
202200000120;3;101;0;D;3;2;0;2;15;840;1;;7;1;0;1;50
202200000147;4;BOULEVARD DE PORT ROYAL;0;;3;4;3;1;(1);(1);1;; -1;1;0;6;30
202200000152;4;AVENUE DU MAINE;0;;2;4;0;2;(1);(1);1;; -1;2;0;1;30
202200000157;4;RUE RICHARD LENOIR;0;;2;2;1;1;(1);(1);1;; -1;3;0;5;30
202200000164;4;POISSONNERIE;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202200000165;4;POMPIDOU (RUE GEORGES);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202200000166;4;SABLES DE SARY (RUE DES);0;;1;2;0;1;(1);(1);2;; -1;1;0;1;50
202200000176;4;CORDELIERS  AVENUE DES;0;;2;2;0;2;(1);(1);1;; -1;1;0;1;30
202200000184;4;RUE DES PYRENEES;0;;2;3;0;2;(1);(1);1;; -1;1;0;1;30
202200000203;3;985;0;;2; -1;0;1;0;0;1;; -1;1;0;1;50
202200000217;4;;0; -;2;2;0;1;(1);(1);1;;5;1;0;1;50
202200000226;3;904;0;;2;2;0;2;67;700;2;; -1;1;0;1;50
202200000253;3;56;0;;2;2;0;1;0;609;1;; -1;1;8;1;50
202200000319;9;RD 236;0;;2;0;1;1;4;859;1;; -1;1;5;5;10
202200000332;4;SALLE (BLD JEAN BAPTISTE DE LA);0;;3;3;2;1;(1);(1);2;; -1;1;8;5;50
202200000342;4;FLORENT                             (R );0;;1;1;0;1;(1);(1);1;; -1;1;0;1;50
202200000362;4;HENRI FAISANS;0;;2;2;0;1;0;0;2;; -1;1;0;1;30
202200000377;4;EUROPE (DE 201 A 215);0;;-1;2;0;1;(1);(1);1;; -1;1;-1;1;50
202200000380;4;LYSIACK   AVENUE DU COMMANDANT;0;;2;4;2;1;(1);(1);2;; -1;1;0;5;50
202200000381;4;DOUMER (AVENUE PAUL);0;;2;3;1;1;(1);(1);1;; -1;1;9;5;30
202200000383;4;GOUFFE (COURS);0;;-1;2;0;2;0;0;1;; -1;1;0;1;50
202200000392;4;RUE GASTON TESSIER;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202200000394;4;QUAI DE L OISE;0;;2;3;1;1;(1);(1);1;; -1;1;-1;5;30
202200000398;4;RUE REMY DUMONCEL;0;;2;2;1;1;(1);(1);1;; -1;1;0;5;30
202200000402;4;PONT DES INVALIDES;0;;2;3;1;1;(1);(1);1;; -1;1;5;5;30
202200000403;4;RUE DU RENARD;0;;2;3;3;1;(1);(1);1;; -1;1;0;6;30
202200000405;4;RUE DE RIVOLI;0;;2;4;1;1;(1);(1);1;; -1;1;-1;5;30
202200000407;4;RUE DE RIVOLI;0;;2;4;1;1;(1);(1);1;; -1;1;-1;5;30
202200000409;3;JEAN JAURES (AV);0;;2;2;0;2;0;0;1;; -1;1;0;1;50
202200000411;4;ETIENNE DOLET (R);0;;2;2;0;2;0;0;1;; -1;1;0;1;30
202200000414;3;DEPORTATION (CAR DE LA);0;;-1;2;2;1;0;0;2;; -1;1;5;1;50
202200000424;4;;0;;1;1;0;1;0;0;1;; -1;1;0;1;50
202200000427;3;52;-1;;2;2;0;2;12;400;1;; -1;1;0;1;80
