Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202200000016;813 927;B01;2;1;0;2;1;1;5;
202200000017;813 925;B01;2;1;0;2;0;1;5;
202200000025;813 913;A01;1;1;9;0;0;1;5;
202200000027;813 910;Z01;1;1;0;1;1;1;5;
202200000046;813 883;B01;3;1;0;2;0;1;5;
202200000058;813 865;A01;0;1;0;2;2;1;5;
202200000060;813 862;B01;2;1;0;2;7;1;5;
202200000062;813 859;B01;1;1;0;2;0;1;5;
202200000087;813 821;A01;2;1;0;2;1;1;5;
202200000092;813 812;B01;2;1;0;2;6;1;5;
202200000120;813 766;B01;1;1;0;2;3;1;5;
202200000147;813 698;A01;1;1;0;2;1;1;5;
202200000152;813 690;A01;1;1;0;0;0;21;5;
202200000157;813 684;A01;1;1;0;1;1;1;5;
202200000164;813 669;A01;3;1;0;0;0;1;5;
202200000165;813 667;B01;3;1;0;2;1;16;5;
202200000166;813 666;B01;3;1;0;2;7;1;5;
202200000176;813 650;B01;1;1;1;0;2;14;5;
202200000184;813 635;A01;2;1;0;2;7;1;5;
202200000203;813 602;A01;1;1;0;0;1;15;5;
202200000217;813 584;B01;3;1;12;2;6;14;5;
202200000226;813 570;B01;1;1;0;0;4;2;5;
202200000253;813 524;B01;1;1;0;2;8;13;5;
202200000319;813 398;Y01;3;1;15;0;1;26;5;
202200000332;813 373;B01;3;1;0;2;8;1;5;
202200000342;813 356;B01;1;1;0;2;7;19;5;
202200000362;813 315;B01;1;1;0;2;2;1;5;
202200000377;813 285;Y01;0;1;0;2;8;9;5;
202200000380;813 281;Z01;3;1;0;2;1;15;5;
202200000381;813 280;A01;1;1;0;1;2;1;5;
202200000383;813 276;B01;2;1;0;2;1;1;5;
202200000392;813 262;A01;1;1;0;2;4;2;5;
202200000394;813 258;Z01;1;1;0;2;0;13;5;
202200000394;813 259;A01;2;1;0;2;0;1;5;
202200000398;813 250;Z01;2;1;0;1;0;1;5;
202200000402;813 245;B01;2;1;0;2;2;1;5;
202200000403;813 243;A01;2;1;0;0;1;1;5;
202200000405;813 240;B01;2;1;0;2;1;1;5;
202200000407;813 237;A01;1;1;0;0;5;1;5;
202200000409;813 233;A01;1;1;0;2;4;1;5;
202200000411;813 230;A01;3;1;0;0;0;15;5;
202200000414;813 225;B01;2;1;0;2;1;2;5;
202200000424;813 211;B01;1;1;1;2;1;0;5;
202200000427;813 204;A01;1;1;0;2;1;1;5;
202200000427;813 205;B01;1;1;0;2;4;1;5;
202200000446;813 170;A01;0;1;0;0;0;1;5;
202200000452;813 162;A01;2;1;0;2;1;1;5;
202200000457;813 154;B01;2;1;0;2;1;1;5;
202200000463;813 144;B01;1;1;0;2;8;1;5;
202200000480;813 114;B01;0;1;0;2;8;13;5;
202200000487;813 104;B01;1;1;0;2;3;19;5;
202200000496;813 088;B01;1;1;0;2;1;2;5;
202200000497;813 087;A01;1;1;0;2;5;1;5;
202200000507;813 072;A01;3;1;0;0;8;19;5;
202200000578;812 956;B01;1;1;0;2;6;1;5;
202200000592;812 928;B01;3;1;0;2;1;1;5;
202200000615;812 880;B01;1;1;0;2;1;0;5;
202200000634;812 845;B01;3;1;0;2;1;1;5;
202200000657;812 805;B01;1;1;0;2;8;19;5;
202200000658;812 804;B01;1;1;0;0;0;0;5;
202200000668;812 787;B01;1;1;12;2;8;19;5;
202200000670;812 783;B01;0;1;0;2;1;1;5;
202200000672;812 779;A01;3;1;0;2;1;8;5;
202200000678;812 771;A01;3;1;0;2;1;19;5;
202200000684;812 761;A01;2;1;0;0;1;1;5;
202200000689;812 754;B01;1;1;0;2;1;1;5;
202200000691;812 750;B01;1;1;0;2;1;0;5;
202200000692;812 745;B01;3;1;0;2;1;1;5;
202200000693;812 743;B01;1;1;12;0;0;0;5;
202200000730;812 671;A01;3;1;0;2;7;17;5;
202200000737;812 651;B01;3;1;0;2;1;2;5;
202200000746;812 631;B01;3;1;0;2;1;19;5;
202200000751;812 620;A01;3;1;0;2;1;25;5;
202200000751;812 621;B01;3;1;0;2;1;25;5;
202200000770;812 587;B01;1;1;0;0;0;0;5;
202200000784;812 557;B01;1;1;0;2;1;1;5;
202200000787;812 550;B01;2;1;0;2;8;13;5;
202200000788;812 551;B01;1;1;0;2;3;1;5;
202200000811;812 509;B01;1;1;0;2;8;16;5;
202200000817;812 498;B01;1;1;0;2;4;26;5;
202200000819;812 492;B01;3;1;0;2;7;1;0;
202200000827;812 479;B01;1;1;0;2;8;0;5;
202200000831;812 469;B01;2;1;0;2;7;1;5;
202200000833;812 465;A01;1;1;0;2;8;19;5;
202200000838;812 459;A01;1;1;0;0;1;1;5;
202200000841;812 452;B01;2;1;0;2;8;11;5;
202200000843;812 450;B01;0;1;0;2;1;19;5;
202200000858;812 424;B01;2;1;0;2;8;26;5;
202200000886;812 378;B01;3;1;0;2;8;19;5;
202200000895;812 361;B01;2;1;0;2;7;1;5;
202200000901;812 353;B01;1;1;0;2;7;1;5;
202200000920;812 321;B01;3;1;0;2;7;9;5;
202200000921;812 322;B01;1;1;0;0;0;0;5;
202200000928;812 304;B01;2;1;0;2;4;1;5;
202200000944;812 271;B01;2;1;0;2;1;1;0;
