Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
201000000004;10;9;22;1630;1;2;1;1.0;6.0;477;43 rue Nationale;M;5051800.0;292500.0;590
201000000017;10;7;16;1545;1;2;1;1.0;1.0;586;53 rue de peronnes;M;0.0;0.0;590
201000000025;10;9;8;545;3;1;2;3.0;2.0;452;;M;5046900.0;302900.0;590
201000000052;10;6;2;1530;1;2;1;1.0;1.0;581;;M;5070500.0;276500.0;590
201000000070;10;8;20;945;1;1;1;1.0;3.0;135;;M;5081300.0;248800.0;590
201000000080;10;1;20;2030;5;2;1;1.0;1.0;123;ROUTE NATIONALE CD 925;M;0.0;0.0;590
201000000093;10;10;3;915;1;2;1;1.0;6.0;92;CD81;M;0.0;0.0;590
201000000115;10;8;19;1100;1;2;1;7.0;1.0;242;CD43;M;0.0;0.0;590
201000000152;10;9;22;1630;1;2;1;1.0;1.0;139;rue st quentin;M;0.0;0.0;590
201000000181;10;3;4;630;2;2;1;1.0;2.0;105;Rue de la lombarderie;M;5045700.0;323900.0;590
201000000189;10;2;6;1500;1;2;1;1.0;1.0;396;507 rue du centre;M;5027900.0;380100.0;590
201000000223;10;2;28;1015;1;2;1;2.0;7.0;557;;M;5032600.0;270100.0;620
201000000253;10;7;13;1600;1;2;2;1.0;1.0;376;route de Bethune;M;0.0;0.0;620
201000000260;10;3;11;1700;1;1;4;1.0;1.0;338;;M;0.0;0.0;620
201000000278;10;7;23;1645;1;2;1;1.0;6.0;474;route nationale 1;M;5067600.0;165900.0;620
201000000292;10;10;24;1515;1;2;1;1.0;1.0;302;rue principale;M;5058700.0;198400.0;620
201000000351;10;5;23;1445;1;2;1;1.0;5.0;644;chaussée Brunehaut;M;5065200.0;213700.0;620
201000000437;10;4;1;1830;1;2;1;1.0;1.0;791;;M;0.0;0.0;800
201000000447;10;7;6;2030;1;2;2;1.0;1.0;180;CD 95 - CD 156;M;0.0;0.0;800
201000000498;10;10;13;1545;1;2;1;1.0;3.0;29;CD80/RUE COURTE CAVEE;M;0.0;0.0;800
201000000533;10;3;24;1745;1;2;1;1.0;1.0;86;rue martin;M;0.0;0.0;800
201000000541;10;10;2;1630;1;2;1;1.0;6.0;318;5 rue de Vignacourt;M;0.0;0.0;800
201000000551;10;4;18;1445;1;1;1;1.0;4.0;293;;M;0.0;0.0;800
201000000637;10;5;24;1715;1;1;3;1.0;3.0;560;;M;0.0;0.0;20
201000000679;10;3;6;1045;1;1;1;1.0;3.0;453;;M;0.0;0.0;20
201000000688;10;4;4;1130;1;2;3;1.0;1.0;217;Avenue de framlinghan;M;0.0;0.0;20
201000000753;10;8;28;1445;1;2;1;1.0;1.0;775;Avenue du stade;M;0.0;0.0;20
201000000759;10;4;25;1400;1;2;1;1.0;1.0;245;52 R. GEORGES DEVIOLAINE;M;0.0;0.0;20
