Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202100000001;201 764;B01;1;1;0;2;1;1;5;
202100000006;201 752;B01;2;1;0;0;5;1;5;
202100000038;201 693;B01;1;1;0;2;1;1;5;
202100000051;201 658;A01;3;1;0;2;8;1;5;
202100000070;201 625;B01;0;1;0;2;0;0;-1;
202100000071;201 623;B01;0;1;0;0;0;0;0;
202100000101;201 570;A01;3;1;14;0;1;1;0;
202100000101;201 571;B01;3;1;14;0;1;1;0;
202100000107;201 560;B01;0;1;0;2;1;1;-1;
202100000108;201 558;A01;3;1;12;0;1;14;5;
202100000136;201 508;B01;3;1;0;2;3;0;0;
202100000162;201 456;B01;0;1;0;2;1;2;5;
202100000175;201 432;A01;1;1;0;0;8;1;5;
202100000179;201 422;A01;1;1;0;2;8;2;5;
202100000180;201 420;A01;2;1;0;2;4;1;5;
202100000181;201 418;B01;1;1;0;2;1;1;5;
202100000195;201 394;A01;2;1;0;4;0;26;5;
202100000201;201 380;B01;1;1;0;2;3;9;5;
202100000203;201 376;A01;1;1;0;0;8;1;5;
202100000217;201 350;A01;3;1;16;0;1;1;5;
202100000218;201 349;B01;1;1;0;2;7;1;5;
202100000226;201 328;B01;1;1;0;2;1;1;5;
202100000228;201 320;A01;1;1;0;2;1;19;5;
202100000228;201 321;B01;1;1;0;2;1;19;5;
202100000249;201 277;A01;1;1;0;2;4;11;5;
202100000250;201 276;B01;2;1;0;2;4;26;0;
202100000251;201 274;A01;3;1;0;1;0;2;0;
202100000274;201 231;B01;1;1;0;2;1;2;5;
202100000285;201 216;A01;1;1;0;2;7;19;5;
202100000293;201 199;B01;2;1;0;2;8;15;5;
202100000294;201 197;A01;3;1;0;2;7;19;5;
202100000308;201 167;B01;3;1;0;2;4;6;5;
202100000311;201 163;B01;3;1;0;2;0;0;0;
202100000322;201 143;A01;2;1;0;2;7;1;5;
202100000334;201 125;B01;1;1;0;4;7;23;5;
202100000344;201 106;B01;2;1;0;2;1;1;5;
202100000349;201 090;B01;2;1;0;2;1;1;5;
202100000353;201 084;A01;2;1;7;0;0;14;5;
202100000354;201 082;B01;1;1;0;2;1;1;5;
202100000358;201 077;B01;2;1;0;2;1;23;5;
202100000365;201 055;B01;3;1;0;2;1;2;5;
202100000371;201 045;B01;2;1;1;2;7;1;5;
202100000377;201 032;C01;1;1;0;2;4;1;-1;
202100000442;200 915;A01;1;1;0;2;1;5;5;
202100000451;200 900;A01;1;1;0;0;4;0;5;
202100000456;200 892;B01;2;1;0;2;8;19;5;
202100000465;200 874;A01;1;1;0;2;8;15;5;
