Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp;age
202100014852;232 150;175 163;A01;1;1;4;2;1985.0;0;8;0;-1;-1; -1;-1;37.0
202100014859;232 133;175 151;B01;1;1;4;1;1992.0;5;8;0;-1;-1; -1;-1;30.0
202100014859;232 134;175 152;A01;1;1;1;2;1981.0;5;8;0;-1;-1; -1;-1;41.0
202100014859;232 135;175 152;A01;2;2;1;1;2011.0;5;8;0;-1;-1; -1;-1;11.0
202100014870;232 110;175 132;A01;1;1;1;2;1948.0;5;1;0;-1;-1; -1;-1;74.0
202100014870;232 111;175 133;B01;1;1;4;1;2007.0;5;8;0;-1;-1; -1;-1;15.0
202100014877;232 092;175 120;B01;1;1;1;1;1972.0;5;0;-1;-1;0;0;-1;50.0
202100014877;232 093;175 121;A01;1;1;3;1;1992.0;1;2;-1;-1;0;0;-1;30.0
202100014882;232 083;175 112;A01;1;1;1;2;1974.0;4;1;-1;-1;0;0;-1;48.0
202100014882;232 084;175 113;B01;1;1;3;1;1961.0;5;2;-1;-1;0;0;-1;61.0
202100014893;232 057;175 090;B01;1;1;1;1;1966.0;3;1;-1;-1;0;0;-1;56.0
202100014893;232 058;175 091;A01;1;1;4;1;1998.0;5;0;-1;-1;0;0;-1;24.0
202100014912;232 015;175 059;A01;1;1;1;1;1960.0;5;1;-1;-1;0;0;-1;62.0
202100014912;232 016;175 060;B01;1;1;4;1;1963.0;5;2;-1;-1;0;0;-1;59.0
202100014914;232 011;175 055;B01;1;1;3;1;1978.0;5;2;-1;-1;0;0;-1;44.0
202100014914;232 012;175 056;A01;1;1;1;1;1982.0;5;1;-1;-1;0;0;-1;40.0
202100014982;231 843;174 925;A01;1;1;1;2;1971.0;5;1;0;-1;-1; -1;-1;51.0
202100014982;231 844;174 926;B01;1;1;4;2;1999.0;5;8;0;-1;-1; -1;-1;23.0
202100014983;231 841;174 923;B01;1;1;3;1;1943.0;5;8;0;-1;-1; -1;-1;79.0
202100014983;231 842;174 924;A01;1;1;1;1;1963.0;4;1;0;-1;-1; -1;-1;59.0
202100014999;231 795;174 892;B01;1;1;3;1;1963.0;0;8;0;-1;-1; -1;-1;59.0
202100014999;231 796;174 893;A01;1;1;1;1;1979.0;4;1;0;-1;-1; -1;-1;43.0
202100015022;231 743;174 853;A01;1;1;1;2;2000.0;0;1;0;-1;0;0;-1;22.0
202100015022;231 744;174 854;B01;1;1;4;1;1993.0;0;2;0;-1;0;0;-1;29.0
202100015029;231 728;174 844;A01;1;1;1;1;1962.0;4;1;8;-1;-1; -1;-1;60.0
202100015029;231 729;174 845;B01;1;1;4;1;2010.0;5;8;0;-1;-1; -1;-1;12.0
202100015044;231 691;174 819;B01;1;1;4;2;1965.0;5;8;0;-1;-1; -1;-1;57.0
202100015044;231 692;174 820;A01;1;1;1;1;1948.0;3;1;8;-1;-1; -1;-1;74.0
202100015056;231 655;174 794;A01;1;1;4;1;1993.0;1;8;4;-1;-1; -1;-1;29.0
202100015064;231 638;174 780;B01;1;1;4;1;1983.0;1;8;0;-1;-1; -1;-1;39.0
202100015064;231 639;174 781;A01;1;1;1;2;1982.0;2;1;8;-1;-1; -1;-1;40.0
202100015066;231 634;174 776;B01;1;1;4;2;1945.0;5;8;-1;-1;0;0;-1;77.0
202100015066;231 635;174 777;A01;1;1;1;1;1961.0;0;1;-1;-1;0;0;-1;61.0
202100015067;231 632;174 774;A01;1;1;1;1;1985.0;4;1;8;-1;-1; -1;-1;37.0
202100015067;231 633;174 775;B01;1;1;3;1;1989.0;0;8;0;-1;-1; -1;-1;33.0
202100015091;231 574;174 730;B01;1;1;4;1;1945.0;9;2;8;-1;-1; -1;-1;77.0
202100015091;231 575;174 731;A01;1;1;1;1;1929.0;9;1;8;-1;-1; -1;-1;93.0
202100015092;231 572;174 728;A01;1;1;1;1;1940.0;0;1;8;-1;-1; -1;-1;82.0
202100015092;231 573;174 729;B01;1;1;4;1;2002.0;0;2;8;-1;-1; -1;-1;20.0
202100015095;231 567;174 723;A01;1;1;4;1;1946.0;0;2;0;-1;0;0;-1;76.0
202100015095;231 568;174 724;B01;1;1;1;1;1946.0;5;1;0;-1;0;0;-1;76.0
202100015096;231 565;174 721;A01;1;1;1;1;1981.0;4;1;-1;-1;0;0;-1;41.0
202100015096;231 566;174 722;B01;1;1;3;1;1984.0;5;2;0;-1;0;0;-1;38.0
202100015112;231 530;174 695;B01;1;1;4;2;1963.0;1;8;0;-1;0;0;-1;59.0
202100015112;231 531;174 696;A01;1;1;1;1;2000.0;9;8;0;-1;0;0;-1;22.0
202100015114;231 526;174 691;A01;1;1;1;1;1976.0;9;8;0;-1;0;0;-1;46.0
202100015114;231 527;174 692;B01;1;1;4;2;1988.0;9;8;0;-1;0;0;-1;34.0
202100015115;231 524;174 690;A01;1;1;4;1;2005.0;2;8;0;-1;0;0;-1;17.0
202100015115;231 525;174 690;A01;10;3;4;1;1963.0;4;0;-1;-1;1;3;1;59.0
202100015119;231 517;174 684;A01;1;1;4;2;1981.0;9;8;0;-1;0;0;-1;41.0
202100015133;231 488;174 660;A01;1;1;1;1;1996.0;1;1;0;-1;-1; -1;-1;26.0
202100015133;231 489;174 661;Y01;2;1;4;1;1995.0;0;8;0;-1;-1; -1;-1;27.0
202100015138;231 478;174 651;A01;1;1;4;2;1975.0;4;8;0;-1;-1; -1;-1;47.0
202100015142;231 470;174 644;A01;1;1;1;1;1977.0;5;8;0;-1;-1; -1;-1;45.0
