Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202100000001;3;981;-1;;2;2;0;1;(1);(1);1;; -1;1;0;1;80
202100000006;4;;-1;;2;2;0;1;(1);(1);1;;4;1;0;1;50
202100000038;4;;-1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202100000051;4;SQUARE DE L HERACLES;0;;2;2;0;1;(1);(1);1;; -1;1;2;1;50
202100000070;4;;-1;;2;2;-1;1;(1);(1);1;;5,5;1;0;1;-1
202100000071;4;DUPONT ALPHONSE (RUE);0;;1;0;0;1;(1);(1);1;; -1;1;0;1;30
202100000101;4;;-1;;-1;1;1;1;(1);(1);1;; -1;9;6;5;-1
202100000107;4;;-1;;2;-1;0;1;(1);(1);2;; -1;1;0;1;-1
202100000108;4;ANTHONY BAMBRIDGE (RUE);0;;2;2;0;2;0;0;2;; -1;1;2;1;30
202100000136;4;BILLIERES (AV ETIENNE) DU 1AU 78;0;;2;3;1;1;(1);(1);1;; -1;1;0;5;5
202100000162;4;CHARLES DE GAULLE (RUE);0;;2;2;2;2;0;0;1;; -1;1;0;1;50
202100000175;3;626;-1;;2;2;0;2;11;300;2;; -1;1;0;1;80
202100000179;4;;-1;;3;3;3;1;(1);(1);1;; -1;1;0;1;50
202100000180;4;;-1;;2;-1;0;1;(1);(1);1;; -1;1;0;1;50
202100000181;3;;-1;;2;2;-1;1;30;105;1;; -1;1;2;1;30
202100000195;3;15;0;D;2;2;0;1;27;800;1;; -1;1;4;6;50
202100000201;4;CLAUDE BERNARD (RUE );0;;4;1;0;1;0;0;1;; -1;2;5;1;30
202100000203;3;32;0;D;2;2;0;2;66;670;1;; -1;1;0;1;80
202100000217;4;;-1;;2;-1;-1;2;(1);(1);2;; -1;9;0;1;90
202100000218;3;;-1;;2;-1;-1;1;2;600;1;; -1;2;5;1;50
202100000226;4;;-1;;2;2;2;1;(1);(1);1;; -1;1;-1;5;50
202100000228;4;;0;;2;2;0;1;(1);(1);1;; -1;9;0;1;50
202100000249;2;BRETELLE ACCES RD203/RN184;0;;3;4;0;1;23;770;1;; -1;2;0;1;90
202100000250;4;CREQUI (DE)                         (R );0;;1;1;2;1;(1);(1);1;; -1;1;0;1;50
202100000251;4;MARECHAL LYAUTEY (DU)               (PL);0;;1;1;2;1;(1);(1);1;; -1;1;0;1;50
202100000274;4;VIADUC(RUE DU);0;;2;1;0;1;(1);(1);1;; -1;1;0;1;50
202100000285;4;CREQUI (DE)                         (R );0;;1;1;2;1;(1);(1);1;; -1;1;0;1;50
202100000293;4;GAMBETTA                            (CO);0;;2;2;2;1;(1);(1);1;; -1;1;0;1;30
202100000294;4;JULES FERRY                         (PL);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202100000308;7;DEPARTEMENTALE 48 (ROUTE );0;;2;2;0;1;0;0;1;; -1;1;5;1;30
202100000311;7;ROUTE D’APT;0;;1;1;0;1;0;0;2;; -1;1;0;1;50
202100000322;4;;-1;;1;2;2;1;(1);(1);1;; -1;-1;0;1;50
202100000334;4;;-1;;2;-1;-1;1;(1);(1);1;; -1;1;4;6;-1
202100000344;4;BD GEORGES POMPIDOU;0;;1;2;3;1;(1);(1);1;; -1;1;5;1;50
202100000349;4;BOULEVARD MALESHERBES;0;;3;6;1;2;(1);(1);1;; -1;1;-1;5;50
202100000353;3;FOUGERAS (RUE DE);0;;3;4;0;1;0;0;1;; -1;1;0;1;50
202100000354;3;FRACHON ( ave Benoit);0;;3;2;3;2;1;200;1;; -1;1;9;1;50
202100000358;4;MANOIR (AVENUE DU);0;;2;0;0;1;(1);(1);1;; -1;1;0;1;50
202100000365;7;JEAN MONNET (RUE );0;;2;2;0;1;1;233;1;; -1;1;8;1;50
202100000371;3;RD608;-1;;1;2;-1;1;0;230;2;; -1;1;-1;1;50
202100000377;3;;-1;;2;2;0;1;(1);(1);3;; -1;1;0;1;80
202100000442;3;29;0;D;2;2;0;1;4;500;1;; -1;1;0;1;80
202100000451;3;4;0;N;2;2;0;1;11;500;1;; -1;1;0;1;80
202100000456;4;EUROPE (PONT DE L'EUROPE);0;;2;4;0;1;1;0;1;; -1;1;2;1;50
202100000465;4;MALECROIX (RUE DE);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202100000470;4;BALEARES ROND POINT ET CITE DES;0;;1;1;0;1;(1);(1);3;; -1;1;0;1;50
202100000494;3;VERDUN (RUE DE);0;;2;2;0;1;70;5096;1;; -1;1;0;1;50
