Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202100000001;30;11;2021;07:32;2;30;30319;1;1;1;1;CD 981;44,0389580000;4,3480220000
202100000006;23;11;2021;11:10;1;68;68004;2;3;1;2;Rue Charles Edouard Amiot;47,6142390000;7,2343360000
202100000038;2;9;2021;11:00;1;71;71540;2;1;1;2;Route des Perraudins;46,7668890000;4,4566240000
202100000051;9;11;2021;23:30;5;31;31555;2;9;1;3;SQUARE DE L HERACLES;43,6074900000;1,4281200000
202100000070;4;11;2021;17:31;1;60;60057;2;1;1;3;Rue du Pont dâArcole;49,4262285502;2,0853413343
202100000071;14;10;2021;17:10;1;60;60057;2;1;1;1;Rue Alphonse Dupont;49,4186200000;2,0834300000
202100000101;21;10;2021;16:00;1;90;90071;1;1;7;6;voie verte;47,6010200000;7,0063270000
202100000107;1;11;2021;16:24;2;84;84080;2;4;1;1;chemin saint gens;44,0350580851;5,0246668082
202100000108;6;11;2021;22:25;5;987;98736;2;3;1;6;ANTHONY BAMBRIDGE (RUE); -17,5397800000; -149,5450200000
202100000136;25;5;2021;15:55;1;31;31555;2;1;1;3;BILLIERES (AV ETIENNE) DU 1AU 78;43,5969171534;1,4261841774
202100000162;12;11;2021;12:07;1;91;91471;2;1;1;3;CHARLES DE GAULLE (RUE);48,7020770000;2,1905530000
202100000175;30;6;2021;08:30;1;11;11294;1;1;1;7;D626;43,0585800000;2,0439080000
202100000179;9;11;2021;16:45;1;33;33063;2;6;1;3;Rue de Canolle;44,8267700000; -0,6013200000
202100000180;21;10;2021;08:15;2;33;33069;2;1;1;2;Rue Ferdinand Buisson;44,8627300000; -0,5846200000
202100000181;29;10;2021;18:00;2;73;73241;2;3;7;1;Chemin des Moulins;45,6149750000;6,3191020000
202100000195;20;12;2021;07:01;2;74;74229;2;8;1;3;D15;46,2248290000;6,3017860000
202100000201;30;11;2021;09:45;1;61;61001;2;6;2;3;CLAUDE BERNARD (RUE );48,4365200000;0,1049600000
202100000203;18;10;2021;15:37;1;88;88213;1;1;1;7;Col du Las;48,3397780000;7,0583940000
202100000217;14;7;2021;19:30;1;61;61159;1;1;1;7;;48,6538460000;0,4104350000
202100000218;24;7;2021;16:20;1;61;61001;2;6;2;3;;48,4343330000;0,0935580000
202100000226;4;6;2021;11:30;1;73;73065;2;3;8;3;Avenue MarÃ©chal Leclerc;45,5703281257;5,9167166719
202100000228;17;11;2021;17:01;2;36;36044;2;2;1;5;;46,8095700000;1,6701700000
202100000249;14;5;2021;12:21;1;78;78172;1;1;2;2;BRETELLE ACCES RD203/RN184 ;49,0020710000;2,0815830000
202100000250;21;10;2021;17:55;1;69;69386;2;1;1;2;CREQUI (DE) (R);45,7761264739;4,8446971178
202100000251;8;10;2021;09:50;1;69;69386;2;1;1;6;MARECHAL LYAUTEY (PL);45,7677673652;4,8423796892
202100000274;18;9;2021;20:33;2;38;38544;2;3;1;3;VIADUC(RUE DU);45,5334100000;4,8738200000
202100000285;9;9;2021;07:45;1;69;69383;2;2;8;3;CREQUI (DE) (R);45,7532410000;4,8490000000
202100000293;12;11;2021;20:25;5;69;69383;2;2;1;3;GAMBETTA (CR);45,7562700000;4,8403700000
202100000294;13;11;2021;16:30;2;69;69386;2;1;1;3;JULES FERRY (PL);45,7670000000;4,8590000000
202100000308;12;7;2021;20:05;1;13;13054;2;9;1;6;DEPARTEMENTALE 48 (ROUTE );43,4050800000;5,2231800000
202100000311;8;7;2021;09:30;1;13;13019;2;6;1;3;ROUTE DâAPT;43,4651100000;5,3536000000
202100000322;1;4;2021;18:30;1;33;33063;2;7;-1;3;Place Paul Doumer;44,8515900000; -0,5740400000
202100000334;28;8;2021;21:00;5;38;38382;1;8;1;6;Rue de l'Industrie;45,2207770000;5,6814511000
202100000344;27;12;2021;14:10;1;33;33063;2;2;8;3;Avenue d'ArÃ¨s;44,8364600000; -0,6011900000
202100000349;27;10;2021;11:15;1;75;75108;2;3;1;3;BOULEVARD MALESHERBES;48,8804910000;2,3129920000
202100000353;10;11;2021;17:00;1;87;87085;2;1;1;6;FOUGERAS (RUE DE);45,8695800000;1,2977500000
202100000354;24;10;2021;12:52;1;87;87085;2;1;1;3;FRACHON ( ave Benoit);45,8532800000;1,2958800000
202100000358;27;10;2021;17:50;1;35;35093;2;2;1;1;MANOIR (AVENUE DU);48,6240600000; -2,0337500000
202100000365;25;1;2021;10:10;1;13;13054;2;2;1;3;JEAN MONNET (RUE );43,4029000000;5,2164800000
202100000371;25;10;2021;14:34;1;65;65417;2;6;1;3;Rue Edouard Dallas;43,2237680000;0,0941080000
202100000377;8;5;2021;16:30;1;33;33044;1;1;1;6;RD140;44,7686850000; -0,1721330000
202100000442;28;9;2021;12:00;1;38;38511;1;1;1;1;route dÃ©partemantale 29;45,3528241000;5,9611990000
202100000451;5;10;2021;16:30;1;973;97309;1;1;1;2;Route de la Matourienne;4,8770930000; -52,2978560000
202100000456;8;11;2021;17:00;1;45;45298;2;1;1;3;EUROPE (PONT DE L'EUROPE);47,8933600000;1,8762500000
202100000465;28;7;2021;13:35;1;19;19031;2;1;1;2;MALECROIX (RUE DE);45,1512100000;1,5491700000
202100000470;9;11;2021;11:40;1;66;66136;2;6;1;3;BALEARES ROND POINT ET CITE DES;42,6884800000;2,8950200000
202100000494;17;10;2021;21:25;4;76;76351;2;2;1;3;VERDUN (RUE DE);49,5013935778;0,1500253379
202100000495;16;10;2021;19:30;5;76;76351;2;1;1;1;LAFAYETTE ( COURS);49,4917610000;0,1252000000
202100000509;13;11;2021;17:00;1;37;37122;2;6;2;3;CHANTEPIE (RUE DE);47,3503784806;0,6562600230
202100000518;18;4;2021;17:50;1;13;13047;2;6;1;2;RAYMOND FILIPPI AVENUE;43,5057400000;4,9845900000
202100000520;31;12;2021;16:43;1;87;87085;2;1;1;7;FRACHON ( ave Benoit);45,8561400000;1,2918400000
202100000550;1;4;2021;07:45;2;57;57289;2;9;1;7;Rue de la solitude;49,0549269000;7,0353568000
202100000552;13;6;2021;17:33;1;73;73008;2;2;7;3;D1201 Av Franklin Roosevelt;45,7059400000;5,9106600000
202100000555;8;11;2021;13:36;1;10;10387;2;2;1;3;QUATORZE JUILLET (RUE DU);48,2943000000;4,0783000000
202100000559;9;11;2021;12:40;1;65;65440;1;6;1;3;PAU (ROND POINT DE);43,2377220000;0,0418490000
202100000561;8;11;2021;19:48;5;56;56121;2;3;8;3;JENNER (RUE EDWARD);47,7514100000; -3,3708400000
202100000564;10;11;2021;16:15;1;49;49246;2;6;1;3;PERDRIAU;47,4394000000; -0,4860000000
202100000577;8;11;2021;13:55;1;10;10387;2;3;1;3;JEAN NESMY (RUE);48,2922000000;4,0861700000
202100000583;13;11;2021;01:00;3;974;97416;1;1;1;6;RN03; -21,3018500000;55,5019800000
202100000586;4;12;2021;09:35;1;78;78466;1;6;1;3;Route de Quarante Sous.;48,9239440000;1,9954720000
202100000593;8;11;2021;15:27;1;54;54395;2;2;1;3;REPUBLIQUE (RUE DE LA);48,6822242291;6,1779042612
202100000619;31;12;2021;14:40;1;73;73008;2;6;1;3;D1201 Boulevard MarÃ©chal de Lattre de Tassigny;45,6944490006;5,9004671732
202100000625;28;12;2021;16:45;2;38;38193;2;6;2;3;Boulevard de l Arbonnas;45,6157670000;5,2257160000
202100000660;31;12;2021;15:00;1;91;91458;1;1;1;2;CD 35;48,6645930000;2,2136810000
202100000669;31;12;2021;11:50;1;68;68007;1;1;1;2;Rd 415;48,0589940000;7,4290320000
202100000706;29;12;2021;18:14;1;09;09181;1;1;1;2;Lieu dit Le Bole;43,0870180000;1,3721710000
202100000780;31;12;2021;10:07;1;75;75119;2;2;1;3;AVENUE CORENTIN CARIOU;48,8981940000;2,3860090000
202100000854;30;12;2021;05:00;5;69;69264;2;1;2;7;VERMOREL VICTOR (BD);45,9855705454;4,7133842111
202100000868;30;12;2021;12:15;1;27;27306;2;6;1;3;GUILLAUMET (RUE);49,0038240000;1,1769340000
202100000888;30;12;2021;07:05;5;75;75120;2;1;1;6;RUE DES PYRENEES;48,8696120000;2,3947990000
202100000940;30;12;2021;17:00;1;71;71512;2;1;1;3;route de chalon;46,6358876566;4,8710922884
202100000945;30;12;2021;16:45;2;22;22173;1;1;1;1;La Longueraie Planguenoual;48,5431608637; -2,6066163174
202100000962;21;9;2021;14:25;1;29;29232;1;1;1;7;D785 - Route de Pont L'Abbe;47,9783870000; -4,1289730000
202100000978;28;12;2021;13:15;1;80;80021;2;1;6;6;SAINT PIERRE (CHAUSSEE);49,9034600000;2,3063700000
202100000979;27;12;2021;16:10;1;80;80724;2;1;1;3;JEAN CATELAS (RUE);49,8609200000;2,2398800000
202100000983;18;12;2021;14:00;1;77;77169;2;3;1;3;SILENCIEUSE (RUE);48,8076000000;2,6207300000
202100001005;28;12;2021;19:45;5;53;53130;2;2;1;3;HEULOT ( RUE DU COLONEL );48,0653100000; -0,7549400000
202100001019;28;12;2021;12:24;1;35;35238;2;1;1;3;Rue EugÃ¨ne Pottier;48,1032700000; -1,7113000000
202100001032;29;12;2021;05:45;2;27;27229;2;1;2;3;DUPONT DE L'EURE (PLACE);49,0299700000;1,1534500000
202100001048;29;12;2021;07:50;2;02;02738;2;2;1;3;GAMBETTA (BOULEVARD);49,6537900000;3,2921100000
202100001063;28;12;2021;19:52;5;75;75110;2;2;1;3;RUE LA FAYETTE;48,8813300000;2,3647220000
