Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
201700000002;0.0;1;0;0.0;0.0;7.0;1.0;B01
201700000019;0.0;1;0;0.0;2.0;2.0;2.0;B01
201700000022;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700000042;0.0;1;0;0.0;0.0;0.0;2.0;B01
201700000043;2.0;1;0;0.0;1.0;1.0;1.0;A01
201700000058;1.0;1;0;0.0;2.0;1.0;5.0;B01
201700000062;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700000065;0.0;1;0;0.0;0.0;0.0;9.0;C01
201700000092;0.0;1;0;13.0;0.0;7.0;0.0;A01
201700000099;0.0;1;0;0.0;2.0;1.0;0.0;B01
201700000106;0.0;1;0;0.0;0.0;4.0;1.0;B01
201700000107;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700000108;0.0;1;0;0.0;2.0;1.0;1.0;A01
201700000121;1.0;1;0;0.0;2.0;4.0;2.0;B01
201700000159;0.0;1;0;0.0;2.0;1.0;5.0;B01
201700000164;0.0;1;0;0.0;2.0;1.0;5.0;B01
201700000175;0.0;1;0;0.0;2.0;8.0;0.0;B01
201700000181;2.0;1;0;0.0;2.0;1.0;1.0;B01
201700000197;0.0;1;0;0.0;1.0;1.0;1.0;A01
201700000198;0.0;1;0;0.0;2.0;8.0;1.0;B01
201700000200;0.0;1;0;0.0;0.0;0.0;0.0;A01
201700000204;1.0;1;0;0.0;2.0;8.0;13.0;B01
201700000213;1.0;1;0;14.0;2.0;7.0;19.0;B01
201700000220;0.0;1;0;0.0;2.0;8.0;1.0;B01
201700000246;1.0;1;0;0.0;2.0;8.0;19.0;B01
201700000317;0.0;1;0;0.0;2.0;0.0;0.0;B01
201700000328;0.0;1;0;0.0;1.0;1.0;2.0;A01
201700000348;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700000364;1.0;1;0;0.0;2.0;2.0;12.0;A01
201700000386;1.0;1;0;0.0;2.0;1.0;1.0;B01
201700000388;1.0;1;0;0.0;0.0;4.0;1.0;B01
201700000439;0.0;1;0;15.0;0.0;0.0;0.0;A01
201700000469;2.0;1;0;0.0;0.0;4.0;2.0;B01
201700000475;1.0;1;0;0.0;2.0;1.0;1.0;B01
201700000478;1.0;1;0;0.0;2.0;2.0;3.0;C01
201700000478;1.0;1;0;0.0;2.0;0.0;2.0;B01
201700000479;2.0;1;0;0.0;2.0;8.0;1.0;B01
201700000481;1.0;1;0;0.0;2.0;1.0;1.0;B01
201700000492;1.0;1;0;1.0;0.0;1.0;0.0;B01
201700000515;1.0;1;0;0.0;2.0;8.0;1.0;B01
201700000526;1.0;1;0;0.0;0.0;6.0;2.0;B01
201700000529;0.0;1;0;0.0;2.0;1.0;16.0;B01
201700000539;2.0;1;0;0.0;2.0;1.0;1.0;B01
201700000555;1.0;1;0;0.0;2.0;1.0;13.0;A01
201700000562;2.0;1;0;0.0;2.0;4.0;15.0;B01
201700000568;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700000573;0.0;1;0;0.0;2.0;0.0;2.0;C01
201700000573;0.0;1;0;0.0;2.0;0.0;2.0;D01
201700000573;0.0;1;0;0.0;2.0;0.0;2.0;E01
201700000573;0.0;1;0;0.0;2.0;0.0;2.0;F01
201700000573;0.0;1;0;0.0;2.0;0.0;2.0;G01
201700000604;1.0;1;0;0.0;2.0;4.0;0.0;C01
201700000607;2.0;1;0;0.0;2.0;8.0;19.0;A01
201700000608;2.0;1;0;0.0;5.0;1.0;1.0;A01
201700000611;2.0;1;0;0.0;0.0;0.0;1.0;D01
201700000615;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700000636;2.0;1;0;0.0;2.0;1.0;1.0;B01
201700000638;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700000642;2.0;1;0;0.0;2.0;1.0;1.0;B01
201700000643;0.0;1;0;0.0;1.0;2.0;1.0;A01
201700000644;0.0;1;0;0.0;0.0;7.0;1.0;B01
201700000648;0.0;1;0;0.0;2.0;1.0;17.0;A01
201700000656;2.0;1;0;0.0;0.0;3.0;1.0;B01
201700000660;0.0;1;0;0.0;2.0;7.0;1.0;A01
201700000675;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700000684;2.0;1;0;0.0;2.0;2.0;1.0;B01
201700000694;2.0;1;0;0.0;2.0;1.0;2.0;B01
201700000697;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700000707;2.0;1;0;0.0;0.0;7.0;1.0;B01
201700000714;2.0;1;0;0.0;2.0;0.0;1.0;B01
201700000719;0.0;1;0;0.0;2.0;0.0;0.0;A01
201700000727;0.0;1;0;0.0;2.0;6.0;5.0;B01
201700000728;1.0;1;0;0.0;0.0;0.0;0.0;A01
201700000745;1.0;1;0;1.0;0.0;1.0;2.0;A01
201700000757;2.0;1;0;0.0;2.0;1.0;13.0;A01
201700000794;1.0;1;0;0.0;2.0;4.0;2.0;B01
201700000797;1.0;1;0;0.0;9.0;1.0;13.0;A01
201700000809;2.0;1;0;12.0;0.0;7.0;1.0;A01
201700000812;0.0;1;0;0.0;2.0;1.0;5.0;A01
201700000813;0.0;1;0;13.0;0.0;1.0;0.0;A01
201700000830;0.0;1;0;0.0;2.0;3.0;1.0;B01
201700000858;0.0;1;0;0.0;2.0;8.0;2.0;B01
201700000858;0.0;1;0;0.0;9.0;8.0;2.0;C01
201700000874;2.0;1;0;0.0;2.0;4.0;1.0;B01
201700000899;1.0;1;0;0.0;0.0;0.0;0.0;A01
201700000901;2.0;1;0;0.0;2.0;1.0;0.0;B01
201700000902;2.0;1;0;0.0;2.0;2.0;0.0;A01
201700000911;2.0;1;0;0.0;2.0;7.0;21.0;B01
201700000917;2.0;1;0;0.0;2.0;8.0;19.0;B01
201700000948;1.0;1;0;0.0;0.0;8.0;1.0;A01
201700000951;1.0;1;0;0.0;2.0;1.0;1.0;B01
201700000953;0.0;1;0;1.0;2.0;9.0;13.0;A01
201700000953;0.0;1;0;0.0;2.0;9.0;17.0;B01
201700000975;0.0;1;0;0.0;2.0;1.0;1.0;A01
201700000990;0.0;1;0;9.0;0.0;1.0;1.0;A01
201700001004;2.0;1;0;0.0;2.0;4.0;1.0;C01
201700001008;2.0;1;0;0.0;2.0;3.0;13.0;B01
201700001019;0.0;1;0;6.0;0.0;1.0;1.0;A01
201700001033;0.0;1;0;0.0;6.0;1.0;1.0;A01
201700001067;2.0;1;0;0.0;2.0;2.0;1.0;B01
201700001068;0.0;1;0;0.0;0.0;7.0;19.0;B01
201700001070;1.0;1;0;0.0;2.0;1.0;19.0;B01
201700001071;2.0;1;0;0.0;2.0;1.0;13.0;A01
201700001088;0.0;1;0;11.0;0.0;0.0;1.0;A01
201700001100;0.0;1;0;0.0;2.0;4.0;1.0;A01
201700001117;2.0;1;0;0.0;2.0;8.0;1.0;B01
201700001125;1.0;1;0;0.0;2.0;5.0;1.0;B01
201700001132;1.0;1;0;0.0;2.0;4.0;2.0;B01
201700001143;1.0;1;0;0.0;2.0;0.0;2.0;A01
201700001147;1.0;1;0;0.0;2.0;2.0;1.0;B01
201700001158;0.0;1;0;0.0;2.0;4.0;19.0;B01
201700001163;2.0;1;0;0.0;2.0;8.0;19.0;A01
201700001168;1.0;1;0;0.0;0.0;6.0;1.0;B01
201700001176;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700001181;2.0;1;0;0.0;2.0;1.0;19.0;B01
201700001220;2.0;1;0;0.0;2.0;0.0;1.0;B01
201700001225;0.0;1;0;0.0;2.0;8.0;1.0;B01
201700001267;2.0;1;0;0.0;2.0;1.0;1.0;B01
201700001283;1.0;1;0;0.0;9.0;0.0;5.0;B01
201700001285;2.0;1;0;0.0;0.0;4.0;2.0;B01
201700001309;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700001323;1.0;1;0;0.0;2.0;1.0;1.0;A01
201700001355;1.0;1;0;0.0;2.0;7.0;19.0;B01
201700001374;1.0;1;0;0.0;2.0;1.0;15.0;B01
201700001379;1.0;1;0;0.0;2.0;3.0;1.0;B01
201700001433;2.0;1;0;0.0;0.0;4.0;1.0;A01
201700001433;2.0;1;0;0.0;2.0;1.0;1.0;B01
201700001436;2.0;1;0;0.0;2.0;1.0;0.0;B01
201700001438;0.0;1;0;0.0;0.0;0.0;0.0;A01
201700001446;0.0;1;0;12.0;2.0;8.0;1.0;A01
201700001448;0.0;1;0;0.0;0.0;7.0;1.0;B01
201700001455;1.0;1;0;0.0;0.0;8.0;2.0;B01
201700001501;2.0;1;0;0.0;2.0;3.0;1.0;B01
201700001507;2.0;1;0;0.0;2.0;2.0;1.0;B01
201700001508;1.0;1;0;0.0;0.0;0.0;19.0;A01
201700001522;1.0;1;0;0.0;2.0;8.0;19.0;A01
201700001562;1.0;1;0;0.0;2.0;7.0;1.0;A01
201700001608;1.0;1;0;0.0;0.0;4.0;2.0;B01
201700001638;1.0;1;0;0.0;2.0;1.0;1.0;B01
201700001640;2.0;1;0;0.0;5.0;1.0;14.0;B01
201700001640;2.0;1;0;0.0;0.0;0.0;5.0;C01
201700001640;2.0;1;0;0.0;0.0;0.0;5.0;D01
201700001640;2.0;1;0;0.0;2.0;7.0;5.0;E01
201700001648;1.0;1;0;0.0;0.0;0.0;1.0;A01
201700001655;2.0;1;0;0.0;1.0;1.0;17.0;A01
201700001664;2.0;1;0;0.0;2.0;8.0;9.0;A01
201700001671;2.0;1;0;6.0;0.0;1.0;1.0;A01
201700001679;1.0;1;0;15.0;0.0;1.0;1.0;A01
201700001682;1.0;1;0;0.0;2.0;0.0;1.0;B01
201700001698;0.0;1;0;0.0;2.0;1.0;15.0;B02
201700001702;1.0;1;0;0.0;2.0;1.0;13.0;A01
201700001710;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700001727;2.0;1;0;0.0;2.0;8.0;2.0;B01
201700001731;1.0;1;0;4.0;0.0;7.0;1.0;A01
201700001735;0.0;1;0;0.0;2.0;1.0;2.0;A01
201700001738;1.0;1;0;6.0;0.0;1.0;1.0;A01
201700001739;0.0;1;0;0.0;0.0;1.0;0.0;A01
201700001753;0.0;1;0;0.0;0.0;0.0;1.0;A01
201700001777;0.0;1;0;12.0;0.0;1.0;0.0;A01
201700001837;1.0;1;0;0.0;2.0;1.0;1.0;B01
201700001854;0.0;1;0;0.0;2.0;7.0;16.0;B01
201700001856;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700001857;0.0;1;0;0.0;0.0;2.0;19.0;B01
201700001858;0.0;1;0;0.0;2.0;5.0;1.0;B01
201700001873;1.0;1;0;0.0;2.0;7.0;1.0;B01
201700001878;1.0;1;0;1.0;0.0;1.0;2.0;B01
201700001888;0.0;1;0;14.0;0.0;1.0;1.0;A01
201700001899;0.0;1;0;0.0;2.0;1.0;1.0;B01
201700001928;1.0;1;0;0.0;2.0;0.0;19.0;A01
201700001947;2.0;1;0;0.0;2.0;8.0;1.0;B01
