Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
201700000002;3;39;;;2.0;2.0;;;0.0;1.0;0.0;6.0;10.0;1.0;;;
201700000019;3;54;;;2.0;2.0;;;0.0;1.0;0.0;0.0;15.0;1.0;;;
201700000022;3;94;;;2.0;2.0;;;0.0;1.0;0.0;0.0;10.0;1.0;;;
201700000042;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
201700000043;3;18;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;3.0
201700000058;3;941;;;2.0;2.0;40.0;;1.0;1.0;0.0;0.0;10.0;0.0;;;
201700000062;3;90;;d;2.0;2.0;;;0.0;1.0;0.0;6.0;10.0;1.0;;;
201700000065;3;955;;;2.0;2.0;;;0.0;1.0;0.0;6.0;910.0;1.0;;;
201700000092;4;0;;;2.0;2.0;;;0.0;4.0;0.0;0.0;15.0;1.0;;;
201700000099;9;0;;;0.0;2.0;;;0.0;1.0;0.0;0.0;15.0;1.0;;;
201700000106;3;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;70.0;1.0;0.0;1.0;99.0
201700000107;4;;;;;;;;;;;;;;;;
201700000108;4;25;;;2.0;1.0;;;0.0;2.0;0.0;0.0;10.0;1.0;;;
201700000121;3;45;;;2.0;2.0;15.0;247.0;0.0;1.0;1.0;35.0;0.0;2.0;0.0;1.0;99.0
201700000159;3;117;;;2.0;2.0;7.0;396.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0;99.0
201700000164;6;0;;;2.0;2.0;;;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;99.0
201700000175;3;51;;;2.0;2.0;;;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;99.0
201700000181;3;46;;E;2.0;2.0;;;0.0;1.0;1.0;0.0;45.0;1.0;1.0;1.0;99.0
201700000197;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
201700000198;4;;;;;;;;;;;;;;;1.0;
201700000200;9;0;;;1.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;3.0
201700000204;4;0;;;2.0;2.0;;;0.0;1.0;0.0;0.0;10.0;1.0;;;
201700000213;3;3;;;2.0;2.0;;;1.0;1.0;0.0;6.0;15.0;1.0;;;
201700000220;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
201700000246;3;1043;;;2.0;2.0;11.0;433.0;0.0;1.0;0.0;13.0;315.0;1.0;0.0;1.0;99.0
201700000317;3;92;;;0.0;2.0;0.0;950.0;0.0;1.0;0.0;0.0;10.0;1.0;0.0;1.0;99.0
201700000328;6;;;a;0.0;0.0;;;0.0;1.0;0.0;0.0;10.0;1.0;0.0;0.0;99.0
201700000348;4;;;;2.0;2.0;;;0.0;1.0;0.0;0.0;10.0;1.0;;;
201700000364;3;6015;;;2.0;2.0;3.0;32.0;0.0;1.0;1.0;0.0;69.0;1.0;0.0;1.0;99.0
201700000386;4;0;;;2.0;2.0;;;0.0;1.0;0.0;8.0;10.0;1.0;;;
201700000388;3;5;;;2.0;2.0;17.0;200.0;0.0;3.0;2.0;0.0;60.0;1.0;0.0;1.0;99.0
201700000439;3;7;;;2.0;2.0;13.0;200.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;99.0
201700000469;3;321;;;2.0;1.0;0.0;650.0;0.0;1.0;1.0;0.0;70.0;1.0;0.0;1.0;99.0
201700000475;3;34;;;2.0;2.0;12.0;337.0;0.0;1.0;0.0;0.0;10.0;1.0;5.0;1.0;99.0
201700000478;2;136;;;1.0;2.0;27.0;790.0;0.0;3.0;2.0;;;1.0;0.0;1.0;99.0
201700000479;3;27;;;2.0;2.0;35.0;590.0;0.0;1.0;1.0;;;1.0;5.0;1.0;99.0
201700000481;3;29;;;2.0;2.0;23.0;950.0;0.0;1.0;0.0;;;1.0;5.0;1.0;99.0
201700000492;2;24;;;3.0;4.0;4.0;562.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;5.0;99.0
201700000515;4;62;;;2.0;2.0;47.0;415.0;0.0;1.0;1.0;5.0;25.0;1.0;5.0;1.0;99.0
201700000526;3;777;;;2.0;2.0;43.0;300.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
201700000529;3;163;;;2.0;2.0;3.0;305.0;0.0;2.0;0.0;;;1.0;5.0;1.0;3.0
201700000539;3;712;;;2.0;2.0;19.0;0.0;0.0;1.0;0.0;7.0;15.0;1.0;5.0;1.0;99.0
201700000555;3;15;;;2.0;2.0;14.0;120.0;0.0;2.0;3.0;0.0;65.0;1.0;0.0;1.0;99.0
201700000562;3;786;;;2.0;2.0;11.0;650.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
201700000568;4;;;;2.0;2.0;;;0.0;2.0;1.0;0.0;30.0;1.0;0.0;0.0;99.0
201700000573;4;36;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;99.0
201700000604;3;786;;D;2.0;2.0;3.0;450.0;0.0;2.0;2.0;6.0;10.0;1.0;5.0;1.0;99.0
201700000607;3;68;;;2.0;2.0;9.0;1450.0;0.0;1.0;;0.0;60.0;1.0;0.0;1.0;99.0
