Num_Acc;place;catu;grav;sexe;trajet;secu;locp;actp;etatp;an_nais;num_veh;age
201700000002;1.0;1;1;1;0.0;11.0;0.0;0.0;0.0;1953.0;A01;69.0
201700000002;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;1960.0;B01;62.0
201700000019;1.0;1;3;1;1.0;92.0;0.0;0.0;0.0;1984.0;B01;38.0
201700000019;1.0;1;1;1;1.0;11.0;0.0;0.0;0.0;1967.0;A01;55.0
201700000022;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1955.0;B01;67.0
201700000022;1.0;1;1;2;0.0;11.0;0.0;0.0;0.0;1997.0;A01;25.0
201700000042;1.0;1;1;2;1.0;11.0;0.0;0.0;0.0;1985.0;A01;37.0
201700000042;1.0;1;3;1;3.0;42.0;0.0;0.0;0.0;1947.0;B01;75.0
201700000043;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1989.0;A01;33.0
201700000043;;3;3;2;5.0;92.0;3.0;3.0;0.0;1955.0;A01;67.0
201700000043;;3;1;2;5.0;92.0;3.0;3.0;2.0;2014.0;A01;8.0
201700000058;1.0;1;4;1;5.0;91.0;0.0;0.0;0.0;1958.0;B01;64.0
201700000058;1.0;1;1;2;3.0;11.0;0.0;0.0;0.0;1948.0;A01;74.0
201700000062;1.0;1;1;1;1.0;11.0;0.0;0.0;0.0;1982.0;A01;40.0
201700000062;1.0;1;3;1;1.0;22.0;0.0;0.0;0.0;1960.0;B01;62.0
201700000065;1.0;1;3;1;9.0;11.0;0.0;0.0;0.0;1956.0;A01;66.0
201700000065;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1982.0;B01;40.0
201700000065;9.0;2;1;2;9.0;11.0;0.0;0.0;0.0;2016.0;B01;6.0
201700000065;1.0;1;1;1;5.0;22.0;0.0;0.0;0.0;2002.0;C01;20.0
201700000092;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1968.0;A01;54.0
201700000099;1.0;1;1;1;1.0;11.0;0.0;0.0;0.0;1983.0;A01;39.0
201700000099;1.0;1;4;1;5.0;22.0;0.0;0.0;0.0;1981.0;B01;41.0
201700000106;1.0;1;1;1;3.0;11.0;0.0;0.0;0.0;1948.0;A01;74.0
201700000106;1.0;1;3;1;3.0;21.0;0.0;0.0;0.0;1958.0;B01;64.0
201700000107;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1998.0;A01;24.0
201700000107;1.0;1;3;1;0.0;22.0;0.0;0.0;0.0;1978.0;B01;44.0
201700000108;1.0;1;3;1;5.0;91.0;0.0;0.0;0.0;1981.0;A01;41.0
201700000108;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1999.0;B01;23.0
201700000121;1.0;1;1;1;2.0;13.0;0.0;0.0;0.0;1994.0;A01;28.0
201700000121;1.0;1;3;1;1.0;42.0;0.0;0.0;0.0;2000.0;B01;22.0
201700000159;1.0;1;1;1;1.0;13.0;0.0;0.0;0.0;1980.0;A01;42.0
201700000159;1.0;1;3;1;0.0;42.0;0.0;0.0;0.0;1971.0;B01;51.0
201700000164;1.0;1;4;1;5.0;22.0;0.0;0.0;0.0;2007.0;B01;15.0
201700000164;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1990.0;A01;32.0
201700000175;1.0;1;3;1;4.0;21.0;0.0;0.0;0.0;1959.0;B01;63.0
201700000181;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1960.0;A01;62.0
201700000181;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1938.0;B01;84.0
201700000197;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1951.0;A01;71.0
201700000197;;3;4;2;5.0;93.0;2.0;3.0;1.0;1957.0;A01;65.0
201700000198;1.0;1;4;2;3.0;93.0;0.0;0.0;0.0;1960.0;B01;62.0
201700000198;1.0;1;1;1;3.0;13.0;0.0;0.0;0.0;1973.0;A01;49.0
201700000200;1.0;1;4;1;2.0;92.0;0.0;0.0;0.0;2002.0;A01;20.0
201700000204;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1997.0;A01;25.0
201700000204;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1948.0;B01;74.0
201700000213;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1997.0;A01;25.0
201700000213;1.0;1;2;1;5.0;21.0;0.0;0.0;0.0;1947.0;B01;75.0
201700000220;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1996.0;A01;26.0
201700000220;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;2003.0;B01;19.0
201700000246;1.0;1;2;2;5.0;22.0;0.0;0.0;0.0;1943.0;B01;79.0
201700000246;1.0;1;1;1;3.0;11.0;0.0;0.0;0.0;1956.0;A01;66.0
201700000246;2.0;2;1;1;0.0;11.0;0.0;0.0;0.0;1986.0;A01;36.0
201700000246;9.0;2;1;1;0.0;11.0;0.0;0.0;0.0;1995.0;A01;27.0
201700000317;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1943.0;A01;79.0
201700000317;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1987.0;B01;35.0
201700000328;1.0;1;1;1;5.0;92.0;0.0;0.0;0.0;2004.0;A01;18.0
201700000328;;3;4;2;5.0;92.0;0.0;1.0;2.0;1936.0;A01;86.0
201700000348;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1976.0;A01;46.0
201700000348;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1957.0;B01;65.0
201700000364;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;1946.0;A01;76.0
201700000364;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1994.0;B01;28.0
201700000386;1.0;1;4;1;1.0;92.0;0.0;0.0;0.0;1991.0;B01;31.0
201700000386;1.0;1;1;1;5.0;13.0;0.0;0.0;0.0;1996.0;A01;26.0
201700000388;1.0;1;1;1;0.0;13.0;0.0;0.0;0.0;1981.0;A01;41.0
201700000388;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1986.0;B01;36.0
201700000439;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;2002.0;A01;20.0
201700000469;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1992.0;A01;30.0
201700000469;1.0;1;4;1;5.0;22.0;0.0;0.0;0.0;1967.0;B01;55.0
201700000475;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1969.0;B01;53.0
201700000475;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1984.0;A01;38.0
201700000478;1.0;1;1;1;1.0;11.0;0.0;0.0;0.0;1977.0;A01;45.0
201700000478;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1944.0;C01;78.0
201700000478;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1949.0;B01;73.0
201700000479;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1966.0;B01;56.0
201700000479;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1934.0;A01;88.0
201700000481;1.0;1;1;2;1.0;13.0;0.0;0.0;0.0;1975.0;A01;47.0
201700000481;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1953.0;B01;69.0
201700000492;1.0;1;1;1;4.0;41.0;0.0;0.0;0.0;1971.0;A01;51.0
201700000492;1.0;1;3;1;1.0;21.0;0.0;0.0;0.0;1971.0;B01;51.0
201700000515;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1927.0;A01;95.0
201700000515;1.0;1;3;2;5.0;22.0;0.0;0.0;0.0;1953.0;B01;69.0
201700000526;1.0;1;1;1;1.0;11.0;0.0;0.0;0.0;1974.0;A01;48.0
201700000526;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1993.0;B01;29.0
201700000529;1.0;1;1;1;0.0;11.0;0.0;0.0;0.0;1969.0;A01;53.0
201700000529;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;2009.0;B01;13.0
201700000539;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1969.0;A01;53.0
201700000539;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1950.0;B01;72.0
201700000555;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1953.0;A01;69.0
201700000555;1.0;1;1;1;4.0;11.0;0.0;0.0;0.0;1978.0;B01;44.0
201700000562;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1995.0;A01;27.0
201700000562;2.0;2;1;2;5.0;11.0;0.0;0.0;0.0;1994.0;A01;28.0
201700000562;3.0;2;1;2;5.0;13.0;0.0;0.0;0.0;2016.0;A01;6.0
201700000562;4.0;2;1;1;5.0;11.0;0.0;0.0;0.0;1995.0;A01;27.0
201700000562;1.0;1;3;1;5.0;93.0;0.0;0.0;0.0;1983.0;B01;39.0
201700000568;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1947.0;A01;75.0
201700000568;1.0;1;3;2;5.0;21.0;0.0;0.0;0.0;1969.0;B01;53.0
201700000573;1.0;1;1;2;9.0;11.0;0.0;0.0;0.0;1937.0;A01;85.0
201700000573;1.0;1;1;1;4.0;11.0;0.0;0.0;0.0;1953.0;B01;69.0
201700000573;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1952.0;C01;70.0
201700000573;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1948.0;D01;74.0
201700000573;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1946.0;E01;76.0
201700000573;1.0;1;1;1;5.0;21.0;0.0;0.0;0.0;1939.0;F01;83.0
201700000573;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1947.0;G01;75.0
201700000604;1.0;1;1;1;3.0;11.0;0.0;0.0;0.0;1957.0;B01;65.0
201700000604;2.0;2;3;2;3.0;11.0;0.0;0.0;0.0;1962.0;B01;60.0
201700000604;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;1952.0;C01;70.0
201700000604;1.0;1;1;1;3.0;11.0;0.0;0.0;0.0;1952.0;A01;70.0
201700000607;1.0;1;4;2;5.0;21.0;0.0;0.0;0.0;1975.0;A01;47.0
201700000607;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1979.0;B01;43.0
201700000608;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1967.0;A01;55.0
201700000611;1.0;1;4;1;4.0;11.0;0.0;0.0;0.0;1969.0;A01;53.0
201700000611;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1959.0;B01;63.0
201700000611;2.0;2;1;2;5.0;11.0;0.0;0.0;0.0;1962.0;B01;60.0
201700000611;3.0;2;1;2;5.0;11.0;0.0;0.0;0.0;1943.0;B01;79.0
201700000611;4.0;2;1;2;5.0;11.0;0.0;0.0;0.0;1993.0;B01;29.0
201700000611;1.0;1;3;2;1.0;11.0;0.0;0.0;0.0;1988.0;C01;34.0
201700000611;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;1955.0;D01;67.0
201700000615;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1949.0;B01;73.0
201700000615;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1969.0;A01;53.0
201700000636;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1966.0;B01;56.0
201700000636;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1955.0;A01;67.0
201700000638;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1994.0;A01;28.0
201700000638;1.0;1;2;1;5.0;21.0;0.0;0.0;0.0;1937.0;B01;85.0
201700000642;1.0;1;1;2;5.0;13.0;0.0;0.0;0.0;1964.0;A01;58.0
201700000642;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;1959.0;B01;63.0
201700000643;1.0;1;1;1;5.0;92.0;0.0;0.0;0.0;2002.0;A01;20.0
201700000643;;3;4;2;5.0;92.0;1.0;1.0;2.0;1960.0;A01;62.0
201700000644;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;1953.0;B01;69.0
201700000644;1.0;1;1;1;4.0;13.0;0.0;0.0;0.0;1962.0;A01;60.0
201700000648;1.0;1;3;1;1.0;22.0;0.0;0.0;0.0;1976.0;A01;46.0
201700000648;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1977.0;B01;45.0
201700000648;2.0;2;1;2;5.0;11.0;0.0;0.0;0.0;2007.0;B01;15.0
201700000648;9.0;2;1;2;5.0;31.0;0.0;0.0;0.0;2010.0;B01;12.0
201700000656;1.0;1;1;1;5.0;13.0;0.0;0.0;0.0;1988.0;A01;34.0
201700000656;1.0;1;3;2;5.0;22.0;0.0;0.0;0.0;2001.0;B01;21.0
201700000660;1.0;1;1;2;1.0;11.0;0.0;0.0;0.0;1984.0;B01;38.0
201700000660;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1964.0;A01;58.0
201700000675;1.0;1;1;1;0.0;11.0;0.0;0.0;0.0;1985.0;A01;37.0
201700000675;1.0;1;4;1;5.0;21.0;0.0;0.0;0.0;1947.0;B01;75.0
201700000684;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1947.0;B01;75.0
201700000684;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1950.0;A01;72.0
201700000694;1.0;1;1;1;0.0;13.0;0.0;0.0;0.0;1997.0;A01;25.0
201700000694;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1936.0;B01;86.0
201700000697;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1959.0;A01;63.0
201700000697;2.0;2;1;2;5.0;11.0;0.0;0.0;0.0;1985.0;A01;37.0
201700000697;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1980.0;B01;42.0
201700000707;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;1955.0;B01;67.0
201700000714;1.0;1;1;2;3.0;11.0;0.0;0.0;0.0;1953.0;A01;69.0
