Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
201500000062;15;11;2;945;1;2;1;5;3;268;138 rue gendarmerie;M;5064100.0;272200.0;590
201500000092;15;5;5;1200;1;1;1;6;2;611;LAMBERSART RUE DE;M;5066572.0;300818.0;590
201500000093;15;5;22;1100;1;2;1;1;1;611;CHEMIN DE QUESNOY;M;5069039.0;299471.0;590
201500000097;15;12;17;1200;1;1;1;1;3;252;;M;0.0;0.0;590
201500000102;15;11;8;900;1;1;1;7;2;38;;M;0.0;0.0;590
201500000110;15;8;10;1445;1;1;1;1;1;529;;M;0.0;0.0;590
201500000120;15;9;3;1800;1;2;7;3;6;249;place georges coppeaux;M;0.0;0.0;590
201500000190;15;12;4;1730;3;2;9;1;1;357;route de feignies;M;0.0;0.0;590
201500000209;15;5;26;1830;1;2;2;1;3;579;rue d'arras;M;5018183.0;265780.0;620
201500000218;15;6;28;945;1;2;3;1;3;861;RUE VICTOR HUGO;M;5037620.0;280639.0;620
201500000246;15;6;15;1845;1;2;1;1;6;473;rue de l'église de ber;M;5061111.0;247597.0;620
201500000248;15;6;28;1545;1;2;1;1;1;473;Rue Roger Salengro;M;5061875.0;247133.0;620
201500000259;15;7;1;1830;1;2;1;7;2;268;rue Jean macé, desvres;M;5066697.0;184069.0;620
201500000263;15;9;6;1715;1;2;1;1;1;268;;M;5067859.0;183109.0;620
201500000303;15;7;2;1700;1;2;1;1;1;14;rue du doyen;M;5063973.0;239581.0;620
201500000321;15;6;26;1200;1;1;9;1;1;451;;M;5047660.0;227821.0;620
201500000340;15;1;4;2145;5;2;6;1;3;16;rond point rue lamarack;M;5000293.0;265187.0;800
201500000348;15;10;30;1130;1;2;1;1;1;16;66, RUE JEAN JAURES;M;4999797.0;265018.0;800
201500000380;15;9;28;1100;1;2;5;7;1;720;;M;0.0;0.0;20
201500000389;15;1;6;1500;1;2;1;1;3;163;rue Emile Morlot;M;4897712.0;328837.0;20
201500000411;15;1;9;1345;1;2;1;1;2;210;Route de vouziers;M;0.0;0.0;20
201500000443;15;5;15;1600;1;2;1;1;1;681;chemin communal 1;M;4939842.0;194846.0;600
201500000444;15;6;1;1830;1;1;1;1;3;616;;M;4935566.0;176780.0;600
201500000467;15;4;9;1800;1;2;1;1;1;462;Rue de Calais;M;4933401.0;219832.0;600
201500000473;15;10;1;1415;1;2;2;1;3;330;Rue Madame;M;4929610.0;215942.0;600
201500000486;15;4;19;1115;1;1;9;1;3;360;;M;4932925.0;246802.0;600
201500000487;15;6;7;1415;1;2;1;1;1;360;RUELLE MONHOMME;M;4933071.0;245830.0;600
201500000530;15;6;10;1145;1;2;1;1;1;612;AVENUE ALBERT 1 ER;M;4920365.0;259470.0;600
201500000539;15;9;26;700;2;1;1;1;1;517;;M;4922813.0;222668.0;600
201500000544;15;7;6;1945;1;2;6;1;3;346;3ème av - av beaumont;M;4916771.0;242309.0;600
201500000548;15;12;26;1100;1;2;6;1;1;141;;M;4919291.0;246331.0;600
201500000561;15;4;2;1745;1;2;1;1;3;509;rue de la paix;M;4930849.0;260296.0;600
201500000568;15;7;20;600;2;1;1;2;2;594;;M;4949164.0;101455.0;760
201500000593;15;9;19;1445;1;1;1;1;1;125;;M;4961913.0;118121.0;760
201500000602;15;9;6;1130;1;2;2;1;3;636;D43;M;4950109.0;93159.0;760
201500000612;15;6;21;1715;1;1;1;1;3;268;;M;4968543.0;32054.0;760
201500000646;15;3;6;1445;1;1;1;7;2;459;;M;4971081.0;149927.0;760
201500000693;15;6;11;700;1;2;3;1;1;611;Rue Abbé Pierre Deleau;M;4964853.0;89460.0;760
201500000726;15;6;4;1615;1;2;6;1;3;448;rue isambard;M;4901415.0;138559.0;270
201500000740;15;11;4;1330;1;2;1;1;1;495;;M;4925179.0;135426.0;270
201500000785;15;7;24;1500;1;1;1;1;3;249;;M;4918269.0;125726.0;270
201500000789;15;11;28;1130;1;1;1;1;3;22;;M;4919361.0;133205.0;270
201500000798;15;9;2;1900;2;1;6;7;3;196;;M;4929714.0;117494.0;270
201500000835;15;7;31;945;1;1;2;7;1;67;;M;4821665.0;-159149.0;350
201500000847;15;10;29;900;1;1;1;1;5;133;La Croix;M;4810850.0;-203600.0;350
201500000853;15;7;30;1600;1;2;6;7;3;37;rond-point de Chauny;M;4804564.0;-187283.0;350
201500000857;15;11;1;1230;1;2;2;1;3;196;Crfour Pompidou fontenel;M;4807840.0;-184384.0;350
201500000865;15;8;18;1045;1;1;1;1;1;243;;M;4834869.0;-126208.0;350
201500000880;15;5;14;1445;1;1;1;1;3;341;Les Hautes Rottes;M;4840023.0;-142030.0;350
201500000890;15;4;9;1845;1;2;1;1;3;64;chemin de la guerinais;M;0.0;0.0;350
201500000938;15;5;11;1745;1;1;1;1;2;360;;M;4810534.0;-120733.0;350
201500000942;15;8;2;1030;1;2;1;1;1;347;la croix carre - D794;M;4818768.0;-132166.0;350
201500000958;15;7;4;945;1;1;1;1;7;207;;M;4808536.0;-148281.0;350
201500000964;15;6;30;1830;1;1;1;1;2;359;;M;4794659.0;-127531.0;350
201500000970;15;8;7;1215;1;2;1;1;3;136;44 rue jean marie lacire;M;4796298.0;-149371.0;350
201500000982;15;6;26;1615;1;2;6;1;3;93;rond-point maréchal foch;M;4846798.0;-250691.0;220
201500001013;15;4;9;1500;1;1;2;1;3;171;Ravilly;M;4838521.0;-282788.0;220
201500001016;15;8;6;2030;2;2;3;1;3;287;RUE SAINT YVES;M;4846970.0;-288259.0;220
201500001063;15;7;29;930;1;1;1;7;2;226;rue Luc ROBERT;M;4808430.0;-440212.0;290
201500001076;15;8;21;1630;1;1;1;7;1;58;Hent Kerbader;M;4786017.0;-402206.0;290
201500001083;15;3;5;1945;3;1;1;1;2;158;route de Gouesnac'h;M;4781854.0;-431299.0;290
201500001092;15;12;20;1645;1;2;1;2;3;245;22 rue des alouettes;M;4845013.0;-433164.0;290
201500001107;15;3;31;1715;1;2;1;1;3;117;Rue de Treglonou;M;4856597.0;-452460.0;290
201500001118;15;5;14;1045;1;1;1;1;1;196;Landre ;M;4850597.0;-458269.0;290
201500001121;15;6;12;1715;1;2;1;1;3;109;Rue Poullaouec;M;4853300.0;-472671.0;290
201500001122;15;6;20;1545;1;1;1;1;3;149;;M;4846688.0;-456667.0;290
201500001139;15;1;17;1445;1;2;6;2;3;24;boulevard Jean Moulin;M;4827487.0;-355844.0;290
201500001148;15;12;29;1545;1;2;1;1;1;24;kervasdoué;M;4829294.0;-355543.0;290
201500001149;15;4;8;1730;1;1;1;1;3;249;Hir Gars;M;4817034.0;-381130.0;290
201500001156;15;7;22;1545;1;1;1;1;3;42;Kersiguenou;M;4825712.0;-453816.0;290
201500001161;15;10;12;715;5;2;6;1;3;120; Rp du Douarou;M;4824842.0;-441844.0;290
201500001174;15;2;22;1015;1;1;1;2;3;204;Run Poulzic;M;4849917.0;-417386.0;290
201500001189;15;10;31;1700;1;2;1;1;1;276;La Croix;M;4866609.0;-406760.0;290
201500001198;15;10;13;1645;1;2;1;1;5;158;42 ROUTE DE PLOEREN;M;4769356.0;-280784.0;560
201500001202;15;6;5;1830;1;2;1;1;3;183;RUE DU HOUX;M;0.0;0.0;560
201500001208;15;9;27;1600;1;1;1;1;3;126;;M;4755954.0;-239514.0;560
201500001217;15;10;18;1145;1;2;1;1;1;184;Rue du reliquaire;M;4766171.0;-245365.0;560
201500001230;15;8;6;1000;1;1;6;1;3;176;;M;0.0;0.0;560
201500001237;15;12;29;1330;1;2;1;7;3;263;RUE General DE GAULLE;M;4770387.0;-295489.0;560
201500001244;15;6;17;1730;1;2;1;1;1;169;24 rue du driasker;M;0.0;0.0;560
201500001248;15;4;27;815;1;2;6;1;1;127;rond point du stade;M;4807760.0;-229033.0;560
201500001293;15;6;10;1045;1;2;3;1;3;117;Rue Jacques Cartier;M;4788925.0;-283812.0;560
201500001301;15;1;24;1000;1;1;1;1;2;14;;M;0.0;0.0;560
201500001314;15;6;1;1645;1;2;3;1;3;384;;M;4931490.0;-35538.0;140
201500001336;15;6;7;1135;1;2;2;1;3;166;;M;4929120.0;-28261.0;140
201500001347;15;10;20;1530;1;1;1;1;3;46;;M;4923080.0;-21643.0;140
201500001382;15;1;28;800;5;2;1;1;6;431;AVENUE JEAN JAUR?S;M;4907290.0;-7597.0;140
201500001407;15;7;16;1215;1;1;2;1;1;316;;M;4926390.0;-4287.0;140
201500001438;15;12;28;1500;1;2;1;1;6;468;PLACE DE LA VAUTERIE;M;4922010.0;-110227.0;500
201500001487;15;9;2;2100;2;1;1;1;3;447;LA HUBERDIERE;M;4879850.0;-152158.0;500
201500001497;15;4;10;2045;2;1;1;2;1;74;LE PONT DE PIERRE;M;4871460.0;-117902.0;500
201500001504;15;1;11;1030;1;1;1;7;5;41;LE CHATEAU;M;4967090.0;-185410.0;500
201500001519;15;9;17;1900;1;1;1;1;5;87;HAMEAU AUX PETITS;M;4955890.0;-163001.0;500
201500001599;15;5;29;1350;1;2;2;1;3;53;2 TER, BERT (AVENUE PAUL;M;4620195.0;522072.0;10
