Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
201500000062;0;1;0;0.0;2.0;8.0;1.0;B02
201500000092;0;1;0;0.0;2.0;3.0;13.0;B02
201500000093;0;1;0;0.0;2.0;1.0;0.0;B02
201500000097;0;1;0;0.0;2.0;8.0;1.0;B02
201500000102;0;1;0;0.0;2.0;4.0;2.0;B02
201500000110;0;1;0;0.0;0.0;8.0;2.0;B02
201500000120;1;1;0;0.0;1.0;0.0;0.0;A01
201500000190;0;1;0;0.0;0.0;4.0;0.0;B02
201500000209;0;1;0;0.0;2.0;1.0;1.0;B02
201500000218;0;1;0;0.0;2.0;1.0;17.0;B02
201500000246;0;1;0;1.0;0.0;1.0;1.0;A01
201500000248;0;1;0;0.0;2.0;8.0;17.0;B02
201500000259;0;1;0;0.0;2.0;4.0;1.0;B02
201500000263;0;1;0;0.0;2.0;1.0;1.0;B02
201500000303;0;1;0;0.0;2.0;1.0;19.0;B02
201500000321;0;1;0;0.0;2.0;1.0;9.0;B02
201500000340;0;1;0;0.0;0.0;7.0;1.0;B02
201500000348;0;1;0;1.0;0.0;1.0;1.0;B02
201500000380;0;1;0;0.0;2.0;8.0;1.0;A01
201500000389;0;1;0;0.0;2.0;8.0;1.0;A01
201500000411;0;1;0;0.0;2.0;4.0;1.0;B02
201500000443;0;1;0;0.0;0.0;4.0;1.0;B02
201500000444;0;1;0;0.0;2.0;3.0;13.0;B02
201500000467;0;1;0;0.0;2.0;1.0;18.0;B02
201500000473;0;1;0;0.0;2.0;1.0;1.0;A01
201500000486;0;1;0;0.0;2.0;8.0;15.0;A01
201500000487;0;1;0;1.0;2.0;7.0;16.0;B02
201500000530;0;1;0;0.0;2.0;1.0;1.0;B02
201500000539;0;1;0;0.0;0.0;4.0;2.0;B02
201500000544;0;1;0;0.0;2.0;7.0;0.0;B02
201500000548;0;1;0;0.0;0.0;0.0;0.0;A01
201500000561;0;1;0;0.0;2.0;1.0;1.0;B02
201500000568;0;1;0;0.0;2.0;4.0;2.0;B02
201500000593;0;1;0;1.0;2.0;1.0;1.0;A01
201500000602;0;1;0;0.0;2.0;7.0;1.0;A01
201500000612;0;1;0;0.0;0.0;0.0;13.0;B02
201500000646;0;1;0;0.0;0.0;4.0;0.0;B02
201500000693;0;1;0;0.0;2.0;1.0;1.0;A01
201500000726;0;1;0;0.0;2.0;3.0;5.0;B02
201500000740;0;1;0;0.0;2.0;1.0;1.0;B02
201500000785;0;1;0;0.0;2.0;6.0;19.0;B02
201500000789;0;1;0;0.0;2.0;4.0;2.0;B02
201500000798;0;1;0;0.0;2.0;7.0;1.0;A01
201500000835;0;1;0;0.0;2.0;8.0;1.0;A01
201500000847;0;1;0;0.0;0.0;1.0;0.0;B02
201500000847;0;1;0;0.0;0.0;1.0;0.0;C03
201500000853;0;1;0;0.0;2.0;4.0;2.0;B02
201500000857;0;1;0;0.0;2.0;5.0;1.0;B02
201500000865;0;1;0;0.0;2.0;1.0;2.0;B02
201500000880;0;1;0;0.0;0.0;8.0;1.0;B02
201500000890;0;1;0;0.0;2.0;1.0;19.0;B02
201500000938;0;1;0;1.0;0.0;1.0;2.0;B02
201500000942;0;1;0;0.0;2.0;8.0;0.0;B02
201500000958;0;1;0;13.0;0.0;1.0;1.0;A01
201500000964;0;1;0;0.0;2.0;4.0;1.0;B02
201500000970;0;1;0;0.0;2.0;2.0;15.0;A01
201500000982;0;1;0;0.0;2.0;1.0;1.0;B02
201500001013;0;1;0;0.0;2.0;1.0;1.0;B02
201500001016;0;1;0;0.0;2.0;8.0;16.0;B02
201500001063;0;1;0;0.0;0.0;4.0;2.0;B02
201500001076;0;1;0;0.0;2.0;0.0;15.0;B02
201500001083;0;1;0;0.0;2.0;4.0;1.0;B02
201500001092;0;1;0;0.0;0.0;8.0;19.0;B02
201500001107;0;1;0;0.0;2.0;1.0;15.0;B02
201500001118;0;1;0;0.0;2.0;4.0;1.0;B02
201500001121;0;1;0;0.0;2.0;1.0;1.0;A01
201500001122;0;1;0;0.0;2.0;2.0;15.0;B02
201500001139;0;1;0;0.0;2.0;7.0;1.0;B02
201500001148;0;1;0;0.0;2.0;1.0;1.0;B02
