Num_Acc;place;catu;grav;sexe;trajet;secu;locp;actp;etatp;an_nais;num_veh;age
200700000029;1;1;3;1;5;0;0;0;0;1972.0;A01;50.0
200700000029;1;1;1;2;2;11;0;0;0;1973.0;B02;49.0
200700000032;1;1;1;1;5;22;0;0;0;1989.0;A01;33.0
200700000032;1;1;3;1;0;0;0;0;0;1993.0;B02;29.0
200700000136;1;1;3;2;1;0;0;0;0;1951.0;A01;71.0
200700000136;1;1;1;1;5;11;0;0;0;1955.0;B02;67.0
200700000211;1;1;1;2;4;11;0;0;0;1955.0;A01;67.0
200700000211;1;1;3;1;5;21;0;0;0;1940.0;B02;82.0
200700000243;1;1;1;1;1;11;0;0;0;1981.0;A01;41.0
200700000243;1;1;3;1;1;0;0;0;0;1949.0;B02;73.0
200700000263;1;1;1;1;4;11;0;0;0;1980.0;A01;42.0
200700000263;1;1;2;1;5;20;0;0;0;1952.0;B02;70.0
200700000290;1;1;1;1;1;11;0;0;0;1956.0;A01;66.0
200700000290;1;1;3;1;0;0;0;0;0;1936.0;B02;86.0
200700000316;1;1;1;2;5;11;0;0;0;1966.0;A01;56.0
200700000316;1;1;3;1;5;0;0;0;0;1943.0;B02;79.0
200700000319;1;1;4;2;3;11;0;0;0;1959.0;A01;63.0
200700000319;1;1;3;1;1;11;0;0;0;1979.0;B02;43.0
200700000319;1;1;1;1;5;92;0;0;0;1958.0;C03;64.0
200700000322;1;1;1;1;5;11;0;0;0;1981.0;A01;41.0
200700000322;1;1;4;1;5;0;0;0;0;1983.0;B02;39.0
200700000334;1;1;1;1;1;10;0;0;0;1988.0;A01;34.0
200700000334;1;1;2;1;1;0;0;0;0;1969.0;B02;53.0
200700000356;1;1;1;1;4;11;0;0;0;1948.0;A01;74.0
200700000356;1;1;3;1;5;0;0;0;0;1971.0;B02;51.0
200700000360;1;1;1;1;5;11;0;0;0;1980.0;A01;42.0
200700000360;1;1;4;2;5;0;0;0;0;1991.0;B02;31.0
200700000362;1;1;1;1;1;11;0;0;0;1961.0;B02;61.0
200700000362;1;1;4;1;2;22;0;0;0;1996.0;A01;26.0
200700000370;1;1;3;2;5;0;0;0;0;1950.0;A01;72.0
200700000370;1;1;1;1;3;11;0;0;0;1953.0;B02;69.0
200700000404;1;1;1;1;3;11;0;0;0;1922.0;A01;100.0
200700000404;1;1;2;1;3;0;0;0;0;1937.0;B02;85.0
200700000415;1;1;1;2;5;11;0;0;0;1981.0;A01;41.0
200700000415;2;2;4;1;0;11;0;0;0;1986.0;A01;36.0
200700000415;1;1;2;1;5;0;0;0;0;1929.0;B02;93.0
200700000429;1;1;1;1;4;10;0;0;0;1981.0;A01;41.0
200700000429;1;1;3;1;5;0;0;0;0;1991.0;B02;31.0
200700000460;1;1;1;1;5;11;0;0;0;1972.0;B02;50.0
200700000460;1;1;3;1;5;0;0;0;0;1919.0;A01;103.0
200700000461;1;1;2;2;5;0;0;0;0;1922.0;A01;100.0
200700000461;1;1;1;1;4;11;0;0;0;1957.0;B02;65.0
200700000477;1;1;1;2;0;11;0;0;0;1984.0;A01;38.0
200700000477;1;1;3;1;5;0;0;0;0;1998.0;B02;24.0
200700000554;1;1;4;1;1;0;0;0;0;1978.0;A01;44.0
200700000641;1;1;2;1;5;21;0;0;0;1989.0;A01;33.0
200700000641;1;1;3;1;5;0;0;0;0;1994.0;B02;28.0
200700000667;1;1;1;1;5;10;0;0;0;1977.0;A01;45.0
200700000667;1;1;4;2;1;20;0;0;0;1977.0;B02;45.0
200700000688;1;1;1;1;4;11;0;0;0;1984.0;A01;38.0
200700000688;1;1;4;2;5;0;0;0;0;1937.0;B02;85.0
200700000732;1;1;1;1;4;11;0;0;0;1967.0;A01;55.0
200700000732;1;1;4;1;5;0;0;0;0;1966.0;B02;56.0
200700000742;1;1;3;1;1;41;0;0;0;1964.0;A01;58.0
200700000742;1;1;1;2;4;11;0;0;0;1984.0;B02;38.0
200700000748;1;1;1;2;0;11;0;0;0;1966.0;A01;56.0
200700000748;1;1;3;1;5;21;0;0;0;1936.0;B02;86.0
200700000749;1;1;1;1;5;11;0;0;0;1987.0;A01;35.0
200700000749;1;1;1;2;1;11;0;0;0;1980.0;B02;42.0
200700000749;1;1;4;2;5;21;0;0;0;1965.0;C03;57.0
200700000749;1;1;4;2;5;21;0;0;0;1959.0;D04;63.0
200700000777;1;1;1;1;3;11;0;0;0;1952.0;A01;70.0
200700000777;1;1;3;1;1;0;0;0;0;1951.0;B02;71.0
200700000792;1;1;3;2;0;0;0;0;0;1968.0;A01;54.0
200700000837;1;1;1;1;5;22;0;0;0;1961.0;A01;61.0
200700000837;1;1;3;1;5;22;0;0;0;1946.0;B02;76.0
200700000905;1;1;1;2;1;11;0;0;0;1966.0;A01;56.0
200700000905;1;1;3;1;2;0;0;0;0;1991.0;B02;31.0
200700000940;1;1;3;2;1;41;0;0;0;1982.0;A01;40.0
200700000940;1;1;1;2;5;11;0;0;0;1935.0;B02;87.0
200700001081;1;1;3;1;5;0;0;0;0;1951.0;B02;71.0
200700001081;1;1;1;2;2;10;0;0;0;1965.0;A01;57.0
200700001112;1;1;4;2;5;21;0;0;0;1990.0;A01;32.0
200700001112;1;1;4;1;5;0;0;0;0;1952.0;B02;70.0
200700001120;1;1;3;1;5;0;0;0;0;1955.0;A01;67.0
200700001120;1;1;1;1;5;11;0;0;0;1973.0;B02;49.0
200700001129;1;1;4;1;2;42;0;0;0;1988.0;B02;34.0
200700001129;1;1;4;2;1;11;0;0;0;1972.0;A01;50.0
200700001141;1;1;4;1;5;11;0;0;0;1944.0;A01;78.0
200700001141;1;1;3;2;0;21;0;0;0;1959.0;B02;63.0
200700001155;1;1;1;2;1;11;0;0;0;1969.0;A01;53.0
200700001155;1;1;3;1;1;0;0;0;0;1949.0;B02;73.0
200700001170;1;1;3;1;1;0;0;0;0;;B02;
200700001210;1;1;1;2;1;11;0;0;0;1957.0;A01;65.0
200700001210;1;1;3;1;5;0;0;0;0;1933.0;B02;89.0
200700001213;1;1;1;1;5;11;0;0;0;1951.0;A01;71.0
200700001213;1;1;3;2;5;0;0;0;0;1953.0;B02;69.0
200700001281;1;1;2;2;5;0;0;0;0;1980.0;B02;42.0
200700001323;1;1;1;1;4;11;0;0;0;1962.0;A01;60.0
200700001323;1;1;2;2;3;0;0;0;0;1930.0;B02;92.0
200700001354;1;1;1;1;4;10;0;0;0;1967.0;A01;55.0
200700001354;0;3;3;1;5;0;0;1;2;1974.0;A01;48.0
200700001354;0;3;2;1;5;0;0;0;2;2003.0;A01;19.0
200700001354;1;1;2;2;5;0;0;0;0;2001.0;B02;21.0
200700001366;1;1;1;2;5;11;0;0;0;1937.0;A01;85.0
200700001366;1;1;3;1;5;0;0;0;0;1989.0;B02;33.0
200700001437;1;1;3;1;1;0;0;0;0;1949.0;B02;73.0
200700001437;1;1;1;2;1;11;0;0;0;1972.0;A01;50.0
200700001530;1;1;1;1;4;11;0;0;0;1963.0;A01;59.0
200700001530;1;1;3;2;1;20;0;0;0;1943.0;B02;79.0
200700001543;1;1;3;1;5;22;0;0;0;1954.0;A01;68.0
200700001543;1;1;1;1;5;11;0;0;0;1969.0;B02;53.0
200700001543;2;2;1;1;0;11;0;0;0;1996.0;B02;26.0
200700001543;4;2;4;1;0;11;0;0;0;1998.0;B02;24.0
200700001570;1;1;3;1;5;0;0;0;0;1984.0;A01;38.0
200700001599;1;1;1;1;9;11;0;0;0;1977.0;A01;45.0
200700001599;1;1;3;2;1;93;0;0;0;1979.0;B01;43.0
200700001619;1;1;1;1;0;11;0;0;0;1970.0;A01;52.0
200700001619;1;1;3;1;0;91;0;0;0;1932.0;B01;90.0
200700001742;1;1;4;2;0;23;0;0;0;1977.0;A01;45.0
200700001742;1;1;1;2;9;11;0;0;0;1951.0;B01;71.0
200700001779;1;1;1;2;0;13;0;0;0;1954.0;A01;68.0
200700001779;1;1;4;1;0;21;0;0;0;1944.0;B01;78.0
200700001818;1;1;4;1;0;21;0;0;0;1974.0;A01;48.0
200700001818;1;1;4;1;5;22;0;0;0;1964.0;B01;58.0
200700001818;1;1;1;1;0;13;0;0;0;1957.0;C01;65.0
200700001830;1;1;1;1;0;11;0;0;0;1977.0;A01;45.0
200700001830;1;1;4;1;1;41;0;0;0;1970.0;B01;52.0
200700001855;1;1;4;1;5;22;0;0;0;1947.0;A01;75.0
200700001855;1;1;1;1;5;11;0;0;0;1944.0;B01;78.0
200700001884;1;1;3;1;1;93;0;0;0;1968.0;B01;54.0
200700001884;1;1;1;2;1;13;0;0;0;1966.0;A01;56.0
200700001885;1;1;3;2;5;22;0;0;0;1994.0;A01;28.0
200700001885;1;1;1;1;9;12;0;0;0;1984.0;B01;38.0
200700001889;1;1;1;1;9;13;0;0;0;1935.0;A01;87.0
200700001889;1;1;3;1;5;93;0;0;0;1921.0;B01;101.0
200700001903;1;1;1;2;5;11;0;0;0;1940.0;A01;82.0
200700001903;1;1;3;1;5;92;0;0;0;1933.0;B01;89.0
200700001904;1;1;4;1;5;21;0;0;0;1988.0;A01;34.0
200700001904;0;3;3;2;1;0;3;3;1;1977.0;A01;45.0
200700001927;1;1;1;2;0;13;0;0;0;1983.0;A01;39.0
200700001927;1;1;3;1;5;21;0;0;0;1949.0;B01;73.0
200700001993;1;1;4;1;5;93;0;0;0;1935.0;B01;87.0
200700001993;1;1;1;2;0;93;0;0;0;1984.0;A01;38.0
200700002000;1;1;4;1;1;21;0;0;0;1947.0;B01;75.0
200700002000;1;1;4;1;0;93;0;0;0;1985.0;A01;37.0
