Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
200700000029;4;0.0;0.0;;2;2;0.0;0.0;0;0;1;0;70;2;0;1;0
200700000032;4;0.0;0.0;;1;1;0.0;0.0;0;0;1;0;50;0;0;0;0
200700000136;3;916.0;0.0;;2;0;0.0;0.0;0;0;1;0;73;2;0;1;0
200700000211;3;11.0;0.0;;2;2;0.0;0.0;0;2;2;0;70;1;0;1;0
200700000243;3;23.0;0.0;;2;2;0.0;0.0;0;1;3;0;70;2;0;1;0
200700000263;3;7.0;0.0;;4;0;0.0;0.0;0;1;1;0;127;2;0;1;0
200700000290;3;10.0;0.0;;2;2;12.0;0.0;0;1;3;0;0;2;0;3;0
200700000316;3;99.0;0.0;;0;1;0.0;0.0;0;1;2;0;0;2;5;1;0
200700000319;3;43.0;0.0;;2;0;0.0;0.0;0;1;1;0;55;1;0;1;0
200700000322;9;0.0;0.0;;2;0;0.0;1.0;0;1;1;0;0;1;0;1;0
200700000334;3;52.0;0.0;;2;2;0.0;0.0;0;1;1;0;60;2;0;1;0
200700000356;2;12.0;0.0;;2;2;64.0;200.0;0;1;1;0;81;2;0;1;0
200700000360;3;142.0;0.0;;2;2;0.0;0.0;0;3;1;0;60;0;2;1;0
200700000362;3;302.0;0.0;;2;2;9.0;550.0;0;1;1;0;63;2;5;1;0
200700000370;3;7.0;0.0;;2;2;0.0;0.0;0;1;2;0;42;1;5;1;0
200700000404;9;0.0;0.0;;0;0;0.0;0.0;0;1;1;0;0;2;0;1;0
200700000415;3;1113.0;0.0;;2;2;0.0;0.0;0;0;1;0;103;1;0;1;0
200700000429;3;3.0;0.0;;2;2;53.0;300.0;0;1;1;0;63;1;0;1;0
200700000460;3;641.0;0.0;;2;2;0.0;0.0;0;1;1;0;60;2;5;1;0
200700000461;3;143.0;0.0;;2;2;8.0;200.0;0;0;1;0;57;1;0;1;0
200700000477;3;98.0;0.0;;2;2;0.0;0.0;0;1;1;0;46;2;5;1;0
200700000554;3;63.0;0.0;G;2;2;10.0;120.0;0;2;2;0;58;1;0;1;0
200700000641;4;1.0;0.0;;2;0;0.0;0.0;0;1;1;0;55;1;0;1;0
200700000667;3;1005.0;0.0;;2;1;0.0;0.0;0;1;1;77;0;1;0;0;0
200700000688;4;0.0;1.0;;1;1;0.0;0.0;0;1;1;0;60;1;5;1;0
200700000732;3;502.0;0.0;;2;0;8.0;600.0;0;1;1;0;0;1;0;0;0
200700000742;2;6.0;0.0;;3;0;4.0;350.0;0;1;1;5;0;1;0;1;0
200700000748;3;60.0;0.0;;2;2;12.0;300.0;0;1;1;0;70;1;0;1;0
200700000749;3;10.0;0.0;;2;2;0.0;0.0;0;1;1;0;64;1;0;1;0
200700000777;3;1508.0;0.0;;2;2;64.0;700.0;0;1;1;0;120;1;0;1;0
200700000792;4;0.0;0.0;;2;0;0.0;0.0;0;0;3;0;0;1;0;1;0
200700000837;3;27.0;0.0;;2;2;16.0;900.0;0;1;1;0;60;1;0;1;0
200700000905;3;263.0;0.0;;2;2;0.0;0.0;1;1;3;0;69;1;0;1;0
200700000940;3;21.0;0.0;;2;2;13.0;300.0;0;1;1;0;74;2;0;1;0
200700001081;3;66.0;0.0;D;2;2;0.0;0.0;0;1;1;0;80;1;0;1;0
200700001112;3;6098.0;0.0;;2;2;0.0;0.0;2;1;1;0;0;1;0;5;0
200700001120;3;6098.0;0.0;;2;2;52.0;550.0;0;1;2;0;70;1;0;1;0
200700001129;3;12.0;0.0;;2;2;0.0;0.0;0;1;0;0;50;1;5;0;0
200700001141;3;558.0;0.0;;2;2;0.0;0.0;0;2;1;0;60;0;0;1;0
200700001155;3;6.0;0.0;;0;2;0.0;0.0;0;1;1;0;62;1;0;1;0
200700001170;3;950.0;0.0;;2;2;0.0;0.0;0;0;1;0;150;1;0;1;0
200700001210;4;0.0;0.0;;2;1;0.0;0.0;0;1;1;0;0;1;0;1;0
200700001213;2;86.0;0.0;;1;2;0.0;0.0;0;1;2;0;0;1;5;1;0
200700001281;3;117.0;0.0;;2;2;27.0;700.0;0;1;2;0;62;1;0;1;0
200700001323;4;0.0;1.0;;2;2;0.0;0.0;0;2;1;0;36;1;0;1;0
200700001354;3;5.0;0.0;;2;2;17.0;900.0;0;1;1;0;52;2;0;1;0
200700001366;4;0.0;0.0;;2;2;0.0;0.0;0;0;1;0;30;2;0;1;0
200700001437;3;76.0;0.0;;2;2;0.0;0.0;0;1;1;0;62;1;5;1;0
200700001530;3;612.0;0.0;;3;2;12.0;260.0;0;3;1;15;60;1;0;1;0
200700001543;3;96.0;0.0;;3;4;39.0;900.0;0;0;0;20;20;1;5;1;0
200700001570;3;242.0;0.0;;2;0;0.0;0.0;0;1;1;0;60;2;0;1;0
200700001599;4;0.0;0.0;;2;2;;;0;2;0;0;80;1;0;1;3
200700001619;4;0.0;0.0;;2;4;;;0;1;1;25;168;1;0;1;99
200700001742;4;0.0;0.0;;2;4;;;0;2;1;0;0;1;5;1;99
200700001779;4;0.0;0.0;;2;2;;;0;1;1;0;145;1;0;1;0
200700001818;2;0.0;0.0;;2;3;;;3;1;1;0;86;1;0;1;99
200700001830;4;0.0;0.0;;2;2;;;0;2;1;0;88;1;0;1;0
200700001855;4;0.0;0.0;;2;2;;;0;2;1;0;0;1;0;1;0
200700001884;2;0.0;0.0;;2;2;;;0;2;1;0;100;2;0;1;99
200700001885;4;0.0;0.0;;2;2;;;0;1;1;0;80;1;0;1;0
200700001889;4;0.0;0.0;;2;1;;;0;1;1;0;60;1;0;1;3
200700001903;4;0.0;0.0;;2;2;;;0;1;2;0;63;1;5;1;99
200700001904;4;0.0;0.0;;2;50;;;0;2;1;0;0;2;0;1;99
200700001927;4;0.0;0.0;;2;2;;;0;1;1;0;60;1;0;1;99
