Num_Acc;place;catu;grav;sexe;trajet;secu;locp;actp;etatp;an_nais;num_veh;age
201400000009;1.0;1;2;1;5.0;21.0;0.0;0.0;0.0;1939.0;A01;83.0
201400000009;1.0;1;1;1;4.0;11.0;0.0;0.0;0.0;1951.0;B02;71.0
201400000018;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1960.0;A01;62.0
201400000018;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1959.0;B02;63.0
201400000020;1.0;1;3;1;5.0;1.0;0.0;0.0;0.0;1949.0;A01;73.0
201400000022;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1979.0;B02;43.0
201400000022;1.0;1;1;2;3.0;11.0;0.0;0.0;0.0;1987.0;A01;35.0
201400000030;1.0;1;1;1;4.0;11.0;0.0;0.0;0.0;1979.0;A01;43.0
201400000030;1.0;1;2;1;5.0;21.0;0.0;0.0;0.0;1948.0;B02;74.0
201400000033;1.0;1;1;2;5.0;11.0;0.0;0.0;0.0;1948.0;A01;74.0
201400000033;1.0;1;3;2;5.0;1.0;0.0;0.0;0.0;1964.0;B02;58.0
201400000046;1.0;1;1;1;1.0;11.0;0.0;0.0;0.0;1987.0;B02;35.0
201400000046;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;2005.0;A01;17.0
201400000072;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1953.0;A01;69.0
201400000072;1.0;1;3;1;5.0;1.0;0.0;0.0;0.0;1994.0;B02;28.0
201400000093;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;1948.0;A01;74.0
201400000108;1.0;1;1;1;4.0;11.0;0.0;0.0;0.0;1984.0;A01;38.0
201400000108;1.0;1;2;1;5.0;21.0;0.0;0.0;0.0;1955.0;B02;67.0
201400000122;1.0;1;1;1;4.0;1.0;0.0;0.0;0.0;1975.0;A01;47.0
201400000122;1.0;1;4;1;5.0;1.0;0.0;0.0;0.0;1966.0;B02;56.0
201400000190;1.0;1;3;1;5.0;22.0;0.0;0.0;0.0;1995.0;B02;27.0
201400000190;1.0;1;1;1;4.0;11.0;0.0;0.0;0.0;1975.0;A01;47.0
201400000217;1.0;1;1;2;3.0;11.0;0.0;0.0;0.0;1954.0;A01;68.0
201400000217;1.0;1;3;2;3.0;1.0;0.0;0.0;0.0;1936.0;B02;86.0
201400000256;1.0;1;3;1;5.0;21.0;0.0;0.0;0.0;2003.0;B02;19.0
201400000256;1.0;1;1;1;5.0;13.0;0.0;0.0;0.0;1996.0;A01;26.0
201400000291;1.0;1;1;1;5.0;13.0;0.0;0.0;0.0;1949.0;A01;73.0
