Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
201400000009;14;11;2;1100;1;1;1;1.0;1;257;;M;0.0;0.0;590
201400000018;14;2;22;945;1;1;1;7.0;2;592;;M;0.0;0.0;590
201400000020;14;4;18;1630;1;1;1;1.0;7;411;;M;5048600.0;305900.0;590
201400000022;14;7;14;1915;1;2;1;1.0;1;452;place de la r?publique;M;0.0;0.0;590
201400000030;14;2;6;1100;1;1;1;1.0;3;663;;M;0.0;0.0;590
201400000033;14;8;5;930;1;2;1;1.0;3;305;rue du st sacrement;M;0.0;0.0;590
201400000046;14;3;11;1730;1;2;9;1.0;1;237;rue de Godewaersvelde;M;0.0;0.0;590
201400000072;14;8;22;2045;1;1;1;1.0;3;54;;M;0.0;0.0;590
201400000093;14;10;6;1115;1;1;1;1.0;6;611;YPRES RUE D';M;5069864.0;301465.0;590
201400000108;14;12;9;1600;1;1;1;8.0;1;218;;M;0.0;0.0;590
201400000122;14;8;9;1245;1;2;1;1.0;1;633;24 route  de moranrieux;M;5005898.0;416714.0;590
201400000190;14;4;3;1615;1;1;1;1.0;1;117;;M;5009665.0;301061.0;620
201400000217;14;10;15;945;1;2;4;1.0;3;173;rue de la Chapelle;M;5033344.0;302159.0;620
201400000256;14;9;13;915;1;2;1;1.0;3;318;avenue de Rombly;M;5051954.0;165292.0;620
201400000291;14;9;21;1330;1;1;1;1.0;3;352;;M;5032852.0;231011.0;620
201400000322;14;12;21;1545;1;2;6;1.0;3;16;PL D'ARMES;M;5000364.0;264798.0;800
201400000369;14;5;13;2115;3;1;1;1.0;7;89;;M;0.0;0.0;20
201400000399;14;7;12;1200;1;1;1;1.0;2;381;;M;0.0;0.0;20
201400000473;14;2;22;1600;1;2;1;1.0;1;318;grande rue;M;0.0;0.0;600
201400000493;14;10;19;1445;1;2;1;1.0;3;124;rue du bac;M;0.0;0.0;570
201400000504;14;11;24;1545;1;2;1;2.0;1;612;chauss?e brunehaut;M;0.0;0.0;600
201400000544;14;2;23;1145;1;1;2;1.0;3;517;;M;4952216.0;113623.0;760
201400000559;14;3;10;1400;1;2;1;1.0;7;630;rue de bailly;M;4990768.0;130382.0;760
201400000568;14;9;16;1400;1;1;1;1.0;7;193;;M;4969762.0;118603.0;760
201400000627;14;8;31;1145;1;1;2;1.0;3;551;;M;4955504.0;29799.0;760
201400000666;14;11;14;1500;1;1;1;1.0;6;758;;M;4962396.0;76480.0;760
201400000709;14;5;5;1600;1;2;1;1.0;7;119;54 grande rue;M;4855500.0;126200.0;270
201400000783;14;8;15;2015;1;1;2;1.0;2;394;;M;4917300.0;103200.0;270
201400000797;14;5;30;1445;1;1;1;1.0;3;597;;M;4923000.0;21200.0;270
201400000816;14;8;13;1145;1;2;1;1.0;1;90;chemin des hauts vents;M;4918000.0;56200.0;270
201400000822;14;6;25;1030;1;1;2;1.0;3;288;;M;4916000.0;41100.0;270
201400000860;14;5;8;1145;1;1;1;1.0;2;80;;M;0.0;0.0;350
201400000862;14;9;13;1500;1;1;2;1.0;3;240;La Brosse;M;4810248.0;-183165.0;350
