Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
201200000029;12;10;5;1815;1;1;1;1.0;3;452;109 rue Denis Cordonnier;M;5045785.0;302463.0;590
201200000030;12;10;14;1200;1;1;1;1.0;6;408;586 rue du Haut;M;5044798.0;307207.0;590
201200000036;12;3;28;1400;1;1;1;1.0;3;532;Rue Saint Georges;M;5097413.0;217926.0;590
201200000046;12;2;25;1600;1;2;1;1.0;3;305;rue de Bambecq;M;5088666.0;253487.0;590
201200000061;12;7;15;530;2;1;1;1.0;2;401;Rte D' Hazebrouck;M;5073498.0;270072.0;590
201200000077;12;7;26;1100;1;2;1;1.0;1;423;81 rue ferdinand capelle;M;5065542.0;266185.0;590
201200000086;12;12;18;1700;5;2;1;1.0;3;580;18 Avenue de la Bergerie;M;5081257.0;258028.0;590
201200000099;12;3;25;1100;1;1;1;1.0;5;173;Rte de Comines;M;5073364.0;295073.0;590
201200000104;12;5;27;1900;1;2;1;7.0;1;559;20 rue du moulin;M;5034106.0;364687.0;590
201200000122;12;10;15;1345;1;2;3;1.0;3;61;Rte de Prisches/ Haute r;M;5006199.0;379383.0;590
201200000123;12;11;16;1800;5;2;1;8.0;2;331;Ave de la Légion d'Honne;M;5012774.0;368654.0;590
201200000139;12;10;15;2145;3;1;1;2.0;1;321;Rte départementale;M;5011873.0;347756.0;590
201200000151;12;11;29;1330;1;1;2;1.0;3;125;Rte départementale;M;5013810.0;314429.0;590
201200000160;12;1;3;800;3;1;1;1.0;2;379;Rue D'Aniche;M;5029247.0;324218.0;590
201200000176;12;5;28;1030;1;1;4;1.0;5;584;Rte de Mons;M;5031138.0;384653.0;590
201200000218;12;6;11;1800;1;2;2;1.0;3;473;668 rue d' Auchel;M;0.0;0.0;620
201200000225;12;2;14;1430;1;2;1;1.0;1;908;4 Rue Marcel Caudevelle;M;0.0;0.0;620
201200000230;12;3;30;1900;1;2;1;1.0;3;773;RUE JACQUES CONTE;M;0.0;0.0;620
201200000240;12;7;13;1315;1;1;2;1.0;3;889;;M;0.0;0.0;620
201200000282;12;8;24;1600;1;2;2;1.0;6;875;rue pottier;M;5071400.0;234100.0;620
201200000320;12;7;21;1500;1;2;3;1.0;3;111;763 rue de la mairie;M;5027702.0;241862.0;620
201200000328;12;1;13;1200;1;2;6;7.0;1;212;Place Roger Salengro;M;0.0;0.0;800
201200000345;12;9;21;1815;1;2;2;1.0;3;82;RUE RENE SAINT;M;0.0;0.0;800
201200000362;12;5;25;800;1;2;1;1.0;1;373;29, Rue de ST VALERY;M;0.0;0.0;800
201200000371;12;6;13;1845;1;2;1;1.0;6;685;rue st medard;M;0.0;0.0;800
201200000390;12;6;23;1815;1;1;3;1.0;1;811;;M;0.0;0.0;800
201200000437;12;1;27;915;1;2;1;9.0;6;648;GRANDE RUE;M;0.0;0.0;20
201200000452;12;9;24;1730;2;1;1;1.0;1;766;;M;0.0;0.0;20
201200000515;12;12;22;1845;2;1;1;2.0;2;395;;M;0.0;0.0;600
201200000547;12;10;6;1115;1;2;6;2.0;1;15;;M;0.0;0.0;600
201200000558;12;7;10;1745;1;2;3;1.0;3;445;rue d'Augnicourt;M;4949000.0;310100.0;600
201200000559;12;7;21;1845;1;2;1;1.0;1;537;RUE DU PARADIS;M;4952800.0;292500.0;600
201200000594;12;9;20;1600;1;1;1;1.0;2;507;;M;0.0;0.0;600
201200000609;12;9;15;1830;1;2;1;1.0;5;104;rue de gaulle;M;0.0;0.0;570
201200000612;12;5;26;1715;1;1;1;1.0;2;170;;M;0.0;0.0;600
201200000638;12;6;6;1830;1;2;7;1.0;1;695;Place de la Charolais;M;4920500.0;249100.0;600
201200000669;12;9;9;1430;1;1;1;1.0;2;367;;M;4950750.0;108447.0;760
201200000678;12;7;19;1045;1;2;2;1.0;3;152;CD6/CD12;M;4957911.0;122979.0;760
201200000756;12;5;27;1730;1;1;1;1.0;1;234;;M;4961054.0;97117.0;760
201200000781;12;5;16;1845;1;2;1;1.0;1;306;LA GRANDE CONTREE;M;4897820.0;118735.0;270
201200000799;12;3;19;1045;1;2;1;7.0;1;679;CHEMIN DES POISSONNIERS;M;4874150.0;91813.0;270
201200000804;12;10;15;2015;3;1;1;1.0;2;195;;M;4881500.0;100499.0;270
201200000810;12;6;28;1745;1;1;1;2.0;1;635;;M;4926440.0;136035.0;270
201200000811;12;8;20;1830;1;2;1;1.0;6;635;22 rue de seine;M;0.0;0.0;270
201200000866;12;7;30;1345;1;1;1;1.0;5;577;;M;4943690.0;54879.0;270
201200000868;12;7;29;1330;1;1;1;1.0;1;65;;M;4934810.0;36156.0;270
201200000871;12;10;17;530;3;1;1;3.0;2;606;;M;0.0;0.0;270
201200000884;12;11;21;1800;3;1;1;1.0;1;103;;M;0.0;0.0;270
201200000902;12;11;10;1530;1;2;1;7.0;3;240;rue de l'Hermitage;M;4810600.0;-179400.0;350
201200000903;12;12;17;1530;1;1;1;2.0;1;76;;M;0.0;0.0;350
201200000911;12;4;3;1530;1;2;1;1.0;7;4;RUE DE PONTORSON;M;0.0;0.0;350
201200000939;12;7;7;1530;1;2;1;1.0;1;12;rue Guillotin de Corson;M;0.0;0.0;350
201200000949;12;7;3;1615;1;1;1;1.0;3;139;;M;4799577.0;-172653.0;350
201200000972;12;1;17;1115;1;2;7;1.0;1;256;Rue des Pr?aux;M;4861914.0;-213241.0;350
201200000977;12;3;30;1645;1;2;1;1.0;3;360;Boulevard des rochers;M;0.0;0.0;350
201200000983;12;8;9;1645;1;1;1;1.0;1;105;;M;0.0;0.0;350
201200000991;12;3;13;800;1;2;6;1.0;3;327;CENTRE BOURG;M;0.0;0.0;350
201200001005;12;11;29;1000;1;2;1;7.0;3;125;2 Faubourg d'Anjou;M;4794035.0;-122746.0;350
201200001031;12;5;29;915;1;1;1;1.0;5;151;La chaise à margot;M;4843925.0;-258221.0;220
201200001042;12;6;6;1415;1;1;1;1.0;4;79;La Côte des Granges;M;4836428.0;-263078.0;220
201200001048;12;2;29;1100;1;2;1;1.0;2;136;Lot. des Livaudières;M;4818876.0;-275279.0;220
201200001067;12;6;10;615;1;2;1;1.0;6;389;RUE DE PENTHIEVRE;M;4848245.0;-267465.0;220
201200001077;12;4;7;1230;1;2;2;1.0;3;280;Rue de l'Ecole;M;4841643.0;-206195.0;220
201200001086;12;11;22;1200;1;2;3;2.0;3;26;le bourg;M;4840864.0;-202881.0;220
201200001099;12;7;18;1730;1;2;3;1.0;3;302;Grande rue;M;4859651.0;-219044.0;220
201200001100;12;7;24;1130;1;1;1;1.0;2;209;LE PONT CRETIN;M;4855126.0;-210853.0;220
201200001101;12;8;10;800;1;1;1;1.0;2;209;;M;0.0;0.0;220
201200001104;12;8;22;1115;1;1;4;1.0;3;179;LA VILLE ANDRE;M;4862447.0;-233886.0;220
201200001204;12;6;27;1445;1;1;1;1.0;1;124;;M;4859045.0;-433240.0;290
201200001231;12;5;28;1600;1;1;1;1.0;5;44;;M;4821736.0;-416705.0;290
201200001232;12;8;18;1500;1;2;1;7.0;2;26;quai robert alba;M;4819841.0;-408911.0;290
201200001251;12;3;18;815;1;2;6;1.0;3;207;rue du tr?gor;M;4853786.0;-379717.0;290
201200001255;12;6;28;1100;1;2;6;1.0;2;188;la croix neuve;M;4868937.0;-378408.0;290
201200001279;12;12;10;815;2;1;1;1.0;3;259;;M;4863394.0;-398240.0;290
201200001288;12;9;30;945;1;1;1;7.0;2;67;;M;0.0;0.0;560
201200001292;12;12;4;1845;3;1;1;1.0;1;67;;M;4773501.0;-283565.0;560
201200001336;12;6;28;1600;1;2;3;1.0;3;34;;M;0.0;0.0;560
201200001337;12;7;20;1200;1;1;1;1.0;3;168;;M;0.0;0.0;560
201200001347;12;8;24;1145;1;1;1;6.0;1;89;;M;4795033.0;-322597.0;560
201200001348;12;8;26;945;1;1;1;1.0;3;78;;M;4780523.0;-350360.0;560
201200001351;12;5;17;1500;1;2;1;1.0;2;54;30 rue des Menhirs;M;0.0;0.0;560
201200001356;12;8;6;2145;2;1;1;1.0;5;118;;M;0.0;0.0;560
201200001359;12;8;21;1815;1;1;6;1.0;3;130;;M;0.0;0.0;560
201200001378;12;3;20;1515;1;1;1;1.0;1;70;;M;0.0;0.0;560
201200001406;12;9;12;1445;1;2;1;1.0;2;178;quai des recollets;M;4807381.0;-296343.0;560
201200001429;12;8;17;1015;1;2;6;1.0;3;228;VOIE DES ALLI S;M;4929460.0;-37800.0;140
201200001441;12;5;12;1730;1;2;1;1.0;2;456;RUE MARECHAL JOFFRE;M;4911950.0;-16599.0;140
201200001521;12;8;29;1345;1;2;2;1.0;3;478;RUE DE L'AIGLE;M;4901700.0;41190.0;140
201200001528;12;8;21;1145;1;1;3;1.0;3;302;;M;4925810.0;8620.0;140
201200001544;12;6;13;1700;1;2;1;1.0;1;56;36 RUE DE VILLERS BOCAGE;M;4902350.0;-63230.0;140
201200001590;12;9;9;945;1;2;2;7.0;3;493;LES VAUX;M;4883670.0;-147768.0;500
201200001593;12;12;4;1900;3;1;3;3.0;2;247;LE BOURG LOYER;M;4880830.0;-140200.0;500
201200001605;12;3;16;1815;1;1;1;1.0;1;611;LA HOUSSERIE;M;4966930.0;-172106.0;500
201200001608;12;9;29;1815;1;2;1;7.0;3;594;hameau Grisetot;M;0.0;0.0;500
201200001645;12;2;19;1430;1;2;3;1.0;2;215;RUE DU NORD;M;4909720.0;-158840.0;500
201200001691;12;1;5;738;5;2;6;3.0;7;451;SNR, BRESSE (AVENUE DE );M;4621470.0;520430.0;10
201200001707;12;3;9;1105;1;2;2;1.0;3;53;SNR, CHARTREUSE (RUE DE;M;0.0;0.0;10
201200001710;12;3;16;755;1;2;1;1.0;3;53;23EME R.I. ( RUE DU);M;0.0;0.0;10
201200001721;12;3;31;1825;1;2;1;1.0;6;53;13, MERCIER (AVENUE AMED;M;0.0;0.0;10
201200001728;12;5;7;1255;1;2;1;1.0;1;53;03 BIS, GRAVES ( RUE DES;M;0.0;0.0;10
