Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
201200000903;3;34.0;;;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;75.0;2.0;5.0;1.0;0.0
201200000911;4;0.0;;;2.0;2.0;0.0;0.0;0.0;4.0;1.0;0.0;50.0;1.0;0.0;1.0;0.0
201200000939;9;0.0;;;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
201200000949;3;77.0;;;2.0;0.0;8.0;597.0;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;0.0
201200000972;9;0.0;;;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
201200000977;9;0.0;;;2.0;2.0;0.0;0.0;0.0;2.0;1.0;0.0;60.0;1.0;0.0;1.0;99.0
201200000983;4;3.0;;;2.0;2.0;0.0;0.0;0.0;2.0;3.0;0.0;39.0;1.0;0.0;1.0;99.0
201200000991;3;29.0;;;2.0;2.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;1.0;5.0;1.0;0.0
201200001005;3;463.0;2.0;;2.0;2.0;6.0;130.0;0.0;1.0;2.0;20.0;70.0;1.0;0.0;1.0;3.0
201200001031;3;28.0;;;2.0;2.0;18.0;755.0;0.0;2.0;1.0;0.0;49.0;1.0;0.0;1.0;99.0
201200001042;3;1.0;;;2.0;2.0;10.0;427.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;99.0
201200001048;4;0.0;;;2.0;1.0;0.0;0.0;0.0;1.0;1.0;40.0;40.0;1.0;0.0;1.0;99.0
201200001067;9;0.0;;;2.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;61.0;1.0;0.0;1.0;0.0
201200001077;3;26.0;;;2.0;2.0;4.0;2172.0;0.0;1.0;1.0;0.0;51.0;1.0;0.0;1.0;99.0
201200001086;3;26.0;;;2.0;2.0;3.0;1880.0;0.0;2.0;3.0;52.0;0.0;2.0;0.0;1.0;99.0
201200001099;4;0.0;;;2.0;2.0;0.0;0.0;0.0;2.0;1.0;0.0;55.0;1.0;0.0;1.0;0.0
201200001100;3;2.0;;;2.0;2.0;11.0;338.0;0.0;1.0;2.0;0.0;59.0;1.0;0.0;1.0;99.0
