Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
200800000004;3;243.0;0.0;;2;2;2.0;900.0;0;1;3;0;67;1;0;1;0
200800000009;3;43.0;0.0;;0;2;21.0;200.0;0;1;3;20;160;2;5;1;0
200800000064;3;13.0;0.0;;2;0;0.0;0.0;0;1;1;0;55;1;2;1;0
200800000095;3;109.0;0.0;;2;0;0.0;0.0;1;1;0;0;62;2;5;1;0
200800000140;3;902.0;0.0;;2;0;0.0;0.0;0;1;1;0;65;1;0;1;0
200800000157;3;37.0;0.0;;2;0;33.0;0.0;0;3;1;0;65;1;5;1;0
200800000169;3;813.0;0.0;;0;0;14.0;360.0;0;0;1;0;75;1;0;3;0
200800000274;3;6.0;0.0;;2;0;0.0;0.0;0;2;1;0;60;1;0;1;0
200800000283;9;0.0;0.0;;2;2;0.0;0.0;0;2;1;0;56;1;0;1;0
200800000291;3;578.0;0.0;A;2;2;1.0;0.0;0;2;1;0;64;1;0;1;0
200800000314;3;524.0;0.0;;3;0;11.0;900.0;0;1;1;4;75;1;0;3;0
200800000316;4;0.0;0.0;;1;1;0.0;0.0;0;1;1;0;55;1;0;1;0
200800000329;3;33.0;0.0;;2;2;2.0;0.0;0;1;1;0;70;2;0;3;0
200800000359;3;10.0;0.0;;2;2;25.0;0.0;0;1;1;0;53;1;0;1;0
200800000362;3;17.0;0.0;;2;2;7.0;700.0;0;2;2;0;69;0;0;1;0
200800000412;3;919.0;0.0;;2;0;49.0;2.0;0;2;2;0;85;1;0;1;0
200800000425;3;34.0;0.0;;2;2;5.0;700.0;0;1;1;0;65;1;0;1;0
200800000426;3;244.0;0.0;;2;2;0.0;0.0;0;1;1;0;67;1;0;1;0
200800000463;3;17.0;0.0;D;2;0;0.0;0.0;0;1;1;0;80;1;0;1;0
200800000465;3;5.0;0.0;;2;2;18.0;950.0;0;1;1;0;61;1;0;1;0
200800000491;3;94.0;0.0;;2;2;0.0;0.0;0;1;1;0;60;1;0;1;0
200800000556;3;2.0;0.0;;2;0;0.0;0.0;0;2;1;0;0;1;0;1;3
200800000562;3;8.0;0.0;;4;2;0.0;0.0;0;1;2;0;75;9;3;1;0
200800000563;3;213.0;0.0;;2;2;4.0;450.0;0;1;1;0;65;1;0;1;0
200800000587;3;947.0;0.0;;2;0;17.0;950.0;0;0;1;0;56;2;0;1;0
200800000605;3;8.0;0.0;;2;2;15.0;400.0;0;1;1;0;63;2;0;1;0
200800000611;4;0.0;0.0;;2;0;0.0;0.0;0;1;1;0;0;1;0;4;0
200800000676;3;27.0;0.0;;2;2;19.0;200.0;0;1;0;0;61;2;0;1;0
