Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
200800000004;8;1;20;1100;1;1;1;1;2;394;;M;4491400.0;-19900.0;330
200800000009;8;1;14;1600;1;2;1;3;7;372;carf CD3 et CD43;M;0.0;0.0;240
200800000064;8;1;29;1715;1;1;1;1;3;306;;M;4440000.0;49500.0;470
200800000095;8;1;9;945;2;2;6;2;3;94;avenue de strasbourg;M;0.0;0.0;170
200800000140;8;1;1;1400;1;1;1;1;5;230;;M;4546000.0;145800.0;190
200800000157;8;1;30;830;1;2;2;1;3;291;;M;4360700.0;123400.0;310
200800000169;8;1;7;730;3;1;1;1;6;589;;M;0.0;0.0;310
200800000274;8;1;13;1645;1;1;1;1;5;322;;M;0.0;0.0;10
200800000283;8;1;16;1400;5;2;1;1;3;263;;M;0.0;0.0;10
200800000291;8;1;8;1430;1;1;1;7;2;197;;M;;;70
200800000314;8;1;17;1845;3;1;1;1;1;528;;M;4510600.0;579800.0;380
200800000316;8;1;11;1745;2;2;1;1;1;416;Rue du Mollard;M;4515800.0;531500.0;380
200800000329;8;1;21;1815;3;1;1;2;1;261;;M;4567600.0;548900.0;380
200800000359;8;1;10;1615;1;1;1;1;3;222;;M;0.0;0.0;420
200800000362;8;1;4;1615;2;1;1;1;2;212;;M;4597700.0;410900.0;420
200800000412;8;1;26;1430;1;2;1;1;1;222;;M;0.0;0.0;670
200800000425;8;1;19;745;3;1;1;1;1;351;;M;4899500.0;798300.0;670
200800000426;8;1;24;800;2;2;1;1;1;451;Face 175 rue Principale;M;4899500.0;804000.0;670
200800000463;8;1;27;1215;1;2;2;1;3;294;Place du Monument;M;4969100.0;498900.0;80
200800000465;8;1;3;745;3;1;1;1;2;142;;M;4974100.0;489200.0;80
200800000491;8;1;4;1445;1;1;1;1;2;269;;M;4644900.0;281700.0;30
200800000556;8;1;2;1500;1;1;1;1;1;204;;M;0.0;0.0;690
200800000562;8;1;6;1100;1;2;6;7;1;452;ROND-POINT RUE EMILLE MA;M;0.0;0.0;590
200800000563;8;1;21;1300;1;2;1;1;3;647;186 Rue pascal leuliette;M;5082200.0;221600.0;590
200800000587;8;1;3;1730;5;1;1;2;2;706;;M;5059700.0;276200.0;620
200800000605;8;1;15;1800;3;1;1;6;3;761;;M;0.0;0.0;800
200800000611;8;1;8;1400;1;2;1;1;6;253;rue de saint ladre;M;5016000.0;234000.0;800
200800000676;8;1;31;1915;3;1;1;3;1;400;;M;0.0;0.0;760
200800000694;8;1;20;1100;1;1;1;1;1;686;;M;4978200.0;54100.0;760
