Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
200800000004;0;1;0;0;0;4;1;A01
200800000004;0;1;0;0;0;0;1;B02
200800000009;0;1;0;0;0;0;2;A01
200800000064;0;1;0;0;0;8;13;B02
200800000095;0;1;0;0;2;1;15;B02
200800000140;0;1;0;0;2;4;1;B02
200800000140;0;1;0;0;0;4;1;C03
200800000140;0;1;0;0;0;8;1;D04
200800000140;0;1;0;0;0;8;1;E05
200800000157;0;1;0;0;2;4;19;A01
200800000169;0;1;0;0;1;2;1;A01
200800000274;0;1;0;0;2;4;1;B02
200800000274;0;1;0;0;2;4;1;C03
200800000283;0;1;0;0;0;8;1;B02
200800000291;0;1;0;0;2;4;2;B02
200800000314;0;1;0;0;0;4;2;B02
200800000316;0;1;0;0;2;1;1;B02
200800000329;0;1;0;0;2;4;2;B02
200800000359;0;1;0;0;2;3;1;B02
200800000362;0;1;0;0;2;4;2;B02
200800000412;0;1;0;0;2;2;1;B02
200800000425;0;1;0;0;0;4;2;B02
200800000426;0;1;0;0;2;1;1;B02
200800000463;0;1;0;0;2;1;1;B02
200800000465;0;1;0;0;0;4;2;B02
200800000491;0;1;0;0;2;8;15;B02
200800000556;0;1;0;0;2;0;1;B02
200800000562;0;1;0;0;2;7;1;B02
200800000563;0;1;0;0;2;8;19;B02
200800000587;0;1;0;0;0;4;1;B02
200800000605;0;1;0;0;2;1;1;B02
200800000611;0;1;0;15;0;1;1;A01
200800000676;0;1;0;0;0;0;0;A01
200800000694;0;1;0;0;2;1;5;B02
200800000699;0;1;0;0;2;7;16;B02
200800000733;0;1;0;0;2;6;19;A01
200800000735;0;1;0;0;2;1;2;B02
200800000750;0;1;0;0;0;0;1;A01
200800000786;0;1;0;0;0;6;1;B02
200800000791;0;1;0;0;2;4;2;B02
200800000824;0;1;0;0;2;7;19;B02
200800000912;0;1;0;0;2;0;13;B02
200800001082;0;1;0;0;2;8;1;B02
200800001120;0;1;0;0;0;0;1;A01
200800001216;0;1;0;0;2;0;13;B02
200800001236;0;1;0;0;2;1;15;B02
200800001288;0;1;0;0;2;1;0;B02
200800001300;0;1;0;0;2;7;1;B02
200800001337;0;1;0;0;0;0;1;A01
200800001404;0;1;0;0;2;4;19;B02
200800001408;0;1;0;0;2;8;1;A01
200800001458;0;1;0;0;2;4;2;B02
200800001472;0;1;0;0;2;1;0;A01
200800001486;0;1;0;0;2;8;19;A01
200800001515;0;1;0;0;2;1;1;A01
200800001516;0;1;0;0;2;7;1;B01
200800001537;0;1;0;0;2;1;2;B01
200800001680;0;1;0;0;2;1;1;B01
200800001685;0;1;0;0;2;7;1;B01
200800001725;0;1;0;0;2;4;1;B01
200800001765;0;1;0;0;2;8;19;B01
200800001767;0;1;0;0;2;1;1;A01
200800001797;0;1;0;0;2;3;15;A01
200800001814;0;1;0;0;2;1;7;A01
200800001855;0;1;0;0;2;7;19;A01
200800001883;0;1;0;0;2;8;2;B01
200800001893;0;1;0;0;2;0;0;B01
200800001896;0;1;0;0;2;1;1;A01
200800001906;0;1;0;0;2;0;0;B01
200800001908;0;1;0;0;2;1;9;A01
200800001922;0;1;0;0;2;1;1;B01
200800001926;0;1;0;0;2;1;15;B01
200800001928;0;1;0;0;2;4;1;B01
200800001930;0;1;0;0;2;1;1;A01
200800001930;0;1;0;0;2;1;1;B01
200800001950;0;1;0;0;2;1;17;A01
200800001958;0;1;0;0;2;4;1;B01
200800002063;0;1;0;0;2;0;1;B01
200800002079;0;1;0;0;2;0;1;A01
200800002103;0;1;0;0;2;1;1;B01
200800002111;0;1;0;0;2;0;2;B01
200800002112;0;1;0;0;0;0;1;B01
200800002125;0;1;0;0;2;8;2;A01
200800002178;0;1;0;0;2;4;2;B01
200800002181;0;1;0;0;0;0;1;A01
200800002182;0;1;0;0;2;0;16;A01
200800002194;0;1;0;0;0;1;1;A01
200800002201;0;1;0;0;2;1;1;B01
200800002215;0;1;0;0;2;1;1;B01
200800002245;0;1;0;0;1;8;1;A01
200800002254;0;1;0;0;0;3;19;A01
200800002255;0;1;0;0;2;1;21;B01
200800002281;0;1;0;0;2;1;5;B01
200800002295;0;1;0;0;1;1;1;A01
200800002319;0;1;0;0;0;0;1;A01
200800002321;0;1;0;0;2;1;1;B01
200800002322;0;1;0;0;2;0;1;B01
200800002349;0;1;0;0;2;1;19;B01
200800002390;0;1;0;0;2;0;5;A01
200800002403;0;1;0;0;2;1;1;B01
200800002408;0;1;0;0;2;8;19;B01
200800002416;0;1;0;0;2;7;19;B01
200800002429;0;1;0;0;0;1;1;B01
200800002433;0;1;0;0;2;8;15;B01
200800002439;0;1;0;0;2;1;1;B01
200800002441;0;1;0;0;2;1;1;B01
200800002496;0;1;0;0;2;1;1;B01
200800002507;0;1;0;0;2;0;1;B01
200800002510;0;1;0;0;2;0;19;B01
200800002520;0;1;0;0;2;0;1;A01
200800002550;0;1;0;0;2;0;19;B01
200800002565;0;1;0;0;1;3;1;A01
200800002578;0;1;0;0;2;1;1;B01
200800002591;0;1;0;0;2;1;2;B01
200800002596;0;1;0;0;2;6;2;B01
200800002608;0;1;0;0;2;1;1;B01
200800002664;0;1;0;0;2;1;2;A01
200800002782;0;1;0;0;2;0;1;B01
200800002802;0;1;0;0;1;1;1;A01
200800002829;0;1;0;0;2;0;23;B01
200800002858;0;1;0;0;2;1;9;B01
200800002891;0;1;0;12;0;1;1;B01
200800002902;0;1;0;0;2;3;15;A01
200800002906;0;1;0;1;2;1;23;A01
200800002914;0;1;0;0;0;0;19;B01
200800002922;0;1;0;0;2;1;1;A01
