Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
201900031650;138 246 846;B01;1;1;0;2;7;1;0;
201900031651;138 246 843;B01;1;1;0;2;8;1;5;
201900031657;138 246 835;A01;2;1;0;0;1;1;5;
201900031668;138 246 819;B01;1;1;0;2;7;1;5;
201900031669;138 246 816;A01;2;1;0;2;1;5;5;
201900031722;138 246 733;A01;1;1;0;0;0;0;5;
201900031754;138 246 672;B01;1;1;0;2;1;1;0;
201900031762;138 246 657;B01;2;1;0;2;1;8;5;
201900031775;138 246 632;B01;2;1;0;2;1;9;0;
201900031781;138 246 622;B01;3;1;0;2;8;19;5;
201900031789;138 246 604;C01;1;1;0;2;1;1;5;
201900031800;138 246 585;A01;1;1;0;0;7;13;5;
201900031801;138 246 582;A01;3;1;0;1;1;1;5;
201900031809;138 246 572;B01;2;1;0;2;1;1;6;
201900031813;138 246 565;A01;1;1;0;2;8;14;0;
201900031814;138 246 562;B01;1;1;0;2;1;1;0;
201900031815;138 246 561;A01;1;1;0;2;1;1;5;
201900031825;138 246 540;B01;3;1;0;0;7;19;5;
201900031842;138 246 507;B01;1;1;0;2;3;13;0;
201900031847;138 246 500;A01;1;1;0;0;4;13;5;
201900031850;138 246 494;A01;1;1;0;0;6;1;5;
201900031864;138 246 469;B01;3;1;0;2;3;1;5;
201900031866;138 246 463;B01;2;1;0;2;8;15;5;
201900031875;138 246 445;A01;1;1;0;0;1;2;5;
201900031906;138 246 388;B01;1;1;0;2;4;1;5;
201900031912;138 246 381;B01;3;1;0;0;1;19;5;
201900031913;138 246 377;B01;2;1;0;2;8;0;5;
201900031934;138 246 335;A01;0;1;0;0;0;1;5;
201900031955;138 246 291;A01;2;1;0;2;3;11;5;
201900031963;138 246 275;B01;3;1;0;2;7;19;5;
201900031965;138 246 273;B01;3;1;0;2;5;16;5;
201900031967;138 246 270;A01;0;1;0;0;0;0;5;
201900031970;138 246 262;A01;2;1;0;2;3;16;5;
201900031976;138 246 249;B01;3;1;1;0;1;2;5;
201900031985;138 246 228;B01;3;1;0;2;8;1;5;
201900031999;138 246 189;B01;2;1;0;2;8;0;0;
201900032022;138 246 138;A01;1;1;0;2;6;1;5;
201900032030;138 246 116;A01;3;1;0;2;5;19;5;
