Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
201900000037;29;11;2019;13:40;1;67;67482;2;1;2;3;JEAN JAURES (AVENUE);48,5708480;7,7587680
201900000038;29;11;2019;13:50;1;66;66136;2;1;1;6;MOULIN (PLACE JEAN);42,6969500;2,8993500
201900000049;28;11;2019;08:16;1;49;49007;2;1;1;7;TURPIN DE CRISSE AVENUE;47,4653400; -0,5543300
201900000051;29;11;2019;17:10;2;45;45234;2;6;1;3;RUE DES MONTEES;47,8763800;1,9145000
201900000059;22;11;2019;18:45;5;33;33063;2;2;2;3;CRS JOURNU AUBER;44,8616500; -0,5730000
201900000060;6;11;2019;19:15;5;33;33550;2;6;1;2;RTE DE LEOGNAN;44,7727200; -0,5766400
201900000064;27;11;2019;17:40;5;33;33318;2;6;2;3;AVE DE CANDAU;44,8079300; -0,6170400
201900000065;27;11;2019;13:00;1;33;33522;2;4;2;3;BD DU PDT FRANKLIN ROOSEVELT;44,8202000; -0,5814500
201900000102;19;9;2019;17:00;1;71;71040;2;3;1;1;JOSEPH LAMBERT (RUE);46,6965100;4,3911800
201900000113;20;9;2019;20:05;5;974;97411;2;1;1;3;BOIS DE NEFLES (ROUTE DE); -20,9058900;55,4783700
201900000143;19;9;2019;17:45;2;67;67482;2;1;1;1;KLEBSAU (RUE DE LA);48,5450000;7,7746300
201900000145;19;9;2019;14:08;1;67;67462;2;1;1;6;PRESIDENT POINCARE (RUE DU);48,2569480;7,4552090
201900000151;17;2;2019;07:45;1;60;60471;2;6;1;3;AVENUE JEAN JAURÃS;49,5782422;2,9943981
201900000181;16;2;2019;15:30;1;28;28287;1;1;1;5;D.153.4 PK: 08+550;48,1574460;1,6877360
201900000182;18;2;2019;11:45;1;28;28137;1;1;1;2;D32;48,5515960;1,7361330
201900000188;14;2;2019;15:15;1;68;68375;1;1;1;3;RD2 intersection rue d'ensisheim;47,8164620;7,2676050
201900000192;17;2;2019;19:10;2;76;76660;1;1;1;3;N 1029;49,4425301;0,2726543
201900000218;16;2;2019;17:10;1;77;77430;2;6;1;3;D9E1 X RUE DE LA MARNE;49,0716100;2,8051200
201900000220;15;2;2019;16:40;1;77;77317;2;4;7;1;RUE D'ANDREZEL/rue des GUIGNEVEAUX;48,6092150;2,8869400
201900000224;16;2;2019;14:43;1;78;78548;1;1;1;3;D91;48,7150440;2,0019880
201900000232;10;5;2019;17:30;1;17;17219;2;3;1;3;Rue Alsace Lorraine;45,8264120; -1,1087060
201900000240;8;5;2019;10:00;1;64;64496;1;6;2;3;Giratoire Atturi Ondo;43,4800542; -1,4416990
201900000245;17;5;2019;14:30;1;33;33238;2;3;1;3;Avenue de Mont de Marsan;44,7205000; -0,6037100
201900000254;4;5;2019;11:20;1;72;72154;2;1;1;6;22 Rue de Verdun;47,6975360; -0,0894790
201900000257;26;5;2019;08:00;1;49;49023;2;1;2;1;Rue des MÃ©sanges (GestÃ©);47,1841860; -1,1068360
