Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
201900000037;4;JEAN JAURES (AVENUE);0.0;;3;5;2;1;0;0;1;;;2;4;6;50
201900000038;4;MOULIN (PLACE JEAN);0.0;;2;2;0;1;0;0;1;;;1;0;1;30
201900000049;4;TURPIN DE CRISSE AVENUE;0.0;;2;2;0;1;0;0;1;;;1;0;1;60
201900000051;4; RUE DES MONTEES;0.0;;1;2;0;1;(1);(1);2;;;1;0;1;50
201900000059;4;CRS JOURNU AUBER;0.0;;1;2;1;1;(1);(1);1;;;2;0;1;50
201900000060;4;RTE DE LEOGNAN;0.0;;2;4;0;1;0;0;1;;;1;0;1;50
201900000064;4;AVE DE CANDAU;0.0;;2;2;0;1;(1);(1);1;;;2;0;1;50
201900000065;4;BD DU PDT FRANKLIN ROOSEVELT;0.0;;3;6;0;1;0;0;1;;;2;0;1;50
201900000102;4;JOSEPH LAMBERT (RUE);0.0;;2;2;0;1;1;0;2;;;1;0;1;50
201900000113;4;BOIS DE NEFLES (ROUTE DE);0.0;;2;0;0;2;0;0;3;;;1;0;1;50
201900000143;4;KLEBSAU (RUE DE LA);0.0;;2;2;1;1;0;0;2;;;1;0;1;50
201900000145;4;PRESIDENT POINCARE (RUE DU);0.0;;2;2;1;1;1;0;1;;;1;0;1;50
201900000151;3;932;0.0;;1;1;0;1;27;950;2;;;1;0;1;50
201900000181;3;153.4;;;2;2;0;1;9;450;1;;;1;0;1;80
201900000182;3;32;0.0;;2;1;0;4;20;63;1;;;1;0;1;80
201900000188;3;2;;;2;2;0;2;7;100;1;;;1;0;1;80
201900000192;2;1029;;;3;4;1;2;3;200;1;;;1;2;5;70
201900000218;3;9E1;;E;2;2;0;1;4;118;1;;;1;5;1;50
201900000220;4;;;;2;2;0;1;(1);(1);1;;;1;0;1;50
201900000224;3;91;0.0;D;2;2;0;1;15;210;1;;;1;0;1;80
201900000232;4;Rue Alsace Lorraine;0.0;;1;1;0;1;(1);(1);1;;;1;5;1;50
201900000240;1;64;0.0;;3;2;0;1;0;0;1;;;2;3;1;70
201900000245;3;651;;;2;2;0;2;8;200;4;;;1;0;1;50
201900000254;3;323;0.0; -;2;2;0;1;(1);(1);1;;;1;0;1;50
201900000257;4;;;;1;1;0;1;(1);(1);2;;;1;0;1;30
201900000293;3;71;0.0;;2;2;0;2;30;900;3;;;1;0;5;50
201900000305;3;75;0.0;D;2;2;0;4;27;28;1;;;1;0;1;50
201900000307;4;DOCTEUR NETTER (RUE DU);0.0;;2;2;0;1;0;0;1;;;1;0;1;50
201900000310;4;GOUJON (RUE DU);0.0;;2;2;0;1;0;0;1;;;1;0;1;50
201900000320;4;JEAN DE LA FONTAINE;0.0;;2;1;0;2;0;0;3;;;1;0;1;15
201900000329;4;25ème RGA;0.0;;1;2;0;1;0;1;2;;;1;5;1;50
201900000335;4;ARDILLIERS;0.0;;1;1;0;1;0;0;1;;;1;0;1;30
201900000337;4;BLUM ( BD LEON );0.0;;2;1;1;1;(1);(1);3;;;2;5;1;30
201900000345;4;RUE DU RUISSELET;0.0;;2;0;0;1;0;0;1;;;1;5;1;50
201900000350;4;ARNAULD ( HENRI) BOULEVARD;0.0;;-1;1;0;1;0;0;1;;;1;0;1;30
201900000354;3;656;0.0;;2;2;0;1;43;950;1;;;1;0;1;50
201900000360;4;;0.0;;1;2;0;1;0;0;2;;;1;0;1;50
201900000368;4;CHATEAUBRIAND (QUAI);0.0;;3;2;1;2;0;0;1;;;2;5;1;50
201900000371;4;GASCOGNE (SQUARE DE);0.0;;-1;1;0;1;0;0;1;;;1;0;1;30
201900000374;4;DUGUAY TROUIN (QUAI);0.0;;1;1;1;1;0;0;1;;;1;0;1;50
201900000382;4;RUE LOUIS NADOT;0.0;;2;2;2;2;0;0;2;;;1;0;1;50
201900000394;3;902;0.0;;-1;2;0;1;0;1;1;;;1;0;1;50
201900000402;4;EUGENE MASSE RUE;0.0;;2;2;0;1;0;0;4;;;1;0;1;50
201900000443;3;117;0.0;;2;2;0;1;0;0;3;;;1;0;1;50
201900000468;4;SALVATORE ALLENDE (BOULEVARD);0.0;;2;2;0;1;0;0;1;;;1;0;1;50
201900000478;4;RUE MARX DORMOY;0.0;;2;4;0;1;0;0;1;;;1;0;1;50
201900000480;4;RUE OLIVIER DE SERRES;0.0;;1;1;0;2;0;0;1;;;1;0;1;50
201900000483;4;PLACE SAINT AUGUSTIN;0.0;;2;4;0;1;0;0;1;;;1;0;1;50
201900000489;3;14;0.0;;2;2;0;1;0;0;1;;;1;0;1;50
201900000498;3;907;0.0;;3;3;0;2;0;0;1;;;1;9;1;50
201900000528;4;;0.0;;2;2;0;1;(1);(1);1;;;1;0;1;50
201900000530;3;2;0.0;;2;2;0;1;(1);(1);1;;;1;0;1;80
201900000538;3;111;0.0;;2;2;0;2;1;300;3;;;1;0;1;80
201900000558;4;BOULEVARD SAINT MARCEL;0.0;;2;4;-1;1;0;0;1;;;1;0;1;30
201900000569;4;RUE SAINT DENIS;0.0;;1;1;-1;1;0;0;1;;;2;0;1;50
201900000580;3;264;0.0;;2;4;0;1;0;1;1;;;1;0;1;50
201900000587;3;104;0.0;;2;2;0;2;0;0;1;;;1;0;1;50
201900000603;3;20;;;2;2;0;1;13;890;1;;;1;5;1;50
201900000613;3;211;0.0;;2;2;0;2;4;200;3;;;1;0;1;80
201900000634;3;650;;;2;2;0;1;12;455;1;;;1;0;1;50
201900000641;4;;;;2;2;0;1;(1);(1);1;;;1;5;1;50
201900000669;4;ALLEE DE LONGCHAMP;0.0;;2;4;0;1;0;0;1;;;2;0;1;50
201900000670;4;RUE DE L ARRIVEE;0.0;;3;3;-1;1;0;0;1;;;1;0;1;50
201900000678;3;126;0.0;B;1;3;0;2;0;0;3;;;2;0;1;50
201900000684;3;20;0.0;;2;2;0;1;1;0;1;;;1;0;1;50
201900000690;3;910;0.0;;1;7;0;1;0;0;1;;;1;0;1;50
201900000701;3;37;;;2;2;0;1;(1);(1);1;;;1;9;1;50
201900000708;2;265;0.0;;1;1;0;1;5;800;1;;;1;3;1;50
201900000717;3;460;0.0;A;2;2;0;1;5;0;2;;;2;0;1;80
201900000733;4;SOLEIL LEVANT (RUE DU);0.0;;2;2;0;1;(1);(1);1;;;1;0;1;50
201900000735;4;;0.0;;-1;1;1;1;0;0;1;;;1;0;1;50
201900000740;4;Rue de Melun;0.0;;2;2;2;1;(1);(1);1;;;1;0;1;30
201900000750;3;766;0.0;;2;2;0;1;2;788;1;;;1;5;1;50
201900000764;4;CHEM DE LEYSOTTE;0.0;;2;2;0;1;0;0;1;;;1;0;1;50
201900000765;4;COURS DE QUEBEC;0.0;;3;4;2;1;0;0;1;;;1;0;1;50
201900000771;3;188;0.0;;2;3;0;1;0;0;1;;;1;0;1;50
201900000774;4;Bd de L'Atlantique;0.0;;-1;2;0;1;(1);(1);1;;;1;0;1;50
201900000779;3;5;0.0;A;-1;0;0;2;0;0;2;;;1;0;1;50
201900000793;2;94;0.0;;2;2;0;1;71;390;1;;;1;0;1;50
201900000807;4;RUE DE TOLBIAC;0.0;;2;4;3;1;175;0;1;;;1;0;6;50
201900000810;4;ROUTE ROYALE DE BEAUTE;0.0;;2;2;1;1;0;0;1;;;1;0;5;50
201900000812;4;RUE DE ROME;0.0;;2;4;3;2;0;0;1;;;1;0;6;50
