Num_Acc;place;catu;grav;sexe;trajet;secu;locp;actp;etatp;an_nais;num_veh;age
200500000030;1;1;1;1;1;13;0;0;0;1970.0;A01;52.0
200500000030;1;1;4;1;5;0;0;0;0;1947.0;B02;75.0
200500000034;1;1;1;1;5;11;0;0;0;1937.0;A01;85.0
200500000034;1;1;3;1;5;0;0;0;0;1985.0;B02;37.0
200500000078;1;1;1;1;9;11;0;0;0;1986.0;A01;36.0
200500000078;1;1;4;1;5;22;0;0;0;1934.0;B02;88.0
200500000093;1;1;1;1;3;11;0;0;0;1942.0;A01;80.0
200500000093;1;1;3;2;4;0;0;0;0;1954.0;B02;68.0
200500000170;1;1;4;1;5;91;0;0;0;1931.0;A01;91.0
200500000246;1;1;1;1;5;11;0;0;0;1956.0;A01;66.0
200500000246;1;1;3;1;5;21;0;0;0;1959.0;B02;63.0
200500000260;1;1;1;2;2;11;0;0;0;1980.0;A01;42.0
200500000260;1;1;3;1;5;0;0;0;0;1993.0;B02;29.0
200500000273;1;1;1;1;5;11;0;0;0;1961.0;A01;61.0
200500000273;1;1;4;1;5;0;0;0;0;1994.0;B02;28.0
200500000282;1;1;1;1;5;11;0;0;0;1958.0;A01;64.0
200500000282;1;1;3;1;5;21;0;0;0;1947.0;B02;75.0
200500000287;1;1;1;2;5;11;0;0;0;1947.0;A01;75.0
200500000287;1;1;4;1;0;21;0;0;0;1929.0;B02;93.0
200500000291;1;1;1;1;0;11;0;0;0;1980.0;A01;42.0
200500000291;1;1;4;1;0;21;0;0;0;1944.0;B02;78.0
200500000295;1;1;3;1;4;0;0;0;0;1932.0;A01;90.0
200500000295;1;1;4;1;5;21;0;0;0;1948.0;B02;74.0
200500000304;1;1;3;1;5;21;0;0;0;1954.0;A01;68.0
200500000304;1;1;1;1;5;11;0;0;0;1986.0;B02;36.0
200500000322;1;1;1;1;0;11;0;0;0;1939.0;A01;83.0
200500000322;1;1;4;2;0;21;0;0;0;1934.0;B02;88.0
200500000329;1;1;1;2;1;11;0;0;0;1949.0;A01;73.0
200500000329;1;1;2;2;3;0;0;0;0;1932.0;B02;90.0
200500000342;1;1;3;1;5;21;0;0;0;1951.0;A01;71.0
200500000342;1;1;1;1;5;11;0;0;0;1947.0;B02;75.0
200500000345;1;1;1;1;5;11;0;0;0;1957.0;A01;65.0
200500000345;1;1;3;1;5;21;0;0;0;1947.0;B02;75.0
200500000402;1;1;1;1;1;11;0;0;0;1961.0;A01;61.0
200500000402;1;1;3;2;1;0;0;0;0;1987.0;B02;35.0
200500000403;1;1;1;2;5;11;0;0;0;1973.0;A01;49.0
200500000403;1;1;3;1;5;21;0;0;0;1949.0;B02;73.0
200500000438;1;1;1;1;1;11;0;0;0;1949.0;A01;73.0
200500000438;1;1;2;2;3;21;0;0;0;1924.0;B02;98.0
200500000453;1;1;3;1;3;0;0;0;0;1924.0;A01;98.0
200500000453;1;1;4;2;1;21;0;0;0;1969.0;B02;53.0
200500000471;1;1;4;1;1;41;0;0;0;1949.0;B02;73.0
200500000543;1;1;1;1;4;11;0;0;0;1974.0;A01;48.0
200500000543;1;1;4;1;5;0;0;0;0;1930.0;B02;92.0
200500000553;1;1;4;1;5;12;0;0;0;1946.0;A01;76.0
200500000553;1;1;2;2;5;21;0;0;0;1961.0;B02;61.0
200500000563;1;1;4;2;3;0;0;0;0;1923.0;B02;99.0
200500000585;1;1;1;1;3;10;0;0;0;1930.0;A01;92.0
200500000585;1;1;3;1;5;0;0;0;0;1955.0;B02;67.0
200500000623;1;1;1;1;3;13;0;0;0;1929.0;A01;93.0
200500000623;2;2;1;2;0;13;0;0;0;1924.0;A01;98.0
200500000623;1;1;4;2;3;0;0;0;0;1924.0;B02;98.0
200500000744;1;1;1;1;0;11;0;0;0;1956.0;A01;66.0
200500000744;1;1;3;1;5;21;0;0;0;1971.0;B02;51.0
200500000748;1;1;1;1;4;11;0;0;0;1964.0;A01;58.0
200500000748;1;1;3;1;0;0;0;0;0;1925.0;B02;97.0
200500000800;1;1;1;2;0;11;0;0;0;1933.0;A01;89.0
200500000800;1;1;3;1;5;0;0;0;0;1953.0;B02;69.0
200500000811;1;1;4;2;5;21;0;0;0;1967.0;A01;55.0
200500000811;1;1;4;1;5;21;0;0;0;1948.0;B02;74.0
200500000811;1;1;4;1;5;21;0;0;0;1956.0;C03;66.0
