Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
200500000030;0;1;0;0;2;8;11;B02
200500000034;0;1;0;0;2;1;1;B02
200500000078;0;1;0;0;2;1;1;B02
200500000093;0;1;0;0;2;3;21;B02
200500000170;0;1;0;0;2;4;2;A01
200500000246;0;1;0;0;2;7;1;B02
200500000260;0;1;0;0;2;1;5;B02
200500000273;0;1;0;0;2;1;9;B02
200500000282;0;1;0;0;0;4;19;B02
200500000287;0;1;0;0;2;1;1;B02
200500000291;0;1;0;0;2;3;15;B02
200500000295;0;1;0;0;2;4;1;A01
200500000304;0;1;0;0;2;3;1;A01
200500000322;0;1;0;0;2;4;1;B02
200500000329;0;1;0;0;2;4;13;B02
200500000342;0;1;0;0;2;0;1;A01
200500000345;0;1;0;0;2;1;1;B02
200500000402;0;1;0;0;2;3;19;B02
200500000403;0;1;0;0;2;4;1;B02
200500000438;0;1;0;0;2;8;0;B02
200500000453;0;1;0;0;9;2;15;A01
200500000471;0;1;0;0;0;4;1;B02
200500000543;0;1;0;12;0;0;1;B02
200500000553;0;1;0;0;0;4;1;B02
200500000563;0;1;0;0;0;0;15;B02
200500000585;0;1;0;0;0;4;11;B02
200500000623;0;1;0;0;2;3;15;B02
200500000744;0;1;0;0;0;7;1;B02
200500000748;0;1;0;0;2;1;0;B02
200500000800;0;1;0;0;2;1;1;B02
200500000811;0;1;0;0;0;1;1;B02
200500000811;0;1;0;0;0;1;1;C03
200500000844;0;1;0;0;5;1;1;A01
200500000874;0;1;0;0;2;8;13;B02
200500000885;0;1;0;0;2;1;1;B02
200500000920;0;1;0;0;0;4;1;B02
200500000920;0;1;0;0;0;4;0;C03
200500000953;0;1;0;1;0;1;14;A01
200500001035;0;1;0;0;2;1;15;A01
200500001046;0;1;0;0;2;8;1;B02
200500001117;0;1;0;0;2;1;15;B02
200500001129;0;1;0;0;2;4;2;B02
200500001159;0;1;0;0;0;8;19;B02
200500001174;0;1;0;0;2;8;1;B02
200500001188;0;1;0;0;0;0;0;A01
200500001213;0;1;0;3;0;8;2;A01
200500001215;0;1;0;0;0;8;9;B02
200500001228;0;1;0;0;2;1;15;A01
200500001232;0;1;0;0;2;1;1;B02
200500001267;0;1;0;0;2;1;1;B02
200500001307;0;1;0;0;0;8;2;B02
200500001313;0;1;0;0;2;7;1;B02
200500001338;0;1;0;0;2;8;15;B02
200500001438;0;1;0;0;2;1;1;B02
200500001468;0;1;0;0;2;8;13;B02
200500001482;0;1;0;0;0;8;1;B02
200500001519;0;1;0;0;2;4;2;B02
200500001606;0;1;0;0;2;1;1;B02
200500001671;0;1;0;0;2;5;1;B02
200500001727;0;1;0;0;2;8;0;B02
200500001930;0;1;0;0;0;4;1;B02
200500001943;0;1;0;0;0;6;2;B02
200500002018;0;1;0;0;2;7;1;A01
200500002040;0;1;0;0;2;7;15;A01
200500002047;0;1;0;0;2;7;1;B01
200500002114;0;1;0;0;2;4;15;B01
200500002212;0;1;0;0;2;1;2;A01
200500002215;0;1;0;0;2;1;1;B01
200500002238;0;1;0;0;2;4;1;B01
200500002268;0;1;0;0;2;4;2;B01
200500002302;0;1;0;0;2;1;13;A01
200500002308;0;1;0;0;2;1;1;A01
200500002315;0;1;0;0;2;7;15;A01
200500002332;0;1;0;0;1;1;21;A01
200500002336;0;1;0;0;2;1;19;A01
200500002348;0;1;0;0;2;7;17;B01
200500002348;0;1;0;0;2;1;17;C01
200500002359;0;1;0;0;2;0;1;B01
200500002439;0;1;0;0;2;1;19;B01
200500002450;0;1;0;0;2;1;1;B01
200500002622;0;1;0;1;0;1;2;B01
200500002647;0;1;0;0;0;7;1;B01
200500002670;0;1;0;0;2;1;21;B01
200500002686;0;1;0;0;2;5;19;B01
200500002691;0;1;0;0;2;5;19;B01
200500002696;0;1;0;1;0;1;1;A01
200500002725;0;1;0;0;2;4;1;B01
200500002774;0;1;0;0;2;1;15;A01
200500002786;0;1;0;0;2;6;9;A01
200500002793;0;1;0;0;2;1;1;A01
200500002800;0;1;0;0;2;7;19;B01
200500002819;0;1;0;0;2;1;1;B01
200500002848;0;1;0;0;2;6;19;A01
200500002849;0;1;0;0;2;1;1;B01
200500002876;0;1;0;0;2;1;1;B01
200500002880;0;1;0;0;2;1;17;A01
200500002886;0;1;0;0;2;8;2;B01
200500002890;0;1;0;0;2;1;2;B01
200500002898;0;1;0;0;2;1;2;B01
200500002951;0;1;0;0;2;1;1;B01
200500002987;0;1;0;0;2;1;3;A01
200500003035;0;1;0;0;0;7;19;B01
200500003041;0;1;0;0;2;2;2;B01
200500003045;0;1;0;0;2;1;2;A01
200500003053;0;1;0;0;1;0;2;A01
200500003068;0;1;0;0;2;2;21;C01
200500003069;0;1;0;0;2;0;2;A01
200500003073;0;1;0;12;0;1;2;A01
200500003092;0;1;0;0;2;7;2;B01
200500003093;0;1;0;0;0;0;2;B01
200500003110;0;1;0;0;2;1;2;A01
200500003145;0;1;0;0;2;4;15;A01
200500003153;0;1;0;0;2;9;1;B01
200500003162;0;1;0;0;2;8;19;B01
200500003163;0;1;0;0;4;0;19;A01
200500003164;0;1;0;0;2;1;1;B01
200500003179;0;1;0;0;2;0;1;B01
200500003185;0;1;0;0;0;1;1;B01
200500003188;0;1;0;0;2;1;0;B01
200500003189;0;1;0;0;4;4;19;A01
200500003200;0;1;0;0;2;1;1;B01
200500003220;0;1;0;0;2;0;0;B01
200500003243;0;1;0;0;2;1;1;B01
200500003244;0;1;0;0;2;1;1;B01
200500003245;0;1;0;0;2;7;1;A01
200500003254;0;1;0;0;2;4;1;B01
200500003311;0;1;0;0;2;4;1;B01
200500003312;0;1;0;0;2;8;1;B01
200500003320;0;1;0;0;2;1;1;B01
200500003326;0;1;0;1;0;0;21;A01
200500003359;0;1;0;0;2;0;0;B01
200500003378;0;1;0;0;2;0;19;A01
200500003385;0;1;0;0;2;8;0;A01
200500003395;0;1;0;0;1;1;1;A01
200500003396;0;1;0;0;2;4;1;B01
200500003397;0;1;0;0;2;8;1;B01
200500003400;0;1;0;0;2;2;1;B01
200500003402;0;1;0;0;2;4;1;B01
200500003405;0;1;0;0;2;1;1;B01
200500003413;0;1;0;0;2;0;18;A01
200500003415;0;1;0;0;2;1;1;A01
200500003432;0;1;0;0;0;1;1;A01
200500003433;0;1;0;0;2;7;2;B01
200500003440;0;1;0;0;2;1;2;B01
200500003440;0;1;0;0;2;1;21;C01
200500003449;0;1;0;0;1;1;1;A01
200500003464;0;1;0;0;2;1;1;B01
200500003466;0;1;0;0;5;1;1;A01
200500003466;0;1;0;0;2;1;1;B01
200500003487;0;1;0;0;2;4;0;B01
200500003529;0;1;0;0;2;1;1;B01
200500003572;0;1;0;0;2;4;15;B01
200500003575;0;1;0;0;2;1;15;B01
200500003592;0;1;0;0;0;0;1;B01
200500003616;0;1;0;0;2;1;19;A01
200500003619;0;1;0;1;0;1;1;B01
200500003624;0;1;0;0;2;0;2;B01
200500003633;0;1;0;0;2;1;1;B01
200500003653;0;1;0;0;2;1;1;B01
200500003655;0;1;0;0;2;4;1;B01
200500003670;0;1;0;0;1;1;1;A01
200500003674;0;1;0;12;2;5;1;B01
200500003682;0;1;0;0;2;0;1;B01
200500003698;0;1;0;0;2;8;19;B01
200500003700;0;1;0;0;2;1;1;B01
200500003705;0;1;0;0;2;1;1;A01
200500003707;0;1;0;0;2;2;15;B01
200500003709;0;1;0;0;2;1;1;B01
200500003712;0;1;0;0;2;8;1;B01
200500003727;0;1;0;0;2;1;1;A01
200500003731;0;1;0;0;2;1;1;A01
200500003763;0;1;0;0;2;2;1;B01
200500003774;0;1;0;0;2;1;15;A01
200500003801;0;1;0;14;0;1;1;A01
200500003816;0;1;0;0;2;8;1;B01
200500003818;0;1;0;0;2;1;1;B01
200500003852;0;1;0;0;2;7;1;B01
200500003866;0;1;0;0;1;1;2;A01
200500003877;0;1;0;12;0;2;1;A01
200500003957;0;1;0;0;2;4;15;B01
200500004022;0;1;0;0;2;2;15;B01
200500004024;0;1;0;0;2;1;1;A01
200500004080;0;1;0;0;2;7;19;B01
200500004087;0;1;0;0;2;1;2;B01
200500004096;0;1;0;0;2;1;19;B01
200500004097;0;1;0;0;2;7;15;A01
200500004112;0;1;0;0;9;6;9;A01
200500004115;0;1;0;0;2;4;2;B01
200500004136;0;1;0;0;2;1;2;A01
200500004137;0;1;0;0;2;8;19;A01
200500004178;0;1;0;0;2;1;0;B01
200500004189;0;1;0;0;2;6;21;A01
200500004198;0;1;0;0;0;0;2;B01
200500004254;0;1;0;0;0;0;0;B01
200500004268;0;1;0;0;0;4;1;B01
200500004300;0;1;0;0;2;8;1;C01
200500004306;0;1;0;0;2;7;19;B01
200500004320;0;1;0;0;2;1;1;B01
200500004327;0;1;0;0;2;1;13;A01
200500004330;0;1;0;0;2;1;1;B01
200500004336;0;1;0;0;0;0;9;A01
200500004341;0;1;0;0;2;7;1;B01
200500004352;0;1;0;0;0;4;2;B01
200500004361;0;1;0;0;2;8;1;B01
200500004394;0;1;0;1;0;1;1;B01
200500004395;0;1;0;1;0;1;2;B01
200500004400;0;1;0;0;2;8;19;A01
200500004417;0;1;0;0;2;8;2;B01
200500004433;0;1;0;0;2;1;1;B01
200500004444;0;1;0;0;2;1;1;B01
200500004450;0;1;0;0;2;1;1;B01
200500004459;0;1;0;0;2;5;14;B01
200500004462;0;1;0;0;2;1;2;B01
200500004494;0;1;0;0;2;1;15;B01
200500004524;0;1;0;0;2;8;1;B01
200500004527;0;1;0;0;2;1;1;B01
200500004540;0;1;0;1;0;1;14;A01
200500004556;0;1;0;0;1;1;2;A01
200500004591;0;1;0;0;2;1;1;B01
200500004597;0;1;0;0;2;4;15;A01
200500004600;0;1;0;0;1;1;1;A01
200500004627;0;1;0;0;2;2;15;A01
200500004630;0;1;0;0;2;1;1;B01
200500004645;0;1;0;0;2;1;1;B01
200500004662;0;1;0;0;1;1;1;A01
200500004680;0;1;0;0;0;2;21;A01
200500004681;0;1;0;0;2;3;1;A01
200500004743;0;1;0;1;0;1;1;A01
200500004758;0;1;0;0;1;1;17;A01
200500004777;0;1;0;0;2;4;1;B01
200500004789;0;1;0;0;2;1;1;B01
200500004804;0;1;0;0;2;2;1;B01
200500004807;0;1;0;0;2;3;1;B01
200500004818;0;1;0;0;2;1;7;B01
200500004824;0;1;0;0;2;2;1;B01
200500004851;0;1;0;0;2;3;1;A01
200500004858;0;1;0;0;2;1;16;A01
200500004888;0;1;0;0;2;2;1;B01
200500004917;0;1;0;0;2;4;7;C01
200500004932;0;1;0;0;2;1;1;B01
200500004941;0;1;0;0;2;1;1;B01
200500004944;0;1;0;0;2;3;1;B01
200500004947;0;1;0;0;2;1;1;B01
200500004988;0;1;0;0;2;1;1;B01
200500004990;0;1;0;0;2;4;7;B01
200500005062;1;1;0;0;1;1;0;A01
200500005073;0;1;0;0;2;2;1;B01
200500005119;0;1;0;0;2;5;1;A01
200500005161;0;1;0;0;2;3;2;A01
200500005184;0;1;0;0;2;1;9;B01
200500005208;0;1;0;0;2;1;9;A01
200500005213;0;1;0;0;2;1;15;B01
200500005244;0;1;0;0;2;1;2;B01
200500005249;0;1;0;0;2;1;2;B01
200500005279;0;1;0;0;0;3;1;B01
200500005281;0;1;0;0;2;3;17;B01
200500005283;0;1;0;0;2;4;12;B01
200500005320;0;1;0;0;2;1;1;B01
200500005325;0;1;0;0;2;7;2;B01
200500005341;0;1;0;0;2;7;19;B01
200500005343;0;1;0;0;0;7;19;B01
200500005354;0;1;0;0;0;4;1;B01
200500005359;0;1;0;0;2;1;1;A01
200500005363;0;1;0;0;2;4;1;B01
200500005402;0;1;0;0;2;1;5;A01
200500005454;0;1;0;0;2;6;1;A01
200500005468;0;1;0;0;2;0;1;B01
200500005470;0;1;0;0;2;1;19;A01
200500005481;0;1;0;0;2;7;1;A01
200500005515;0;1;0;0;2;1;18;B01
200500005539;0;1;0;0;1;1;9;A01
200500005631;0;1;0;0;2;7;1;A01
200500005639;0;1;0;0;2;7;16;B01
200500005646;0;1;0;0;2;2;15;B01
200500005659;0;1;0;0;2;3;2;B01
200500005679;0;1;0;0;2;1;19;B01
200500005690;0;1;0;0;2;0;1;B01
200500005722;0;1;0;1;0;2;2;B01
200500005766;0;1;0;9;2;8;2;B01
200500005773;0;1;0;0;0;4;15;B01
200500005797;0;1;0;0;0;0;2;B01
200500005883;0;1;0;16;2;8;19;B01
200500005908;0;1;0;0;2;1;1;B01
200500006013;0;1;0;0;2;1;21;B01
200500006074;0;1;0;0;2;1;16;B01
200500006082;0;1;0;0;0;2;1;B01
200500006086;0;1;0;0;2;1;2;B01
200500006109;0;1;0;0;0;0;1;B01
200500006133;0;1;0;0;2;1;2;B01
200500006139;0;1;0;0;2;1;1;B01
200500006228;0;1;0;0;2;1;15;A01
200500006233;0;1;0;0;2;8;1;B01
200500006511;0;1;0;0;0;0;1;B01
200500006599;0;1;0;0;2;1;1;B01
200500006718;0;1;0;0;2;3;15;A01
200500006745;0;1;0;0;2;1;1;B01
200500006747;0;1;0;1;1;1;5;A01
200500006797;0;1;0;0;2;0;0;B01
200500006815;1;1;0;0;1;1;1;A01
200500006820;0;1;0;0;2;8;1;B01
200500006827;0;1;0;0;2;4;13;B01
200500006886;0;1;0;0;2;2;1;B01
200500006920;0;1;0;0;2;1;15;A01
200500006965;0;1;0;0;2;4;1;B01
200500006987;0;1;0;0;0;1;1;B01
200500006998;0;1;0;0;0;0;0;B01
200500007120;0;1;0;14;0;0;0;A01
200500007157;0;1;0;0;0;0;12;B01
200500007303;0;1;0;0;2;4;1;B01
200500007305;0;1;0;0;2;7;1;B01
200500007308;0;1;0;0;2;4;1;B01
200500007311;0;1;0;8;0;1;1;A01
200500007313;0;1;0;0;2;1;1;B01
200500007318;0;1;0;0;2;1;1;B01
200500007338;0;1;0;0;2;1;1;B01
200500007350;0;1;0;1;0;1;1;B01
200500007353;0;1;0;1;0;1;2;B01
200500007371;0;1;0;0;2;4;11;A01
200500007439;0;1;0;0;2;1;5;A01
200500007445;0;1;0;0;2;1;2;B01
200500007470;0;1;0;0;2;3;1;B01
200500007502;0;1;0;0;2;1;9;A01
200500007517;0;1;0;0;2;1;19;B01
200500007524;0;1;0;0;2;1;2;B01
200500007555;0;1;0;0;2;1;2;A01
200500007594;0;1;0;0;0;0;1;A01
200500007604;0;1;0;0;2;1;1;A01
200500007630;0;1;0;0;2;1;1;B01
200500007643;0;1;0;0;1;1;2;A01
200500007645;0;1;0;1;0;0;0;B01
200500007677;0;1;0;0;2;1;1;B01
200500007677;0;1;0;0;2;1;1;C01
200500007680;0;1;0;0;2;1;19;A01
200500007682;0;1;0;0;2;2;1;A01
