Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp;age
202000000011;154 742 255;A01;1;1;1;2;1934;5;1;8;-1;-1;0;-1;88
202000000011;154 742 256;B01;1;1;4;1;2005;2;8;0;-1;-1;0;-1;17
202000000014;154 742 248;B01;1;1;4;1;1936;5;2;4;-1;-1; -1;-1;86
202000000014;154 742 249;A01;1;1;1;1;1928;0;1;-1;-1;-1; -1;-1;94
202000000031;154 742 219;A01;1;1;4;1;1994;5;2;0;-1;0;0;-1;28
202000000031;154 742 220;B01;1;1;1;2;1985;1;1;0;-1;0;0;-1;37
202000000032;154 742 218;B01;1;1;4;2;1999;9;8;0;-1;0;0;-1;23
202000000035;154 742 213;A01;1;1;4;1;1993;5;8;0;-1;0;0;-1;29
202000000035;154 742 214;B01;1;1;1;1;1965;4;1;0;-1;0;0;-1;57
202000000059;154 742 172;A01;1;1;1;2;1972;0;1;-1;-1;0;0;-1;50
202000000059;154 742 173;B01;10;3;3;2;1956;5;0;-1;-1;2;3;2;66
202000000067;154 742 159;A01;1;1;1;1;1971;5;1;-1;-1;0;0;-1;51
202000000067;154 742 160;B01;1;1;4;1;1962;5;2;6;9;0;0;-1;60
202000000075;154 742 145;A01;1;1;1;1;1996;4;1;-1;-1;0;0;-1;26
202000000075;154 742 146;B01;1;1;3;1;1939;5;0;-1;-1;0;0;-1;83
202000000076;154 742 143;A01;1;1;1;1;1986;4;1;-1;-1;0;0;-1;36
202000000076;154 742 144;B01;1;1;3;1;1952;5;2;-1;-1;0;0;-1;70
202000000109;154 742 088;B01;1;1;4;1;2011;5;0;-1;-1;0;0;-1;11
202000000109;154 742 089;A01;1;1;1;1;1980;5;1;8;-1;-1;0;-1;42
202000000122;154 742 064;A01;1;1;1;2;1995;0;1;0;-1;-1; -1;-1;27
202000000122;154 742 065;Y01;1;1;3;1;1989;0;2;0;-1;-1; -1;-1;33
202000000126;154 742 056;B01;1;1;4;1;1939;0;2;0;-1;-1; -1;-1;83
202000000126;154 742 057;A01;1;1;1;1;1970;5;1;0;-1;-1; -1;-1;52
202000000152;154 742 008;A01;1;1;4;1;1978;0;0;0;-1;0;0;-1;44
202000000164;154 741 987;A01;1;1;1;1;1980;4;1;-1;-1;0;0;-1;42
202000000164;154 741 988;B01;1;1;3;1;1959;5;0;-1;-1;0;0;-1;63
202000000180;154 741 955;B01;2;2;1;2;1985;9;8;8;-1;0;0;-1;37
202000000180;154 741 955;B01;1;1;1;1;1983;9;8;8;-1;0;0;-1;39
202000000180;154 741 956;A01;1;1;1;2;1979;5;8;8;-1;0;0;-1;43
202000000180;154 741 957;C01;1;1;4;1;2004;5;2;2;-1;0;0;-1;18
202000000189;154 741 935;E01;1;1;4;1;1956;5;2;0;-1;-1; -1;-1;66
202000000189;154 741 936;B01;1;1;4;1;1969;5;2;0;-1;-1; -1;-1;53
202000000189;154 741 937;C01;1;1;4;1;1951;5;2;0;-1;-1; -1;-1;71
202000000189;154 741 938;D01;1;1;4;1;1948;5;2;0;-1;-1; -1;-1;74
202000000189;154 741 939;A01;1;1;4;2;1989;5;2;0;-1;-1; -1;-1;33
202000000197;154 741 918;A01;1;1;4;1;1964;5;2;8;-1;-1; -1;-1;58
202000000213;154 741 889;B01;1;1;1;1;1987;4;1;0;-1;0;0;-1;35
