Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202000000765;4;CARTIER BRESSON DU 41/93.46/100;0;;2;2;0;1;0;0;1;; -1;1;0;4;50
202000000773;3;JEAN LOLIVE (AVENUE)(137/FIN ET 134/FIN);0;;4;7;0;1;0;1;1;; -1;1;5;1;50
202000000776;3;JEAN LOLIVE (AVENUE)(137/FIN ET 134/FIN);0;;2;2;0;1;0;1;1;; -1;1;0;1;30
202000000784;4;VICTOR HUGO (65/FIN . 62/FIN);0;;-1;2;0;1;0;0;1;; -1;1;0;1;50
202000000833;3;0017;0;;2;2;0;1;1;750;1;; -1;1;0;6;50
202000000859;3;50;-1;;2;-1;-1;1;20;8;1;; -1;1;0;1;50
202000000883;4;;0;;1;2;1;1;0;0;1;; -1;1;-1;5;15
202000000916;4;;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000000918;4;;0;;2;4;1;2;0;0;2;; -1;2;-1;5;30
202000000920;4;;0;;1;1;0;1;0;0;1;; -1;2;0;1;50
202000000926;4;;0;;2;6;0;1;0;0;1;; -1;1;0;1;50
202000000951;3;146;-1;;2;2;0;1;5;40;3;; -1;2;0;1;80
202000000954;4;;-1;;2;2;0;4;(1);(1);3;; -1;1;0;1;50
202000000998;4;;0;;1;4;0;1;0;0;1;; -1;1;0;1;50
202000001004;4;;0;;2;5;1;1;0;0;1;; -1;1;-1;5;50
202000001008;4;HOCHE (R);0;;2;2;0;1;0;1;1;; -1;1;0;1;50
202000001024;3;965;-1;;2;2;0;1;76;750;1;; -1;1;9;1;30
202000001030;3;85;-1;D;2;2;0;4;(1);(1);1;; -1;1;0;1;50
202000001072;4;Rue du Nécotin;0;;2;2;0;1;1;0;2;; -1;1;0;1;50
202000001077;4;VILLEBOIS MAREUIL (BD);0;;2;2;0;1;0;0;1;; -1;2;0;1;50
202000001078;4;DONZELOT (AVENUE PIERRE);0;;2;2;0;1;0;0;1;; -1;2;0;1;50
202000001081;4;GUEHENNO (JEAN);0;;2;1;0;1;0;0;1;; -1;1;0;1;50
202000001097;4;;0;;-1;0;0;1;1;0;1;; -1;1;0;1;50
202000001109;4;;0;;1;1;0;1;0;0;1;; -1;2;0;1;50
202000001112;4;;0;;2;2;0;1;0;0;1;; -1;2;0;1;30
202000001124;4;;0;;1;1;0;1;0;0;1;; -1;2;0;1;50
202000001135;3;34;0;;1;2;0;1;1;0;1;; -1;1;0;1;50
202000001161;4;Route de Doran;-1;;1;1;0;1;(1);(1);1;; -1;1;0;1;50
202000001192;3;936;0; -;2;2;0;1;76;800;1;; -1;2;0;1;50
202000001212;3;30;0;D;2;2;0;1;0;0;3;; -1;2;0;1;50
202000001216;3;577;-1;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000001280;3;13;-1;;2;2;0;2;8;900;1;; -1;1;0;1;50
202000001284;3;70;-1;;2;2;0;1;10;500;1;;4;1;0;1;80
202000001285;4;C67;-1;;2;2;0;1;(1);(1);1;; -1;1;0;1;80
202000001300;3;135;-1;;2;2;0;1;1;930;1;; -1;1;0;1;70
202000001313;4;CHARLES DE GAULLE                   (QU);0;;1;2;1;2;0;0;2;; -1;2;0;2;50
202000001314;4;VENDOME                             (R );0;;1;1;0;1;0;0;1;; -1;1;0;1;50
202000001329;4;DOMEVRE (RUE DE);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000001335;4;ALEXANDRE DUMAS (RUE);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000001341;4;;0;;2;2;0;1;0;0;1;; -1;1;5;1;50
202000001348;4;;0;;3;4;1;1;0;0;1;; -1;1;0;1;50
202000001354;3;119;0;;3;4;0;1;51;0;1;; -1;1;9;8;50
202000001356;7;146;0;;3;3;0;1;0;9;1;; -1;1;5;1;50
202000001358;4;;0;;1;1;0;1;0;0;1;; -1;1;0;1;50
202000001362;3;ANGERS (ROUTE D') D 952;0;;2;2;1;1;0;268;1;; -1;1;0;1;70
202000001373;4;MARBAUDAIS (DE LA);0;;1;1;0;1;0;0;1;; -1;1;0;1;50
202000001377;4;AVE DE L'EGLISE ROMANE;0;;2;4;2;1;(1);(1);2;; -1;1;0;1;50
202000001378;4;AVE DU DOCTEUR NANCEL PENARD;0;;2;5;2;1;(1);(1);1;; -1;1;5;1;50
202000001380;4;RUE DES GENERAUX DUCHE;0;;2;2;0;1;(1);(1);1;; -1;1;0;8;50
202000001406;4;;0;;2;3;3;3;0;0;1;; -1;1;-1;6;50
202000001407;4;;0;;1;1;1;1;0;0;1;; -1;1;-1;5;30
202000001408;4;;0;;1;1;1;1;0;0;1;; -1;1;-1;5;20
202000001410;4;;0;;2;2;0;1;0;0;1;; -1;1;-1;5;30
202000001428;4;NC;0;;2;2;1;1;0;0;1;; -1;1;0;5;20
202000001429;4;NC;0;;2;2;1;1;0;0;1;; -1;1;0;1;50
202000001431;4;RENARD. RUE DU;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202000001434;4;EDOUARD VAILLANT      (Rue);0;;1;1;1;1;0;0;1;; -1;1;0;5;50
202000001440;4;;0;;1;1;1;1;(1);(1);1;; -1;1;0;1;50
202000001441;4;;0;;2;6;1;2;(1);(1);1;; -1;1;0;1;50
202000001447;4;Rue de la Tarlane;0;;3;1;0;2;0;0;1;; -1;1;9;1;10
202000001451;4;PIERRE BROSSOLETTE AVENUE;0;;2;4;0;1;0;0;1;; -1;1;0;1;50
202000001454;4;;0;;1;1;0;1;0;0;3;; -1;1;0;1;30
202000001467;3;237;0;;2;2;0;1;(1);(1);1;; -1;1;0;4;50
202000001468;4;GUYNEMER (AV);0;;1;2;0;1;0;0;1;; -1;1;1;1;50
202000001473;4;ALEXIS CHAUSSINAND (R);0;;1;1;0;1;20;0;1;; -1;1;0;1;50
202000001481;3;932;0;;3;4;1;1;0;1;1;; -1;2;0;5;50
202000001484;3;61;0;A;1;1;0;1;0;0;2;; -1;2;0;1;50
202000001503;3;113;-1;D;2;2;0;2;(1);(1);1;; -1;1;0;1;50
202000001547;3;147;0;;2;2;0;1;2;282;2;; -1;1;0;1;70
202000001549;2;2009;-1;;2;2;0;1;66;640;1;; -1;2;0;1;80
202000001586;4;PHILIPPE DE LASSALLE                (R );0;;2;2;0;1;0;1;1;; -1;1;0;1;50
202000001598;4;VULFRAN WARME (RUE);0;;2;2;0;2;0;0;1;; -1;1;0;1;50
202000001611;4;;0;;2;3;1;1;(1);(1);1;;9;1;0;1;50
202000001614;4;;0;;2;2;0;2;0;0;1;; -1;1;0;1;50
202000001622;3;FRESNAY (RUE DE);0;;2;2;0;1;1;440;1;; -1;1;5;1;70
202000001640;4;;0;;2;2;1;1;0;0;1;; -1;1;-1;5;30
202000001646;4;;0;;2;2;0;2;0;0;1;; -1;1;0;1;30
202000001648;4;;0;;2;2;1;1;0;0;1;; -1;1;0;1;50
202000001652;4;;0;;2;4;0;1;0;0;1;; -1;1;0;1;30
202000001655;4;;0;;-1;2;0;1;0;0;1;; -1;1;-1;5;50
202000001656;4;;0;;1;2;0;2;0;0;1;; -1;1;0;1;50
202000001668;3;233;0;;1;1;2;1;0;1;3;; -1;1;0;5;50
202000001673;3;39;0;;2;2;0;1;0;1;1;; -1;1;0;1;50
202000001675;3;914;0;;4;4;0;1;0;1;1;; -1;1;5;1;50
202000001686;2;RN 1;0;A;-1;2;1;1;(1);(1);1;; -1;1;9;5;-1
202000001690;3;181;0;D;2;2;0;4;8;485;1;; -1;1;0;3;80
202000001701;3;16;0;;2;2;0;2;26;700;1;;5,5;1;0;1;80
202000001718;3;62;-1;;2;2;0;2;2;400;1;; -1;1;0;1;80
202000001720;3;69;0;;2;2;0;1;15;100;1;;5,5;1;0;1;50
202000001724;3;117;-1;D;1;1;0;1;87;900;2;; -1;1;9;1;50
202000001758;4;POMPIDOU (AVENUE GEORGES);0;;3;4;0;2;0;0;1;; -1;1;0;1;50
202000001763;3;11;0;;2;2;0;4;0;200;1;; -1;1;0;1;50
202000001770;4;;0;;2;3;3;2;0;0;1;; -1;1;0;1;50
202000001773;4;;0;;2;2;1;1;0;0;1;; -1;1;0;5;50
202000001783;4;68;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000001785;4;AVE DE TIVOLI;0;;2;4;2;1;(1);(1);1;; -1;1;0;1;50
202000001791;3;TOULOUSE (ROUTE DE);0;;2;2;0;2;0;0;3;; -1;1;0;1;80
202000001793;3;82;0;;3;3;0;1;15;446;3;; -1;1;0;1;50
202000001809;4;;0;;2;4;0;1;0;0;1;; -1;1;0;1;30
202000001816;4;;0;;2;3;1;1;0;0;3;; -1;1;-1;5;30
202000001876;4;358;0;;2;2;0;2;0;0;1;; -1;1;-1;1;50
202000001878;4;;0;;2;2;0;2;0;0;2;; -1;1;0;1;50
202000001893;3;1083;0;;2;2;1;1;4;950;1;; -1;1;5;1;50
202000001895;4;JEAN JACQUES DE MONAIX;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202000001934;3;7;0;N;2;2;0;1;0;200;1;; -1;1;0;1;50
202000001935;3;486;-1;;2;2;2;1;22;100;1;; -1;1;0;1;50
202000001938;4;;0;;2;3;1;1;0;0;1;; -1;1;0;1;50
202000001941;4;;0;;2;6;1;1;0;0;1;; -1;1;-1;5;50
202000001945;5;;-1;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202000001955;4;CROIX D EAU (R DE LA);0;;1;1;0;1;1;0;3;; -1;1;0;1;50
