Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
200900000011;9;1;23;1400;1;2;6;1.0;1;154;RD PT ANCIENS COMBATTANT;M;4.0;-;440
200900000025;9;1;8;1420;1;2;3;1.0;6;113;118, AVENUE DE FRANCE;;;;750
200900000039;9;1;26;1420;1;2;1;1.0;3;107;8, RUE SAINT DOMINIQUE;;;;750
200900000040;9;1;11;1530;1;2;3;1.0;3;101;16, QUAI DES TUILERIES;;;;750
200900000054;9;1;31;1215;1;2;3;1.0;7;113;BOULEVARD AUGUSTE BLANQU;;;;750
200900000123;9;1;21;910;1;2;1;1.0;7;106;13, QUAI MALAQUAIS;;;;750
200900000125;9;1;28;715;2;2;5;1.0;3;108;COURS ALBERT 1ER;;;;750
200900000160;9;1;4;1240;1;2;2;1.0;6;105;139, BOULEVARD SAINT MIC;;;;750
200900000167;9;1;23;1745;5;2;1;8.0;3;119;114, BOULEVARD MACDONALD;;;;750
200900000169;9;1;21;1235;1;2;1;1.0;3;111;6, RUE LEON FROT;;;;750
200900000171;9;1;30;950;1;2;1;1.0;7;112;RUE DU CHAROLAIS;;;;750
200900000182;9;1;7;900;1;2;1;9.0;3;114;11, PLACE DES CINQ MARTY;;;;750
200900000200;9;1;29;1943;5;2;1;1.0;3;106;RUE DE L ANCIENNE COMEDI;;;;750
200900000202;9;1;22;100;5;2;2;1.0;3;110;45, BOULEVARD DE STRASBO;;;;750
200900000205;9;1;14;950;1;2;1;2.0;3;112;35, AVENUE DE SAINT MAND;;;;750
200900000217;9;1;12;1705;4;2;2;2.0;3;112;82, COURS DE VINCENNES;;;;750
200900000227;9;1;16;1115;1;2;1;1.0;3;116;RUE DU RANELAGH;;;;750
200900000228;9;1;12;1740;2;2;4;1.0;1;112;RUE DE LYON;;;;750
200900000233;9;1;29;1645;1;2;1;1.0;6;118;114, RUE CAULAINCOURT;;;;750
200900000255;9;1;16;740;1;2;2;1.0;3;109;RUE DE DUNKERQUE;;;;750
200900000268;9;1;13;1700;5;2;3;2.0;7;115;103, QUAI BRANLY;;;;750
200900000273;9;1;31;1730;1;2;1;1.0;6;112;ROUTE DE LA TOURELLE;;;;750
200900000352;9;1;31;1810;5;2;1;1.0;3;112;RUE DE CHARENTON;;;;750
200900000354;9;1;31;1850;2;2;1;1.0;6;114;32, AVENUE REILLE;;;;750
