Num_Acc;place;catu;grav;sexe;trajet;secu;locp;actp;etatp;an_nais;num_veh;age
200900000011;1.0;1;4;1;0.0;1.0;0.0;0.0;0.0;1972.0;B02;50.0
200900000011;1.0;1;1;1;5.0;11.0;0.0;0.0;0.0;1947.0;A01;75.0
200900000025;1.0;1;4;1;2.0;21.0;0.0;0.0;0.0;1988.0;A01;34.0
200900000039;1.0;1;1;1;4.0;11.0;0.0;0.0;0.0;1952.0;A01;70.0
200900000039;1.0;1;4;1;4.0;23.0;0.0;0.0;0.0;1945.0;B01;77.0
200900000040;1.0;1;4;1;0.0;23.0;0.0;0.0;0.0;1983.0;A01;39.0
200900000040;1.0;1;4;1;1.0;21.0;0.0;0.0;0.0;1972.0;B01;50.0
200900000054;1.0;1;4;1;0.0;23.0;0.0;0.0;0.0;1974.0;A01;48.0
200900000123;1.0;1;4;2;1.0;93.0;0.0;0.0;0.0;1954.0;A01;68.0
200900000125;1.0;1;1;1;1.0;11.0;0.0;0.0;0.0;1953.0;B01;69.0
200900000125;1.0;1;4;1;1.0;23.0;0.0;0.0;0.0;1970.0;A01;52.0
200900000160;;3;4;2;5.0;;4.0;3.0;1.0;1945.0;A01;77.0
200900000160;1.0;1;1;2;5.0;23.0;0.0;0.0;0.0;1985.0;A01;37.0
200900000167;1.0;1;1;1;1.0;11.0;0.0;0.0;0.0;1968.0;A01;54.0
200900000167;1.0;1;4;1;4.0;21.0;0.0;0.0;0.0;1980.0;B01;42.0
200900000169;1.0;1;4;2;1.0;21.0;0.0;0.0;0.0;1970.0;B01;52.0
200900000169;1.0;1;1;1;4.0;12.0;0.0;0.0;0.0;1975.0;A01;47.0
200900000171;1.0;1;4;1;1.0;23.0;0.0;0.0;0.0;1974.0;A01;48.0
200900000182;1.0;1;1;1;1.0;21.0;0.0;0.0;0.0;1986.0;A01;36.0
200900000182;1.0;1;3;2;0.0;23.0;0.0;0.0;0.0;1962.0;B01;60.0
200900000200;1.0;1;4;2;4.0;23.0;0.0;0.0;0.0;1980.0;B01;42.0
200900000200;1.0;1;1;1;4.0;13.0;0.0;0.0;0.0;1961.0;A01;61.0
200900000202;1.0;1;4;1;5.0;23.0;0.0;0.0;0.0;1988.0;A01;34.0
200900000202;1.0;1;4;1;5.0;23.0;0.0;0.0;0.0;1978.0;B01;44.0
200900000205;1.0;1;4;2;1.0;23.0;0.0;0.0;0.0;1974.0;A01;48.0
