Num_Acc;id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
202300000017;155 680 527;B01;2;1;0;2;1;13;5;
202300000025;155 680 513;C01;0;1;0;0;0;2;5;
202300000033;155 680 500;B01;1;1;0;2;0;2;5;
202300000033;155 680 501;A01;1;1;0;2;0;26;5;
202300000042;155 680 487;A01;0;1;0;1;1;2;5;
202300000047;155 680 476;A01;2;1;0;0;7;0;5;
202300000049;155 680 471;C01;2;1;0;0;4;0;5;
202300000049;155 680 472;B01;2;1;0;0;6;0;5;
202300000064;155 680 450;A01;2;1;0;2;1;1;5;
202300000118;155 680 351;B01;2;1;0;2;4;2;5;
202300000140;155 680 307;B01;2;1;0;2;8;1;5;
202300000142;155 680 301;B01;2;1;0;2;7;1;5;
202300000146;155 680 294;B01;1;1;0;2;8;15;5;
202300000172;155 680 251;B01;0;1;0;0;0;0;5;
202300000203;155 680 202;B01;0;1;0;2;2;1;0;
202300000221;155 680 165;B01;1;1;0;0;6;2;5;
202300000261;155 680 094;B01;1;1;0;2;4;1;5;
202300000279;155 680 061;B01;2;1;0;2;4;19;5;
202300000284;155 680 052;B01;3;1;0;2;0;26;5;
202300000285;155 680 049;A01;1;1;0;2;1;1;5;
202300000286;155 680 047;B01;1;1;0;2;1;1;5;
202300000291;155 680 037;B01;0;1;0;2;4;0;5;
202300000294;155 680 031;B01;2;1;0;2;1;1;5;
202300000296;155 680 025;A01;3;1;0;9;0;2;5;
202300000304;155 680 009;A01;3;1;0;2;1;19;5;
202300000306;155 680 004;A01;3;1;0;2;8;19;5;
202300000326;155 679 970;B01;3;1;0;2;7;1;5;
202300000349;155 679 925;A01;3;1;0;2;1;26;5;
202300000390;155 679 858;B01;1;1;16;0;7;25;5;
202300000423;155 679 796;A01;2;1;0;2;8;19;5;
202300000433;155 679 780;A01;1;1;0;0;0;1;5;
202300000437;155 679 771;A01;0;1;0;0;1;1;5;
202300000465;155 679 726;B01;1;1;0;2;2;1;5;
202300000484;155 679 695;B01;2;1;0;2;1;1;5;
202300000489;155 679 687;A01;1;1;0;2;1;1;5;
202300000494;155 679 677;B01;2;1;0;2;1;1;5;
202300000499;155 679 669;A01;1;1;0;1;1;5;5;
202300000520;155 679 630;B01;1;1;0;2;1;1;5;
202300000520;155 679 632;C01;1;1;0;2;1;0;5;
202300000524;155 679 624;B01;2;1;0;2;3;19;5;
202300000526;155 679 620;A01;1;1;0;2;2;19;5;
202300000528;155 679 616;B01;2;1;0;2;1;19;5;
202300000531;155 679 610;B01;2;1;0;2;8;1;5;
202300000537;155 679 596;B01;1;1;0;2;1;1;5;
202300000541;155 679 591;A01;1;1;0;1;1;1;5;
202300000545;155 679 585;B01;3;1;0;2;8;19;5;
202300000567;155 679 552;B01;3;1;0;4;8;18;5;
202300000570;155 679 546;B01;3;1;0;2;1;0;5;
202300000584;155 679 516;C01;1;1;0;2;7;19;5;
202300000584;155 679 517;B01;1;1;0;2;7;19;5;
202300000586;155 679 513;A01;1;1;0;0;0;1;5;
202300000595;155 679 496;B01;2;1;0;2;1;17;5;
202300000606;155 679 476;B01;2;1;0;2;1;1;5;
202300000607;155 679 474;B01;1;1;0;2;6;1;5;
202300000614;155 679 463;B01;3;1;0;2;1;1;5;
202300000622;155 679 448;B01;1;1;0;2;1;1;5;
202300000625;155 679 444;B01;2;1;8;2;8;1;5;
202300000626;155 679 441;B01;3;1;0;2;7;1;5;
202300000627;155 679 438;A01;3;1;0;2;7;17;5;
202300000628;155 679 437;B01;1;1;0;2;1;1;5;
202300000634;155 679 424;B01;2;1;0;2;8;1;5;
202300000658;155 679 391;B01;2;1;0;2;8;1;5;
202300000660;155 679 384;A01;3;1;0;1;1;1;5;
202300000665;155 679 376;B01;1;1;0;2;1;2;5;
202300000668;155 679 370;B01;2;1;0;2;4;1;5;
202300000671;155 679 366;B01;1;1;0;2;0;26;5;
202300000691;155 679 331;B01;3;1;0;2;1;1;5;
202300000692;155 679 330;B01;3;1;0;2;1;9;5;
202300000709;155 679 299;Y01;1;1;0;0;7;1;5;
202300000719;155 679 281;A01;2;1;0;2;8;18;5;
202300000722;155 679 275;A01;2;1;0;0;0;1;5;
202300000723;155 679 273;B01;2;1;0;2;1;1;5;
202300000728;155 679 265;B01;3;1;0;2;1;19;5;
202300000754;155 679 219;A01;2;1;0;2;0;1;5;
202300000754;155 679 220;B01;2;1;0;2;0;1;5;
202300000754;155 679 222;C01;2;1;0;2;0;1;5;
202300000754;155 679 223;D01;2;1;0;2;0;1;5;
202300000765;155 679 201;B01;1;1;0;2;8;1;5;
202300000776;155 679 181;B01;1;1;0;2;2;19;5;
202300000782;155 679 174;B01;0;1;0;0;1;1;5;
202300000793;155 679 156;B01;1;1;0;2;4;1;5;
202300000802;155 679 142;B01;2;1;0;4;3;21;5;
202300000811;155 679 131;Y01;1;1;1;0;1;2;5;
202300000821;155 679 115;B01;3;1;0;2;1;15;5;
202300000826;155 679 105;B01;1;1;0;2;0;1;5;
202300000829;155 679 100;A01;1;1;0;1;0;21;5;
202300000832;155 679 095;A01;2;1;9;2;8;15;5;
202300000839;155 679 084;B01;2;1;0;0;4;1;5;
202300000842;155 679 077;B01;2;1;0;2;1;1;5;
202300000845;155 679 072;B01;0;1;0;4;0;0;5;
202300000849;155 679 066;B01;2;1;0;2;1;1;5;
202300000899;155 678 990;A01;2;1;0;2;1;1;5;
202300000900;155 678 987;A01;2;1;0;0;1;2;5;
202300000913;155 678 965;B01;1;1;0;2;1;1;5;
202300000919;155 678 955;A01;1;1;0;2;1;19;5;
202300000921;155 678 951;B01;1;1;0;2;8;1;5;
202300000926;155 678 939;B01;0;1;0;2;1;0;5;
202300000933;155 678 926;B01;3;1;0;0;4;1;5;
202300000950;155 678 899;B01;2;1;0;2;2;0;5;
202300000953;155 678 890;B01;0;1;0;2;1;2;5;
202300000965;155 678 868;A01;2;1;0;0;0;1;5;
202300000997;155 678 804;A01;3;1;0;1;1;1;5;
202300001001;155 678 800;B01;3;1;0;2;4;2;5;
202300001008;155 678 785;B01;2;1;0;2;2;1;5;
202300001017;155 678 772;B01;0;1;0;2;7;19;5;
202300001020;155 678 767;B01;0;1;0;2;4;1;5;
202300001022;155 678 763;B01;3;1;0;2;7;1;5;
202300001026;155 678 757;B01;2;1;0;2;1;1;5;
202300001045;155 678 721;B01;3;1;0;2;8;9;5;
202300001055;155 678 702;B01;3;1;0;2;1;19;5;
202300001074;155 678 665;B01;3;1;0;2;2;1;5;
202300001081;155 678 655;B01;2;1;0;2;8;1;5;
202300001081;155 678 658;A01;2;1;0;2;7;14;5;
202300001092;155 678 637;B01;1;1;0;2;7;1;5;
202300001102;155 678 614;B01;2;1;0;2;3;1;5;
202300001107;155 678 608;A01;1;1;0;1;1;1;5;
202300001120;155 678 586;B01;2;1;14;0;1;26;5;
202300001130;155 678 566;A01;2;1;0;1;1;1;5;
202300001131;155 678 569;B01;2;1;0;2;1;1;5;
202300001144;155 678 546;B01;2;1;0;2;8;1;5;
202300001163;155 678 512;A01;1;1;0;2;7;15;5;
202300001170;155 678 499;A01;1;1;1;2;1;2;5;
202300001172;155 678 497;B01;3;1;0;2;7;9;5;
202300001175;155 678 490;A01;1;1;1;0;6;1;5;
202300001184;155 678 472;A01;1;1;0;1;1;1;5;
202300001191;155 678 455;B01;2;1;0;2;8;1;5;
202300001198;155 678 447;B01;1;1;0;2;1;1;5;
202300001204;155 678 437;A01;1;1;0;2;1;1;5;
202300001209;155 678 430;A01;2;1;0;2;2;1;5;
202300001216;155 678 419;B01;2;1;0;2;8;19;5;
202300001221;155 678 411;B01;1;1;0;0;4;15;5;
202300001225;155 678 403;B01;1;1;0;2;2;1;5;
202300001229;155 678 397;B01;2;1;0;2;8;1;5;
202300001235;155 678 383;B01;2;1;0;2;1;1;5;
202300001312;155 678 252;A01;1;1;0;2;5;14;5;
202300001312;155 678 254;B01;1;1;0;2;6;1;5;
