Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202300000017;3;VERDUN (RUE DE) N° PAIRS;0;;2;2;0;1;0;0;1;; -1;2;0;1;30
202300000025;3;137;0;R;2;2;0;1;5;800;1;;5,5;1;0;1;50
202300000033;4;712;-1;;2;2;0;2; -1; -1;1;;7;1;0;1;30
202300000042;4;vc;0;;2;2;0;1; -1; -1;1;; -1;1;0;4;50
202300000047;3;612;-1;D;1;1;0;1;11;704;3;;3,5;1;0;1;80
202300000049;1;709;0;A;3;3;0;1;12;700;1;;13,5;1;0;1;90
202300000064;3;;-1;;-1;2;1;1;10;300;1;; -1;1;0;5;30
202300000118;3;962;-1;;2;2;0;1;21;80;1;;7;2;0;1;90
202300000140;4;MARLY (RUE DE );0;;2;2;0;1;0;0;1;; -1;1;0;1;30
202300000142;3;FORT BLOQUE (RUE DU);0;;2;2;0;1;4;600;2;; -1;1;5;1;50
202300000142;3;SCHUMAN (RUE ROBERT);0;;2;2;0;1;0;580;2;; -1;1;5;1;50
202300000146;4;FORETS (ALL DE);0;;2;2;1;1; -1; -1;1;; -1;1;0;1;50
202300000146;4;KARR (ALL ALPHONSE);0;;-1;2;0;1; -1; -1;1;; -1;1;0;1;50
202300000172;4;SAINT FERREOL (RUE)      2 A 62;0;;-1;1;3;1; -1; -1;1;; -1;1;6;1;30
202300000203;4;GIRARDOT (RUE);0;;-1;1;0;1;1;0;1;; -1;1;0;1;50
202300000203;4;PRESIDENT WILSON (AVENUE DU);0;;1;1;2;1;1;0;1;; -1;1;0;5;30
202300000221;3;513;0;;2;2;0;1;36;690;3;;7;2;0;1;80
202300000261;4;RABELAIS;0;;2;2;0;1; -1; -1;1;; -1;2;0;1;50
202300000279;4;ANTONIN MAGNE (PISTE);0;;2;2;1;1;0;0;1;; -1;2;0;5;20
202300000279;4;HERRENSCHMIDT (AVENUE);0;;2;8;1;1;0;0;1;; -1;2;0;1;50
202300000284;4;FOIX AVENUE DE;0;;-1;1;1;1; -1; -1;1;; -1;2;9;8;30
202300000285;4;PONOT (rue Pierre);0;;1;1;0;1; -1; -1;1;; -1;1;0;1;50
202300000286;4;;-1;;2;2;3;1; -1; -1;1;; -1;1;1;1;30
202300000291;4;LYONNAIS (DU)                           ;0;;2;2;0;2; -1; -1;2;; -1;1;0;1;50
202300000291;4;;-1;;2;2;0;1; -1; -1;1;; -1;1;2;1;50
202300000294;4;"""KENNEDY (AVENUE DU PRESIDENT J,F)""";0;;2;2;0;2;0;0;1;; -1;1;0;1;50
202300000294;4;RAULET EUGENE (RUE);0;;2;2;0;2;0;0;3;; -1;1;0;1;50
202300000296;4;SAINT JACQUES (VIADUC);0;;1;1;3;2; -1; -1;1;; -1;1;0;6;30
202300000304;4;;-1;;2;3;-1;1; -1; -1;1;; -1;1;0;1;50
202300000306;4;;-1;;2;2;0;1; -1; -1;1;; -1;1;0;1;30
202300000326;4;;-1;;1;1;-1;1; -1; -1;1;; -1;2;0;1;30
202300000326;4;;-1;;2; -1;-1;1; -1; -1;1;; -1;2;0;1;30
202300000349;4;BOLLEE (AV) N° IMP 1 A 63;0;;2;2;0;1;0;0;1;; -1;1;0;1;50
202300000390;3;;-1;;1;0;3;1; -1; -1;1;; -1;1;6;1;-1
202300000390;3;REPUBLIQUE AVENUE DE LA;0;;3;4;1;1;1;0;1;;7;1;-1;1;50
202300000423;4;CHATEAU RUE DU;0;;-1;1;0;1; -1; -1;1;; -1;1;0;1;50
202300000423;4;REPUBLIQUE AVENUE DE LA;0;;-1;0;0;1; -1; -1;1;; -1;1;0;1;50
202300000433;3;;-1;;2;2;0;1; -1; -1;1;; -1;1;0;1;-1
202300000437;3;;-1;;2;2;-1;3;15;0;1;; -1;1;0;1;-1
202300000465;3;NOUAILLE (ROUTE DE);0;;-1;0;0;1;4;250;2;; -1;1;0;1;50
