Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202300023255;14;10;2023;05:45;2;974;97412;2;1;1;2;31 Rue Hippolyte Foucque; -21,37442700;55,62345200
202300023273;1;7;2023;15:00;1;75;75103;2;7;1;3;PLACE DE LA REPUBLIQUE;48,86734400;2,36336100
202300023275;30;6;2023;18:35;1;75;75104;2;4;1;2;QUAI DES CELESTINS;48,85200400;2,36114600
202300023302;14;10;2023;16:37;1;39;39038;1;1;1;3;Route de la Plaine;46,54865700;5,70737600
202300023306;2;7;2023;12:20;1;56;56189;1;1;1;3;D724;47,92325200; -2,71285000
202300023352;1;7;2023;17:50;1;06;06019;1;6;1;1;D21;43,76844300;7,33165100
202300023353;13;10;2023;16:20;1;68;68278;2;1;1;1;Rue du Luxembourg;47,74627900;7,41646500
202300023354;2;7;2023;17:45;1;04;04096;1;1;1;7;Route de Restefond la Bonette;44,37399700;6,78254500
202300023409;30;6;2023;07:45;1;86;86066;1;6;1;3;D161;46,78614200;0,54650500
202300023425;29;6;2023;16:10;1;67;67482;2;3;1;3;GARE AUX MARCHANDISES (RUE DE LA);48,59162000;7,73369000
202300023426;30;6;2023;20:45;2;64;64102;2;6;1;3;MARAIS (ROND POINT DES);43,49091000; -1,49537000
202300023446;9;10;2023;12:45;1;974;97411;2;4;1;1;GUADELOUPE (DE LA); -20,90401000;55,49490000
202300023450;11;10;2023;23:10;3;973;97302;2;1;1;2;BADUEL (ROUTE DE);4,92920000; -52,30232000
202300023465;11;10;2023;10:45;1;84;84007;2;3;1;3;TARASCON ( Avenue de);43,92664000;4,80950000
202300023470;11;10;2023;18:00;1;77;77114;2;1;1;3;D216;48,72191053;2,65263855
202300023473;12;10;2023;07:20;5;77;77058;2;6;1;3;EUROPE (AVENUE DE L' );48,83117000;2,70671000
202300023482;19;4;2023;16:25;1;94;94041;2;1;1;3;Rue Pierre et Marie Curie;48,81349000;2,37175000
202300023499;12;10;2023;09:30;2;62;62193;2;1;2;3;Avenue du Pr̩sident Wilson;50,95271000;1,85096000
202300023505;11;10;2023;08:30;2;59;59291;2;1;1;3;USINES (RUE DES);50,24798000;3,90190000
202300023509;12;10;2023;09:00;1;59;59350;2;1;1;3;RUE MADELEINE REBERIOUX;50,62851000;3,07931000
202300023522;11;10;2023;12:37;1;54;54395;2;1;1;3;Rue Charles Keller;48,70274000;6,17532000
202300023541;10;10;2023;21:45;5;51;51454;2;2;1;3;PAIX (BOULEVARD DE LA);49,25158470;4,04159617
202300023543;13;4;2023;11:09;1;03;03142;2;1;2;6;place de l'̩glise;46,29791100;3,81618300
202300023555;12;10;2023;10:20;1;38;38185;2;8;1;3;MARCELIN BERTHELOT (AVENUE);45,17628000;5,73199000
202300023567;21;4;2023;10:50;1;34;34199;2;3;8;3;373 Avenue G̩n̩ral de Gaulle;43,45315600;3,41422100
202300023570;19;4;2023;16:30;1;68;68036;1;6;1;3;D52;48,03305100;7,56089000
202300023628;14;4;2023;05:00;3;40;40281;2;3;1;2;KENNEDY (AV DU PDT. JOHN FIDGERALD);43,87440000; -0,49245000
202300023638;19;4;2023;16:15;1;35;35055;2;6;1;3;PARC (RUE DU);48,08800000; -1,60857000
202300023646;19;4;2023;08:35;1;35;35238;2;4;7;1;LORIENT (DE);48,10797446; -1,70294791
202300023685;19;4;2023;18:15;1;75;75106;2;2;1;3;QUAI DES GRANDS AUGUSTINS;48,85132000;2,34041000
202300023692;19;4;2023;09:00;1;75;75120;2;2;1;3;AVENUE DE LA PORTE DES LILAS;48,87709900;2,40690000
202300023699;2;8;2023;16:45;1;75;75106;2;3;1;3;QUAI DES GRANDS AUGUSTINS;48,85428000;2,34316600
202300023702;19;4;2023;13:50;1;75;75115;2;2;1;5;AVENUE EMILE ZOLA;48,84696400;2,29435300
202300023704;6;8;2023;18:45;1;75;75119;2;3;1;1;RUE D HAUTPOUL;48,88184800;2,38839400
202300023705;19;4;2023;07:45;1;75;75113;2;1;1;3;BOULEVARD DE L HOPITAL;48,84231100;2,36353100
202300023709;19;4;2023;08:40;1;75;75110;2;3;1;3;BOULEVARD DE MAGENTA;48,87318800;2,35884300
202300023711;18;4;2023;12:22;1;75;75108;2;2;1;1;RUE DE ROME;48,87805200;2,32261000
202300023714;19;4;2023;17:50;1;75;75104;2;1;1;3;BOULEVARD HENRI IV;48,85169900;2,36434700
202300023720;3;8;2023;11:00;1;75;75116;2;2;1;3;AVENUE VICTOR HUGO;48,87113400;2,28885600
202300023736;19;4;2023;10:00;1;92;92046;2;1;1;6;PIERRE LAROUSSE (AVENUE);48,82197718;2,30391361
202300023740;5;8;2023;20:40;1;75;75109;2;2;1;6;BOULEVARD DE CLICHY;48,88235000;2,33697000
202300023751;3;8;2023;12:57;1;75;75107;2;4;8;6;RUE DE BABYLONE;48,85172800;2,32437600
202300023758;3;8;2023;15:20;1;75;75103;2;2;2;1;RUE DE TURENNE;48,86200500;2,36466400
202300023778;19;4;2023;17:45;1;33;33311;2;1;1;1;C̫te de Bourbon;44,68587900; -0,36081100
202300023792;20;4;2023;09:15;1;50;50209;1;1;1;3;Route du Hamel Es Ronches;49,64525600; -1,45639100
202300023795;3;8;2023;16:25;1;93;93066;2;1;3;3;Rue d'Eaubonne;48,94508285;2,37383936
202300023804;11;3;2023;11:10;1;01;01185;2;3;2;1;rue de l'̩glise;45,89348400;5,59763100
