Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp;age
202300000017;203 851 138;155 680 527;B01;1;1;4;1;1958.0;5;8;0;-1;-1; -1;-1;64.0
202300000017;203 851 139;155 680 528;A01;1;1;1;1;2003.0;5;1;0;-1;-1; -1;-1;19.0
202300000025;203 851 119;155 680 513;C01;1;1;4;1;1955.0;5;0;-1;-1;0;0;-1;67.0
202300000025;203 851 120;155 680 514;A01;1;1;1;1;1998.0;3;1;-1;-1;0;0;-1;24.0
202300000033;203 851 102;155 680 500;B01;1;1;4;1;2009.0;5;0;-1;-1;0;0;-1;13.0
202300000033;203 851 103;155 680 501;A01;1;1;3;1;2003.0;5;0;-1;-1;0;0;-1;19.0
202300000042;203 851 080;155 680 487;A01;1;1;1;1;2006.0;5;9;-1;-1;0;0;-1;16.0
202300000042;203 851 081;155 680 487;A01;10;3;3;2;1932.0;5;0;-1;-1;3;1;1;90.0
202300000047;203 851 067;155 680 476;A01;1;1;4;1;1978.0;5;2;6;-1;0;0;-1;44.0
202300000047;203 851 068;155 680 477;B01;1;1;1;1;1988.0;1;1;-1;-1;0;0;-1;34.0
202300000049;203 851 062;155 680 471;C01;1;1;2;1;2004.0;5;0;-1;-1;0;0;-1;18.0
202300000049;203 851 063;155 680 472;B01;1;1;3;1;2004.0;5;0;-1;-1;0;0;-1;18.0
202300000049;203 851 064;155 680 473;A01;1;1;1;2;1981.0;5;8;-1;-1;0;0;-1;41.0
202300000064;203 851 036;155 680 450;A01;1;1;4;1;1943.0;5;0;-1;-1;0;0;-1;79.0
202300000064;203 851 037;155 680 451;B01;1;1;1;2;1993.0;5;1;-1;-1;0;0;-1;29.0
202300000118;203 850 905;155 680 349;A01;2;2;1;1;1953.0;0;1;-1;-1;0;0;-1;69.0
202300000118;203 850 906;155 680 349;A01;1;1;1;1;1951.0;0;1;-1;-1;0;0;-1;71.0
202300000118;203 850 910;155 680 351;B01;1;1;3;1;1960.0;5;2;-1;-1;0;0;-1;62.0
202300000140;203 850 847;155 680 305;Z01;1;1;1;-1;;-1;-1;-1;-1;-1; -1;-1;
202300000140;203 850 849;155 680 307;B01;1;1;4;1;1978.0;0;2;8;-1;-1; -1;-1;44.0
202300000142;203 850 843;155 680 301;B01;1;1;4;1;2010.0;2;2;8;-1;-1; -1;-1;12.0
202300000142;203 850 846;155 680 304;A01;1;1;1;1;1960.0;0;1;8;-1;-1; -1;-1;62.0
