Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh
200600000004;0;1;0;0;2;6;19;B01
200600000023;0;1;0;0;2;1;1;B01
200600000028;0;1;0;0;0;0;21;B01
200600000059;0;1;0;14;0;1;2;A01
200600000068;0;1;0;0;2;4;1;B01
200600000280;0;1;0;0;2;1;1;B01
200600000286;0;1;0;0;0;1;1;B01
200600000289;0;1;0;0;0;0;9;A01
200600000298;0;1;0;0;2;1;1;B01
200600000314;0;1;0;0;2;8;15;B01
200600000357;0;1;0;0;0;9;0;B01
200600000441;0;1;0;1;2;3;15;A01
200600000483;0;1;0;0;2;0;0;B01
200600000509;0;1;0;0;0;0;1;A01
200600000527;0;1;0;0;2;1;0;B01
200600000565;0;1;0;0;2;7;1;B01
200600000567;0;1;0;0;0;1;18;B01
200600000575;0;1;0;0;0;4;2;C01
200600000575;0;1;0;0;0;4;2;B01
200600000618;0;1;0;0;2;1;1;A01
200600000631;0;1;0;0;2;6;2;A01
200600000634;0;1;0;0;2;6;13;B01
200600000635;0;1;0;0;2;7;19;A01
200600000636;0;1;0;0;2;1;1;A01
200600000660;0;1;0;0;2;8;1;A01
200600000670;0;1;0;0;2;0;23;B01
200600000686;0;1;0;0;2;1;1;B01
200600000700;0;1;0;1;2;0;17;B01
200600000708;0;1;0;0;2;1;1;B01
200600000710;0;1;0;0;2;1;15;B01
200600000718;0;1;0;0;2;1;0;A01
200600000725;0;1;0;0;2;1;13;A01
200600000726;0;1;0;0;2;1;9;B01
200600000912;0;1;0;0;2;1;1;B01
200600000918;0;1;0;9;0;1;1;A01
200600000921;0;1;0;0;2;1;1;B01
200600000939;0;1;0;0;2;1;1;B01
200600000944;0;1;0;0;2;1;0;B01
200600000970;0;1;0;0;2;8;1;B01
200600000984;0;1;0;0;2;6;13;B01
200600000988;0;1;0;0;2;8;11;B01
200600000997;0;1;0;0;2;1;5;A01
200600001025;0;1;0;1;0;1;1;A01
200600001032;0;1;0;1;0;1;1;B01
200600001046;0;1;0;0;2;8;15;A01
200600001057;0;1;0;0;2;2;1;B01
200600001096;0;1;0;0;2;1;1;B01
200600001125;0;1;0;0;2;8;10;A01
200600001150;0;1;0;0;2;1;2;A01
200600001177;0;1;0;0;2;1;0;B01
200600001183;0;1;0;0;2;1;19;B01
200600001201;0;1;0;0;2;6;19;A01
200600001215;0;1;0;0;0;0;15;A01
200600001219;0;1;0;0;0;0;1;A01
200600001228;0;1;0;0;2;8;1;A01
200600001232;0;1;0;0;1;1;1;A01
200600001246;0;1;0;0;2;4;1;B01
200600001252;0;1;0;0;2;1;1;B01
200600001266;0;1;0;0;2;1;1;B01
200600001300;0;1;0;0;2;4;1;C01
200600001308;0;1;0;0;0;2;1;B01
200600001347;0;1;0;0;1;1;0;A01
200600001353;0;1;0;0;2;1;15;B01
200600001371;0;1;0;0;2;1;1;B01
200600001385;0;1;0;0;2;8;13;B01
200600001401;0;1;0;0;2;7;1;B01
200600001425;0;1;0;0;2;1;1;A01
200600001442;0;1;0;0;2;3;9;B01
200600001482;0;1;0;0;2;5;1;B01
200600001486;0;1;0;0;0;1;1;A01
200600001491;0;1;0;0;2;1;1;B01
200600001494;0;1;0;0;2;1;1;B01
200600001497;0;1;0;0;2;1;0;A01
200600001519;0;1;0;0;2;8;1;B01
200600001624;0;1;0;0;2;1;1;B01
200600001651;0;1;0;1;0;1;1;B01
200600001687;0;1;0;0;2;4;2;B01
200600001693;0;1;0;0;2;1;1;A01
200600001714;0;1;0;0;2;6;1;B01
200600001716;0;1;0;0;2;7;1;B01
200600001722;0;1;0;0;2;0;0;B01
200600001724;0;1;0;0;2;4;1;B01
200600001737;0;1;0;0;2;8;11;A01
200600001760;0;1;0;0;2;1;2;B01
200600001786;0;1;0;0;2;1;0;B01
200600001826;0;1;0;0;2;1;0;A01
200600001827;0;1;0;0;2;1;1;B01
200600001836;0;1;0;0;2;1;1;B01
200600001843;0;1;0;0;2;6;1;A01
200600001848;0;1;0;0;2;3;1;B01
200600001871;0;1;0;0;2;7;5;B01
200600001882;0;1;0;0;4;7;1;A01
200600001884;0;1;0;0;2;1;1;B01
200600001885;0;1;0;0;2;1;9;A01
200600001890;0;1;0;0;2;4;15;B01
200600001896;0;1;0;0;2;4;16;B01
200600001923;0;1;0;0;2;1;1;B01
200600002005;0;1;0;0;0;1;1;B01
200600002011;0;1;0;0;2;1;1;B01
200600002023;0;1;0;0;2;4;2;B01
200600002023;0;1;0;0;2;4;2;C01
200600002023;0;1;0;0;2;4;2;D01
200600002036;0;1;0;0;2;1;2;A01
200600002059;0;1;0;0;2;7;1;A01
200600002060;0;1;0;0;0;0;1;B01
200600002061;0;1;0;0;2;1;5;A01
200600002062;0;1;0;1;0;1;1;B01
200600002063;0;1;0;0;2;0;1;A01
200600002064;0;1;0;0;2;4;1;B01
200600002075;0;1;0;0;2;7;19;B01
200600002076;0;1;0;0;2;1;1;B01
200600002081;0;1;0;0;2;8;15;B01
200600002085;0;1;0;0;2;7;19;A01
200600002087;0;1;0;2;2;5;1;B01
200600002090;0;1;0;0;2;1;1;B01
200600002093;0;1;0;0;2;8;1;B01
200600002094;0;1;0;0;2;7;19;B01
200600002102;0;1;0;0;2;4;1;B01
200600002104;0;1;0;0;2;0;1;B01
200600002148;0;1;0;0;2;1;19;B01
200600002178;0;1;0;0;0;1;1;B01
200600002197;0;1;0;0;2;4;11;A01
200600002198;0;1;0;0;0;1;1;B01
200600002211;0;1;0;0;2;1;1;B01
200600002213;0;1;0;0;0;1;1;B01
200600002219;0;1;0;0;2;1;1;B01
200600002245;0;1;0;0;1;1;1;A01
200600002312;0;1;0;0;2;6;1;B01
200600002337;0;1;0;0;2;4;1;B01
200600002339;0;1;0;0;1;1;5;A01
200600002347;0;1;0;0;2;3;1;A01
200600002353;0;1;0;0;2;1;1;B01
200600002358;0;1;0;0;2;2;19;A01
200600002365;0;1;0;0;2;3;1;C01
200600002379;0;1;0;0;2;3;9;A01
200600002384;0;1;0;0;2;1;1;A01
200600002393;0;1;0;0;1;1;7;A01
200600002421;0;1;0;0;0;0;1;A01
200600002431;0;1;0;0;2;4;1;B01
200600002450;0;1;0;0;2;4;1;B01
200600002456;0;1;0;0;0;1;1;B01
200600002468;0;1;0;0;2;3;7;B01
200600002470;0;1;0;0;0;0;21;A01
200600002489;0;1;0;0;1;1;1;A01
200600002509;0;1;0;0;2;1;1;B01
200600002573;0;1;0;0;2;2;1;A01
200600002574;0;1;0;0;2;1;1;B01
200600002582;0;1;0;0;2;6;2;B01
200600002627;0;1;0;0;2;1;1;A01
200600002653;0;1;0;0;2;4;23;B01
200600002657;0;1;0;0;2;2;19;A01
200600002667;0;1;0;0;2;2;15;B01
200600002753;0;1;0;0;2;2;1;B01
200600002841;0;1;0;0;2;1;1;B01
200600002851;0;1;0;0;2;1;1;B01
200600002903;0;1;0;0;6;0;0;A01
200600002919;0;1;0;0;0;0;0;A01
200600002925;0;1;0;0;0;0;1;A01
200600002933;0;1;0;0;0;4;2;B01
200600002954;0;1;0;0;2;8;1;B01
200600003024;0;1;0;0;2;2;1;B01
200600003032;0;1;0;0;0;6;19;B01
200600003055;0;1;0;0;2;7;1;B01
200600003060;0;1;0;0;2;3;0;B01
200600003064;0;1;0;0;2;5;1;B01
200600003086;0;1;0;0;2;1;19;A01
200600003100;0;1;0;0;2;8;13;B01
200600003107;0;1;0;0;2;7;1;A01
200600003125;0;1;0;0;2;8;1;B01
200600003151;0;1;0;0;2;8;19;B01
200600003157;0;1;0;0;2;1;1;B01
200600003163;0;1;0;0;2;3;16;A01
200600003175;0;1;0;0;0;8;2;B01
200600003179;0;1;0;0;1;1;1;A01
200600003243;0;1;0;0;2;4;1;A01
200600003247;0;1;0;0;2;1;1;B01
200600003310;0;1;0;0;2;1;1;B01
200600003314;0;1;0;1;0;1;1;B01
200600003320;0;1;0;0;2;1;1;A01
200600003321;0;1;0;0;2;1;1;B01
200600003333;0;1;0;0;2;2;19;B01
200600003388;0;1;0;0;2;1;1;A01
200600003434;0;1;0;0;2;1;2;A01
200600003443;0;1;0;0;2;1;19;A01
200600003552;0;1;0;1;0;7;1;B01
200600003582;0;1;0;0;2;0;1;B01
200600003614;0;1;0;0;2;1;21;A01
200600003653;0;1;0;12;2;8;2;B01
200600003749;0;1;0;0;2;2;16;A01
200600003754;0;1;0;0;2;1;19;B01
200600003778;0;1;0;0;2;4;2;B01
200600003826;0;1;0;0;2;1;1;B01
200600003843;0;1;0;0;2;4;13;A01
200600003847;0;1;0;0;2;1;5;A01
200600003849;0;1;0;0;2;4;1;A01
200600003851;0;1;0;0;2;1;19;B01
200600003918;0;1;0;0;0;4;1;A01
200600003942;0;1;0;0;2;8;19;B01
200600004179;0;1;0;0;2;0;2;B01
200600004239;0;1;0;0;2;1;2;A01
200600004243;0;1;0;0;2;1;2;A01
200600004245;0;1;0;0;2;1;1;A01
200600004253;0;1;0;0;2;1;19;B01
200600004256;0;1;0;1;0;7;1;B01
200600004305;0;1;0;1;2;1;20;B01
200600004405;0;1;0;0;0;8;15;B02
200600004417;0;1;0;0;0;8;1;B02
200600004430;0;1;0;0;2;1;13;A01
200600004461;0;1;0;0;0;4;1;B02
200600004527;0;1;0;0;2;4;1;B02
200600004544;0;1;0;0;2;1;1;A01
200600004550;0;1;0;0;0;1;19;A01
200600004569;0;1;0;0;2;1;13;B02
