Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
200600000004;6;1;10;1625;2;2;1;8;3;53;23EME R.I. ( RUE DU);;;;10
200600000023;6;1;23;1410;1;2;3;7;1;185;BROSSOLETTE ( RUE PIERRE;;;;30
200600000028;6;1;24;908;1;2;3;1;7;321;84, CLADETS (RUE DES);;;;30
200600000059;6;1;16;1415;1;1;1;1;2;4;BACON BD DU ET BD GARDIO;;;;60
200600000068;6;1;10;930;1;2;1;1;2;123;BORD DE MER RN 98;;;;60
200600000280;6;1;22;1055;1;2;3;1;1;409;, MARNE (AVENUE DE LA);;;;80
200600000286;6;1;9;2205;3;2;1;1;6;60;000, ROCADE OUEST;;;;100
200600000289;6;1;16;1740;5;2;1;1;3;333;000, CHARLES BALTET (RUE;;;;100
200600000298;6;1;20;1550;1;2;1;1;3;145;615, EUROPE (AVENUE DE L;;;;120
200600000314;6;1;25;1040;1;2;1;1;3;4;166, STALINGRAD AVENUE D;;;;130
200600000357;6;1;9;815;1;2;1;1;2;55;FRANKLIN ROOSEVELT (COUR;;;;130
200600000441;6;1;23;1640;1;2;1;1;3;55;76, CANEBIERE     1 A 79;;;;130
200600000483;6;1;15;1600;1;2;1;1;6;55;3, SAUVAN (BOULEVARD);;;;130
200600000509;6;1;6;745;2;2;1;8;7;55;ETIENNE MIEGE (RUE);;;;130
200600000527;6;1;9;1200;1;2;3;1;3;55;SAINT LOUP (BOULEVARD DE;;;;130
200600000565;6;1;3;1640;1;2;3;1;3;55;CONSOLAT (RUE)     1 A 4;;;;130
200600000567;6;1;24;1230;1;2;1;1;3;55;16, CARTONNERIE (BOULEVA;;;;130
200600000575;6;1;5;800;1;1;1;4;4;39;ROUTE NATIONALE 569;;;;130
200600000618;6;1;3;1400;1;2;1;1;3;366;39, SIX JUIN (AVENUE DU);;;;140
200600000631;6;1;27;1210;1;2;1;1;2;299;172990068, BUISSON BOULE;;;;170
200600000634;6;1;6;750;5;2;1;1;2;300;07, REPUBLIQUE   BOULEVA;;;;170
200600000635;6;1;6;755;1;2;1;1;3;300;125, SAUTEL  BOULEVARD A;;;;170
200600000636;6;1;6;930;1;2;3;1;3;300;2, CHAUDRIER   RUE;;;;170
200600000660;6;1;5;1330;1;2;1;1;3;300;10, RAVEL   RUE MAURICE;;;;170
200600000670;6;1;13;750;5;2;3;2;3;205;BOULLE (RUE ANDRE-CHARLE;;;;180
200600000686;6;1;4;1825;5;2;3;1;3;31;63, POMPIDOU (AVENUE GEO;;;;190
200600000700;6;1;10;1605;1;2;1;1;6;272;14, VICTOR HUGO (RUE);;;;190
200600000708;6;1;4;936;1;2;6;8;3;231;LANGRES (DE) (AVENUE);;;;210
200600000710;6;1;10;720;5;2;6;1;3;231;CRACOVIE (DE) (RUE);;;;210
200600000718;6;1;22;1850;5;2;1;1;3;231;73, DRAPEAU (DU) (AVENUE;;;;210
200600000725;6;1;18;1330;1;2;3;1;6;360;13, QUERE (RUE DE);;;;220
200600000726;6;1;20;1325;1;2;2;2;6;360;0, REPUBLIQUE (RUE DE LA;;;;220
200600000912;6;1;10;1830;5;2;1;1;3;555;3, PL ROUAIX;;;;310
200600000918;6;1;13;700;5;2;1;1;6;555;12, PONT GARIGLIANO;;;;310
200600000921;6;1;13;1020;1;2;1;1;3;555;12, RUE LOUIS EYDOUX;;;;310
200600000939;6;1;19;713;5;2;1;1;3;555;15, PL ETIENNE ESQUIROL;;;;310
200600000944;6;1;20;1350;1;2;1;1;6;555;34, RUE CLEMENCE ISAURE;;;;310
200600000970;6;1;31;1920;5;2;3;1;3;555;AV DE LA GLOIRE;;;;310
200600000984;6;1;2;1525;1;2;1;1;3;119;AVE RENE CASSAGNE;;;;330
200600000988;6;1;6;1640;1;2;5;8;3;63;CRS DE LA MARTINIQUE;;;;330
200600000997;6;1;9;900;1;2;3;2;3;63;84, RUE CARLE VERNET;;;;330
200600001025;6;1;17;1705;1;2;1;2;2;63;71, CRS ANATOLE FRANCE;;;;330
200600001032;6;1;20;1700;1;2;1;8;3;63;7, RUE HUGUERIE;;;;330
200600001046;6;1;23;740;1;2;7;1;3;63;RUE LEO SAIGNAT;;;;330
200600001057;6;1;23;710;2;2;3;1;3;550;AVE DE L OREE DU BOIS;;;;330
200600001096;6;1;21;1350;1;2;1;1;7;32;26 bis, VERDUN (BD DE);;;;340
200600001125;6;1;18;1705;1;2;1;1;3;172;SANS, MOULINS (AVENUE DE;;;;340
200600001150;6;1;3;800;5;2;3;2;2;238;47, VERDUN (BD DE);;;;350
200600001177;6;1;18;1240;1;2;2;1;3;238;00, SAINT-CONWOION (BD);;;;350
200600001183;6;1;21;1810;5;2;2;1;3;238;00, GAULLE (RUE DU GAL D;;;;350
200600001201;6;1;11;825;1;2;1;1;3;44;MARINS (BD DES);;;;360
200600001215;6;1;4;1225;1;2;3;1;7;261;HUGO (RUE VICTOR);;;;370
200600001219;6;1;14;1425;1;2;1;1;7;261;MARMOUTIER (QUAI DE);;;;370
200600001228;6;1;6;1025;1;2;1;1;3;185;00, MARTYRS (AV. DES);;;;380
200600001232;6;1;9;755;1;2;1;1;6;185;07, HUGO (PLACE VICTOR);;;;380
200600001246;6;1;24;1345;1;2;6;1;3;151;00, CHAMPAGNIER (RTE DE;;;;380
200600001252;6;1;27;1750;5;2;1;4;2;185;10, FERJUS ST (RUE);;;;380
200600001266;6;1;1;1130;1;2;1;7;3;18;VILLEBOIS-MAREUIL (QUAI);;;;410
200600001300;6;1;10;756;1;2;1;1;6;187;97, BOCHARD (RUE CLAUDE);;;;420
200600001308;6;1;19;1120;1;2;2;1;3;71;20, ETINES (BOULEVARD DE;;;;420
200600001347;6;1;9;1815;5;2;1;1;6;55;1, BARRI€RE ( ESPLANADE;;;;440
200600001353;6;1;3;1605;1;2;3;1;3;109;LADMIRAULT (PL);;;;440
200600001371;6;1;16;1650;1;2;6;2;3;109;BOULEVARD PIERRE DE COUB;;;;440
200600001385;6;1;21;1750;1;2;1;1;3;109;BOULEVARD PAUL CHABAS;;;;440
200600001401;6;1;30;645;5;2;6;1;3;143;RUE DU JAUNAIS;;;;440
200600001425;6;1;11;1735;5;2;2;2;3;147;DORMOY (RUE MARX DORMOY);;;;450
200600001442;6;1;31;1215;1;2;1;1;1;234;FACE 9, SAINT EUVERTE (B;;;;450
200600001482;6;1;23;651;5;2;2;1;3;7;00, BOUCHEMAINE ROUTE;;;;490
200600001486;6;1;21;1215;1;2;1;1;7;15;22, BOISSIERE AVENUE;;;;490
200600001491;6;1;26;900;1;2;1;1;3;7;34, DEUX CROIX BOULEVARD;;;;490
200600001494;6;1;27;2013;5;2;1;1;3;7;92-94, SAINT LEONARD;;;;490
200600001497;6;1;27;1818;2;1;1;1;2;267;CRESSONNIERE;;;;490
200600001519;6;1;17;815;5;2;1;2;6;602;128, LECLERC (RUE DU GEN;;;;500
200600001624;6;1;10;1652;1;2;2;1;3;98;00, BRIZEUX (RUE  AUGUST;;;;560
200600001651;6;1;11;800;2;2;1;5;6;463;25, LOTHAIRE (RUE );;;;570
200600001687;6;1;12;2115;5;2;1;1;2;33;ROGER SALENGRO (RUE);;;;590
200600001693;6;1;27;1535;1;1;1;1;3;153;46, LIBERTE (BOULEVARD D;;;;590
200600001714;6;1;23;1730;1;2;1;1;3;183;., ROSENDAEL - AVENUE;;;;590
200600001716;6;1;6;830;2;2;1;1;3;183;0000, CUNETTE;;;;590
200600001722;6;1;15;1040;1;2;1;1;1;324;1, GARE (RUE);;;;590
200600001724;6;1;3;1805;5;2;1;8;2;566;CALMETTE, RUE DU Dr;;;;590
200600001737;6;1;9;1230;1;2;1;1;6;350;83, SOLFERINO RUE N°1 A;;;;590
200600001760;6;1;18;2050;5;2;3;1;6;386;47, WAMBRECHIES RUE DE;;;;590
200600001786;6;1;31;2340;5;2;2;1;6;350;DOUAI RUE;;;;590
200600001826;6;1;31;850;1;2;2;1;3;512;JOUFFROY (RUE);;;;590
200600001827;6;1;27;1320;1;2;2;1;1;512;MOTTE (AVENUE ALFRED);;;;590
200600001836;6;1;11;1625;1;2;2;2;3;599;0, FLOCON (RUE DU);;;;590
200600001843;6;1;7;1740;3;1;1;1;6;544;0, RD 935 N;;;;590
200600001848;6;1;21;1127;1;2;1;1;6;606;POTERNE (PLACE);;;;590
200600001871;6;1;4;730;5;2;6;1;6;119;LILLE ( RUE DE );;;;620
200600001882;6;1;4;1725;3;2;2;1;6;193;CASTRES (CHEMIN);;;;620
