Num_Acc;an;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep
201300000026;13;7;15;1645;1;2;1;7.0;6;210;22 rue de Bergues;M;5088696.0;243254.0;590
201300000050;13;10;4;800;1;2;1;1.0;1;400;Rue Duhamel Liard;M;5063939.0;263502.0;590
201300000056;13;5;12;1600;1;2;1;1.0;7;135;rue d'aire;M;5079363.0;248167.0;590
201300000068;13;6;12;1815;1;2;1;1.0;1;602;19 route Nationale;M;5060966.0;318216.0;590
201300000085;13;5;7;1100;1;2;1;1.0;1;36;avenue de la gare;M;5012651.0;393201.0;590
201300000092;13;8;15;1115;1;2;1;1.0;1;659;23 rue de Verdun;M;5001505.0;401340.0;590
201300000100;13;8;22;1700;1;1;1;1.0;2;353;Rte départementale;M;5024071.0;371279.0;590
201300000131;13;12;19;1800;5;1;1;1.0;1;139;Rue Léon Gambetta;M;5012093.0;340746.0;590
201300000140;13;12;10;1615;1;1;1;7.0;3;377;;M;5010035.0;315972.0;590
201300000142;13;3;29;1645;1;2;7;1.0;6;289;Place Jean jaur?s;M;5021759.0;347978.0;590
201300000185;13;7;22;2145;2;2;1;1.0;3;68;Route Nationale;M;0.0;0.0;620
201300000192;13;9;26;1830;1;1;1;1.0;1;213;;M;5037500.0;271900.0;620
201300000193;13;9;29;1700;1;1;2;1.0;3;213;;M;5037200.0;272500.0;620
201300000212;13;7;6;1415;1;1;1;1.0;6;720;;M;0.0;0.0;620
201300000214;13;8;28;1615;1;1;1;1.0;3;491;;M;0.0;0.0;620
201300000265;13;11;9;1130;1;2;6;8.0;3;38;intersection 943 et 227;M;0.0;0.0;620
201300000269;13;4;28;1000;1;1;3;1.0;3;760;;M;0.0;0.0;620
201300000336;13;8;16;1530;1;1;1;1.0;2;505;;M;0.0;0.0;800
201300000339;13;10;28;1745;2;1;1;2.0;4;615;;M;0.0;0.0;800
201300000348;13;7;15;1440;1;2;9;1.0;3;238;Rue de la Gare;M;4960880.0;351230.0;20
201300000356;13;4;7;1600;1;1;1;1.0;5;632;;M;0.0;0.0;20
201300000414;13;4;15;1400;1;1;1;1.0;2;143;;M;0.0;0.0;600
201300000437;13;8;29;1800;1;2;1;1.0;1;685;rue de montreuil;M;0.0;0.0;600
201300000447;13;10;3;945;1;2;9;1.0;1;7;rue de la croix verte;M;0.0;0.0;600
201300000452;13;9;17;1730;3;1;1;3.0;2;465;;M;0.0;0.0;600
201300000462;13;1;2;1330;1;2;6;1.0;2;439;;M;0.0;0.0;600
201300000475;13;5;19;115;5;1;1;2.0;6;537;;M;4951000.0;292900.0;600
201300000476;13;7;31;1815;1;1;1;1.0;1;188;;M;0.0;0.0;600
201300000502;13;10;6;1000;1;2;1;1.0;3;124;Rue Labarre;M;0.0;0.0;600
201300000518;13;1;11;1930;5;2;3;2.0;1;612;Rue de la chapelle;M;0.0;0.0;600
201300000571;13;2;16;1630;1;1;2;1.0;3;547;;M;4956143.0;126409.0;760
201300000628;13;6;20;2345;3;1;1;2.0;5;647;;M;4952802.0;33755.0;760
201300000631;13;9;8;1115;1;1;1;1.0;3;303;;M;4956093.0;37468.0;760
201300000632;13;10;7;1700;1;2;6;1.0;3;303;D31/D80;M;4955452.0;36336.0;760
201300000652;13;8;8;1400;1;2;3;1.0;3;276;15 bis, R DE LA LIBERATI;M;4961239.0;154790.0;760
201300000675;13;9;26;1000;1;2;3;2.0;1;57;R SAINT HELLIER;M;4954498.0;95755.0;760
201300000679;13;1;23;1430;1;1;1;1.0;3;664;;M;4978975.0;67717.0;760
201300000686;13;6;2;1300;1;1;1;1.0;1;529;;M;4972065.0;54248.0;760
201300000717;13;11;29;700;5;2;3;1.0;3;198;route de verneuil;M;0.0;0.0;270
201300000768;13;4;7;1630;1;2;1;1.0;1;15;ROUTE DE MUIDS;M;4913500.0;114400.0;270
201300000779;13;7;1;900;1;1;1;1.0;2;458;;M;0.0;0.0;270
201300000786;13;7;8;1815;1;1;1;1.0;2;518;;M;0.0;0.0;270
201300000788;13;7;18;1530;1;2;1;1.0;1;467;Rue Saint Ulfrant;M;0.0;0.0;270
201300000807;13;8;9;1230;1;1;1;1.0;3;103;;M;4920400.0;49200.0;270
201300000809;13;10;30;1845;3;1;3;1.0;3;316;;M;0.0;0.0;270
201300000813;13;7;24;1900;2;1;1;3.0;2;587;;M;0.0;0.0;270
201300000816;13;9;25;1715;1;1;1;1.0;1;363;Chemin de la vigne;M;4801133.0;-171441.0;350
201300000827;13;12;23;1740;3;1;1;3.0;1;117;;M;4816006.0;-221174.0;350
201300000841;13;6;25;1200;1;1;1;1.0;1;137;;M;4830619.0;-116874.0;350
201300000864;13;3;18;1845;2;1;1;1.0;6;343;;M;0.0;0.0;350
201300000869;13;7;21;1200;1;2;1;7.0;1;12;rue sabin;M;0.0;0.0;350
201300000889;13;10;17;1415;1;2;1;1.0;3;255;28 rue du bord de mer;M;4861994.0;-185137.0;350
201300000909;13;9;22;815;1;2;1;7.0;2;6;la croix perrault;M;4805611.0;-113177.0;350
201300001002;13;7;12;1115;1;2;1;1.0;2;123;Rue de la Cochais;M;4843562.0;-206788.0;220
201300001008;13;12;20;1115;1;2;2;7.0;3;50;Rue de BrestPAS DOS GEO;M;4845295.0;-205663.0;220
201300001041;13;7;3;900;1;1;3;2.0;4;137;L'Enseigne;M;4829353.0;-344279.0;220
201300001045;13;4;18;2015;1;1;1;1.0;2;226;Traou ar pont;M;4869386.0;-352360.0;220
201300001056;13;8;14;1945;2;1;3;7.0;3;194;LE GRAND ROCHER;M;4867058.0;-358521.0;220
201300001058;13;1;27;1030;1;1;1;6.0;2;152;;M;4877000.0;-328000.0;220
201300001068;13;5;7;1330;1;1;1;1.0;2;216;;M;4799386.0;-419119.0;290
201300001121;13;2;20;1430;1;1;1;1.0;3;149;;M;4849077.0;-457450.0;290
201300001155;13;11;16;1745;2;2;6;1.0;1;207;ZA de Kersody;M;4853481.0;-379048.0;290
201300001164;13;2;19;845;1;2;1;7.0;3;184;ROCADE DES CHENES;M;4867064.0;-398703.0;290
201300001167;13;8;21;1700;1;1;1;1.0;3;273;;M;4868964.0;-402880.0;290
201300001172;13;8;3;1800;1;1;2;1.0;3;157;;M;0.0;0.0;560
201300001187;13;8;9;1430;1;1;1;1.0;7;1;;M;0.0;0.0;560
201300001193;13;7;14;1045;2;1;1;1.0;1;155;;M;4746700.0;-247700.0;560
