Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1
201600000015;3;549;;;1.0;1.0;;;0.0;1.0;0.0;0.0;93.0;1.0;5.0;1.0;99.0
201600000052;3;945;;;2.0;2.0;;;0.0;1.0;1.0;0.0;65.0;2.0;0.0;1.0;3.0
201600000070;3;916;;;1.0;0.0;18.0;285.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0;99.0
201600000076;3;955;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
201600000083;3;108;;;2.0;2.0;4.0;900.0;0.0;1.0;1.0;0.0;63.0;1.0;4.0;0.0;99.0
201600000084;3;945;;;2.0;2.0;20.0;350.0;2.0;1.0;1.0;0.0;97.0;1.0;0.0;1.0;0.0
201600000159;3;47;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;5.0;1.0;3.0
201600000164;4;0;;;0.0;2.0;;;0.0;0.0;1.0;0.0;55.0;1.0;0.0;1.0;99.0
201600000167;3;938;;;2.0;0.0;;;2.0;1.0;1.0;0.0;0.0;3.0;0.0;5.0;0.0
201600000206;3;15;;;2.0;2.0;4.0;20.0;0.0;0.0;0.0;0.0;60.0;1.0;5.0;0.0;99.0
201600000208;3;11;;e;2.0;2.0;11.0;760.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
201600000209;4;0;;;2.0;0.0;;;0.0;1.0;1.0;0.0;75.0;1.0;0.0;1.0;0.0
201600000233;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;50.0;1.0;0.0;1.0;0.0
201600000285;3;218;;E;2.0;0.0;22.0;475.0;0.0;1.0;1.0;0.0;0.0;1.0;5.0;1.0;0.0
201600000286;4;0;;;2.0;2.0;;;0.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0
201600000295;3;343;;;2.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0;60.0;1.0;0.0;1.0;0.0
201600000304;3;95;;;2.0;2.0;1.0;600.0;0.0;1.0;1.0;0.0;53.0;1.0;0.0;1.0;99.0
201600000314;3;341;;;2.0;2.0;21.0;800.0;0.0;1.0;1.0;0.0;80.0;1.0;5.0;1.0;99.0
201600000331;5;0;;;2.0;1.0;;;2.0;1.0;2.0;0.0;25.0;1.0;2.0;5.0;99.0
201600000348;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;3.0
201600000361;3;21;;;2.0;2.0;1.0;464.0;;;;;;;0.0;1.0;99.0
201600000415;3;977;;;2.0;2.0;9.0;900.0;0.0;1.0;1.0;0.0;66.0;1.0;0.0;1.0;99.0
201600000427;3;749;;;2.0;2.0;;;0.0;0.0;1.0;50.0;50.0;0.0;0.0;1.0;99.0
201600000428;3;1760;;;2.0;2.0;;;0.0;1.0;1.0;;;1.0;0.0;1.0;99.0
201600000437;3;1;;;0.0;2.0;4.0;755.0;0.0;1.0;1.0;60.0;0.0;1.0;0.0;1.0;99.0
201600000449;3;915;;;0.0;0.0;13.0;854.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
201600000480;4;;;;2.0;0.0;;;0.0;1.0;1.0;0.0;48.0;1.0;0.0;1.0;99.0
201600000509;3;142;;;2.0;0.0;4.0;100.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
201600000526;3;56;;;2.0;2.0;18.0;250.0;0.0;0.0;1.0;0.0;60.0;1.0;0.0;1.0;0.0
201600000557;3;929;;;2.0;0.0;3.0;700.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
201600000562;3;909;;;0.0;0.0;7.0;600.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
201600000582;3;151;;;2.0;2.0;2.0;791.0;0.0;1.0;1.0;;;1.0;0.0;0.0;0.0
201600000583;3;3;;;2.0;2.0;41.0;945.0;0.0;1.0;1.0;0.0;6.0;1.0;0.0;1.0;0.0
201600000600;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;28.0;1.0;0.0;1.0;99.0
201600000616;3;65;;;2.0;2.0;29.0;500.0;0.0;1.0;1.0;0.0;70.0;1.0;0.0;0.0;99.0
201600000618;3;34;;;2.0;2.0;11.0;480.0;0.0;1.0;1.0;0.0;43.0;1.0;0.0;1.0;99.0
201600000632;4;0;;;2.0;2.0;;;0.0;1.0;2.0;0.0;46.0;1.0;0.0;1.0;0.0
201600000645;3;982;;;2.0;2.0;66.0;600.0;0.0;1.0;3.0;0.0;70.0;1.0;0.0;1.0;99.0
201600000655;3;35;;;2.0;2.0;11.0;336.0;0.0;2.0;3.0;0.0;55.0;1.0;0.0;1.0;99.0
201600000658;3;921;;;2.0;2.0;17.0;630.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
201600000664;3;131;;;2.0;2.0;22.0;1150.0;0.0;1.0;1.0;0.0;60.0;1.0;0.0;1.0;99.0
201600000714;3;51;;;2.0;2.0;20.0;500.0;0.0;1.0;3.0;0.0;67.0;1.0;0.0;1.0;99.0
201600000724;3;58;;;2.0;2.0;;;0.0;0.0;1.0;0.0;0.0;1.0;4.0;1.0;0.0
201600000761;3;126;;;2.0;0.0;14.0;805.0;0.0;2.0;3.0;0.0;65.0;1.0;0.0;1.0;99.0
201600000805;3;110;;;2.0;2.0;6.0;345.0;0.0;1.0;1.0;0.0;60.0;1.0;0.0;1.0;0.0
201600000812;3;508;;;2.0;0.0;9.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
201600000815;3;81;;;2.0;2.0;10.0;32.0;3.0;2.0;1.0;0.0;0.0;1.0;5.0;1.0;0.0
201600000816;3;840;;;2.0;4.0;55.0;550.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
201600000819;3;840;;;2.0;0.0;61.0;740.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
201600000837;3;139;;;2.0;2.0;14.0;978.0;0.0;1.0;1.0;0.0;560.0;1.0;0.0;1.0;0.0
201600000853;4;0;;;2.0;2.0;;;0.0;1.0;1.0;0.0;53.0;1.0;0.0;1.0;99.0
201600000870;3;38;;;2.0;2.0;7.0;400.0;0.0;1.0;1.0;0.0;57.0;1.0;0.0;1.0;0.0
201600000881;3;224;;;4.0;0.0;1.0;850.0;0.0;1.0;2.0;0.0;0.0;1.0;5.0;1.0;99.0
201600000892;3;23;;;2.0;2.0;25.0;155.0;0.0;1.0;1.0;0.0;58.0;2.0;0.0;1.0;0.0
201600000893;3;102;;;2.0;2.0;16.0;750.0;0.0;1.0;3.0;0.0;55.0;1.0;0.0;1.0;99.0
201600000899;3;155;;;2.0;0.0;14.0;590.0;0.0;1.0;2.0;0.0;0.0;1.0;5.0;1.0;99.0
201600000903;3;60;;;2.0;2.0;2.0;530.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0
201600000919;3;38;;;2.0;0.0;32.0;950.0;0.0;2.0;1.0;0.0;75.0;1.0;0.0;1.0;0.0
201600000922;4;;;;2.0;1.0;;;0.0;1.0;2.0;;;1.0;0.0;1.0;99.0
201600000927;4;2;;;2.0;2.0;;;0.0;1.0;3.0;0.0;54.0;1.0;0.0;1.0;99.0
201600000936;4;;;;2.0;1.0;;;0.0;2.0;1.0;0.0;38.0;2.0;0.0;1.0;99.0
201600000948;4;0;2.0;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
201600000978;4;;;;2.0;2.0;;;0.0;4.0;2.0;0.0;45.0;1.0;0.0;3.0;0.0
201600000995;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;43.0;1.0;0.0;1.0;99.0
201600001003;3;58;;;2.0;2.0;1.0;290.0;0.0;1.0;2.0;0.0;60.0;1.0;5.0;1.0;0.0
201600001006;4;0;;;2.0;2.0;;;0.0;1.0;3.0;0.0;0.0;1.0;0.0;1.0;99.0
201600001013;3;27;;;2.0;2.0;7.0;2170.0;0.0;1.0;3.0;0.0;0.0;1.0;0.0;1.0;99.0
201600001024;3;29;;;2.0;2.0;2.0;0.0;0.0;0.0;1.0;25.0;65.0;2.0;5.0;1.0;99.0
201600001025;3;776;;;2.0;2.0;3.0;0.0;0.0;1.0;1.0;0.0;58.0;2.0;3.0;1.0;0.0
201600001042;3;786;;;2.0;2.0;6.0;800.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0
201600001049;3;787;;;2.0;2.0;15.0;825.0;0.0;0.0;1.0;0.0;0.0;1.0;5.0;1.0;0.0
201600001052;4;;;;2.0;2.0;;;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
201600001058;3;6;;;2.0;2.0;38.0;260.0;0.0;1.0;1.0;68.0;0.0;2.0;0.0;1.0;99.0
201600001060;3;784;;;2.0;0.0;31.0;600.0;0.0;1.0;2.0;0.0;65.0;1.0;0.0;1.0;99.0
201600001070;4;0;;;0.0;2.0;;;0.0;2.0;3.0;0.0;70.0;2.0;0.0;1.0;0.0
201600001075;4;12;;;2.0;0.0;;;0.0;2.0;1.0;0.0;42.0;1.0;0.0;1.0;0.0
201600001094;3;2;2.0;;0.0;1.0;31.0;100.0;0.0;1.0;2.0;0.0;80.0;2.0;5.0;1.0;0.0
201600001108;4;1;;;2.0;0.0;;;0.0;1.0;1.0;0.0;0.0;1.0;5.0;1.0;99.0
201600001116;3;10;;;2.0;0.0;30.0;850.0;0.0;1.0;2.0;70.0;0.0;1.0;0.0;1.0;0.0
201600001121;4;0;;;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
201600001137;3;5;;;2.0;0.0;17.0;600.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;99.0
201600001153;3;264;;;1.0;0.0;2.0;50.0;0.0;1.0;2.0;0.0;60.0;1.0;0.0;1.0;99.0
201600001168;3;61;;;2.0;0.0;3.0;;0.0;1.0;1.0;0.0;70.0;1.0;0.0;1.0;0.0
201600001197;3;10;;;2.0;2.0;5.0;1200.0;0.0;2.0;1.0;0.0;65.0;0.0;0.0;1.0;0.0
201600001220;3;779;;;2.0;0.0;4.0;240.0;0.0;0.0;1.0;0.0;60.0;2.0;0.0;1.0;0.0
